Taxon	HMPMockV1.1.Even1	HMPMockV1.1.Even2	HMPMockV1.2.Staggered1	HMPMockV1.2.Staggered2
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales	0.047593664	0.047593664	0.21431633100000003	0.21431633100000003
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales	0.095187328	0.095187328	0.002357479	0.002357479
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales	0.047593664	0.047593664	0.00021431599999999999	0.00021431599999999999
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales	0.190374656	0.190374656	0.25932276000000004	0.25932276000000004
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales	0.33315564799999997	0.33315564799999997	0.259965708	0.259965708
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales	0.047593664	0.047593664	0.021431633	0.021431633
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales	0.047593664	0.047593664	0.021431633	0.021431633
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Neisseriales	0.047593664	0.047593664	0.002143163	0.002143163
k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales	0.047593664	0.047593664	0.002143163	0.002143163
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales	0.047593664	0.047593664	0.21431633100000003	0.21431633100000003
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales	0.095187328	0.095187328	0.023574796	0.023574796
k__Bacteria;p__Thermi;c__Deinococci;o__Deinococcales	0.047593664	0.047593664	0.00021431599999999999	0.00021431599999999999
k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales	0.0005330490000000001	0.0005330490000000001	0.00021431599999999999	0.00021431599999999999
