Taxon	EUK.Mock.1	k	p	c	o	f	g
Root;k__Eukaryota;p__Fungi;c__Chytridiomycota;g__Batrachochytrium;s__Batrachochytrium_dendrobatidis_jel423	0.083333333	Root	k__Eukaryota	p__Fungi	c__Chytridiomycota	g__Batrachochytrium	s__Batrachochytrium_dendrobatidis_jel423
Root;k__Eukaryota;p__Fungi;c__Dikarya;g__Candida;s__	0.083333333	Root	k__Eukaryota	p__Fungi	c__Dikarya	g__Candida	s__
Root;k__Eukaryota;p__Fungi;c__Dikarya;g__Candida;s__	0.083333333	Root	k__Eukaryota	p__Fungi	c__Dikarya	g__Candida	s__
Root;k__Eukaryota;p__Fungi;c__Dikarya;g__Candida;s__	0.083333333	Root	k__Eukaryota	p__Fungi	c__Dikarya	g__Candida	s__
Root;k__Eukaryota;p__Fungi;c__Dikarya;g__Candida;s__	0.083333333	Root	k__Eukaryota	p__Fungi	c__Dikarya	g__Candida	s__
Root;k__Eukaryota;p__Fungi;c__Dikarya;g__Clavispora;s__Clavispora_lusitaniae_atcc_42720	0.083333333	Root	k__Eukaryota	p__Fungi	c__Dikarya	g__Clavispora	s__Clavispora_lusitaniae_atcc_42720
Root;k__Eukaryota;p__Fungi;c__Dikarya;g__Coccidioides;s__Coccidioides_immitis_rmscc_2394	0.083333333	Root	k__Eukaryota	p__Fungi	c__Dikarya	g__Coccidioides	s__Coccidioides_immitis_rmscc_2394
Root;k__Eukaryota;p__Fungi;c__Dikarya;g__Filobasidiella/cryptococcus_neoformans_species_complex;s__Cryptococcus_gattii	0.083333333	Root	k__Eukaryota	p__Fungi	c__Dikarya	g__Filobasidiella/cryptococcus_neoformans_species_complex	s__Cryptococcus_gattii
Root;k__Eukaryota;p__Fungi;c__Dikarya;g__Saccharomyces;s__Saccharomyces_cerevisiae	0.083333333	Root	k__Eukaryota	p__Fungi	c__Dikarya	g__Saccharomyces	s__Saccharomyces_cerevisiae
Root;k__Eukaryota;p__Fungi;c__Dikarya;g__Schizosaccharomyces;s__	0.083333333	Root	k__Eukaryota	p__Fungi	c__Dikarya	g__Schizosaccharomyces	s__
Root;k__Eukaryota;p__Fungi;c__Dikarya;g__Trichophyton;s__Trichophyton_tonsurans_cbs_112818	0.083333333	Root	k__Eukaryota	p__Fungi	c__Dikarya	g__Trichophyton	s__Trichophyton_tonsurans_cbs_112818
Root;k__Eukaryota;p__Fungi;c__Fungi_incertae_sedis;g__Rhizopus;s__Rhizopus_oryzae_ra_99-880	0.083333333	Root	k__Eukaryota	p__Fungi	c__Fungi_incertae_sedis	g__Rhizopus	s__Rhizopus_oryzae_ra_99-880
Root;k__Eukaryota;p__Metazoa;c__Chordata;g__Homo;s__Homo_sapiens_(human)	0.083333333	Root	k__Eukaryota	p__Metazoa	c__Chordata	g__Homo	s__Homo_sapiens_(human)
Root;k__Unclassified_sequences;p__Fusarium_oxysporum_f._sp._lycopersici_4286;c__Fusarium_oxysporum_f._sp._lycopersici_4286;g__Unclassified_sequences;s__Fusarium_oxysporum_f._sp._lycopersici_4286	0.083333333	Root	k__Unclassified_sequences	p__Fusarium_oxysporum_f._sp._lycopersici_4286	c__Fusarium_oxysporum_f._sp._lycopersici_4286	g__Unclassified_sequences	s__Fusarium_oxysporum_f._sp._lycopersici_4286
