#Taxon	pc0	pc1	pc2	pc3	pc4	pc5	pc6	pc7	pc8	pc9	pc10	pc11	pc12	pc13	pc14	pc15	pc16	pc17	pc18	pc19	pc20	pc21	pc22	pc23	pc24	pc25	pc26	pc27	pc28	pc29	pc30
Even3;k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium	-0.00576094239621	0.000786976580823	-0.00189033765538	-0.000127855437156	-2.39513638104e-05	-0.000104899191516	-6.2947317686e-05	9.00539165993e-06	8.6884034424e-05	8.96773865171e-06	7.43163167543e-05	1.65144226997e-06	-7.9050364099e-06	-2.60351611107e-06	1.67600690006e-07	7.74400456287e-07	-6.73986982181e-07	4.11143322688e-07	6.00064493263e-07	-2.40038732697e-08	2.32540279886e-07	-1.39634226022e-07	-9.1986590941e-08	-4.25949444382e-08	2.19332919482e-11	-8.18249103142e-09	5.28075770965e-10	5.72363170155e-10	-2.33693375863e-10	-5.30905339197e-10	5.80339712668e-11
Even3;k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides	-0.0179163836807	-0.00378890888338	-0.000214830794266	0.000940939831137	0.000569395241099	-0.000446503779992	0.000131740348124	2.22699672796e-05	-3.12412975426e-06	3.27030559308e-05	8.6973455574e-05	1.12457053436e-05	5.54204518943e-06	-1.27821456522e-05	-1.79020506765e-07	3.38225010125e-07	-8.40082213625e-07	1.80841310951e-07	1.05758955011e-06	-9.83921812188e-08	2.76482501969e-07	-1.74921446064e-07	-1.67845368306e-07	-7.35796525271e-08	3.81448311953e-10	-1.28158871762e-08	5.28075770965e-10	5.72363170155e-10	-2.33693375863e-10	-5.30905339197e-10	5.80339712668e-11
Even4;k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides	-0.0176064539778	-0.00397128169734	-0.000296101805511	0.00094793020276	0.000701444334685	-0.000419464471336	9.69579503742e-05	2.14637335378e-05	-2.1321313312e-06	3.25668638972e-05	7.75324678683e-05	1.33987101998e-05	3.94258160417e-06	-1.42494206707e-05	-8.17758895573e-08	5.22112512908e-07	-8.04959016883e-07	2.94321283733e-07	9.65583484755e-07	-6.96101499439e-08	2.7507408144e-07	-1.74814844327e-07	-1.39269401155e-07	-6.66525510011e-08	-3.46921821445e-09	-1.22088007277e-08	5.28075770965e-10	5.72363170155e-10	-2.33693375863e-10	-5.30905339197e-10	5.80339712668e-11
Even1;k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides	-0.0185428820086	-0.0040863246554	-0.000317544241347	0.000983311394983	0.000674977495447	-0.000439009032885	0.000113146107808	2.30735522029e-05	-3.10964951586e-06	3.24589634642e-05	8.39668780056e-05	1.27143599251e-05	4.73350343408e-06	-1.42331416794e-05	3.60982431832e-08	5.14767721851e-07	-8.5121618848e-07	1.855641621e-07	1.02843259317e-06	-6.87952946889e-08	2.70034857331e-07	-1.77865206354e-07	-1.53352096573e-07	-6.99505006607e-08	-1.81838058187e-09	-1.26216264189e-08	5.28075770965e-10	5.72363170155e-10	-2.33693375863e-10	-5.30905339197e-10	5.80339712668e-11
Even4;k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium	-0.00623505785805	0.000500746568215	-0.00175886917044	-8.56522083343e-05	1.59664676817e-06	-9.93881993837e-05	-5.54390658254e-05	1.99495957602e-05	9.71077122784e-05	7.54524297767e-06	8.45038792854e-05	3.50621765427e-06	-1.03587584484e-05	-2.38085134632e-06	-4.39449846439e-08	9.83738824898e-07	-6.87886702765e-07	3.45652059834e-07	6.86025951522e-07	-3.47684685714e-08	2.46983356514e-07	-1.73752955079e-07	-9.61066411782e-08	-4.96399166173e-08	-2.86715752772e-09	-9.29206599503e-09	5.28075770965e-10	5.72363170155e-10	-2.33693375863e-10	-5.30905339197e-10	5.80339712668e-11
Even1;k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium	-0.00586701688308	0.000114247044246	-0.00125131941183	-1.75503229842e-05	1.92389384166e-05	-7.92671261046e-05	-3.33884788838e-05	2.78565162763e-05	8.77184016928e-05	7.30634707964e-06	7.46617615409e-05	4.58470750971e-06	-1.05212856039e-05	-3.22281097139e-06	-2.37812440145e-08	7.74088520404e-07	-6.04528881225e-07	3.30861632975e-07	5.63225720187e-07	-4.65497832968e-08	2.21241681126e-07	-1.43058055117e-07	-8.93183078005e-08	-4.7415053967e-08	-3.91170910854e-09	-8.36513831015e-09	5.28075770965e-10	5.72363170155e-10	-2.33693375863e-10	-5.30905339197e-10	5.80339712668e-11
Even1;k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium	-0.041314629404	-0.0214861783547	0.00518963516982	-0.00488964815433	0.00182787712321	-0.000383642449797	0.000118965951349	-0.000276509458736	4.01724465375e-05	0.000187214188717	-5.52774714927e-05	-0.00016781773026	4.60656913766e-05	-1.68919254486e-05	-1.39299041733e-05	1.15627784969e-05	-3.21711406642e-06	3.30148914361e-06	-1.52057251124e-06	1.46406777841e-06	-4.06652655358e-07	-2.6020449595e-07	2.58439453858e-07	4.4697557347e-07	1.60311235856e-07	1.78514034536e-08	5.28075770965e-10	5.72363170155e-10	-2.33693375863e-10	-5.30905339197e-10	5.80339712668e-11
Even4;k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium	-0.0428442665514	-0.0227454698828	0.00788179618663	-0.00424279914932	0.00176312968442	-0.000235854110899	0.00016146132029	-0.000232447708045	6.19872127016e-05	0.000173008996435	-6.51299648056e-05	-0.000173450353713	3.79950348939e-05	-1.5798040323e-05	-1.75649739026e-05	1.2893947321e-05	-3.67881233835e-06	4.13092918998e-06	-2.76014728193e-06	1.84458284193e-06	-6.05380448932e-07	-1.3864718392e-07	4.4127804422e-07	5.67826860454e-07	1.76612930718e-07	2.91582652377e-08	5.28075770966e-10	5.72363170155e-10	-2.33693375863e-10	-5.30905339197e-10	5.80339712668e-11
Even3;k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium	-0.0439657454587	-0.0252129983425	0.0105109114784	-0.00364762025298	0.00167730132401	-0.000137133647415	0.00028084098986	-0.000174450360442	8.30642770927e-05	0.000170458412926	-5.44571485412e-05	-0.000159168332154	2.55350373299e-05	-2.03546813292e-05	-1.82133130348e-05	1.22237647576e-05	-3.63693003726e-06	3.48964870118e-06	-2.31266319032e-06	1.84090619963e-06	-6.29068224243e-07	-1.71380209128e-07	4.29176222335e-07	5.4506341022e-07	1.65966491638e-07	2.64775426577e-08	5.28075770966e-10	5.72363170155e-10	-2.33693375863e-10	-5.30905339197e-10	5.80339712668e-11
Even3;k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Catenibacterium	-0.000838242206127	0.00467450215071	-0.00474547333185	-0.000789093062916	-0.000324992632597	-0.000116302877609	-0.00020016912304	-0.000113455974174	-2.5239366123e-06	7.33887942909e-06	-1.13183289426e-05	-1.93035739612e-05	1.13423670422e-05	6.29949677769e-06	1.22278179923e-06	-1.04928226105e-06	-2.40790527665e-08	3.14453453898e-08	9.82147858628e-08	-1.04501632405e-07	4.77258719189e-08	-2.14313627687e-08	-3.14688807731e-09	4.87067900101e-09	1.4712140862e-08	2.82449027826e-09	5.28075770965e-10	5.72363170155e-10	-2.33693375863e-10	-5.30905339197e-10	5.80339712668e-11
