id	taxonomy
41dd024b4ab0881e7d3f58e8a697dc74	other
3ee4b2834163bc2565db667fbe079b97	Porphyromonas_gingivalis_ATCC_33277 not found
9dc83cc3eed26a5297afba24b76c1da8	Desulfovibrio_piger_ATCC_29098 not found
99121277e691525b03e1fc991fcc81d0	other
a09aef16106e33d72eedb31b9f4191ff	Chlorobium_phaeobacteroides_DSM_266 not found
321690abd94c958690e5fa4da6635120	Gemmatimonas_aurantiaca_T-27 not found
0d3cacfc6919975e587aa9cd9a81f626	Burkholderia_xenovorans_LB400 not found
2c7d57488ecbbea286cfbcbc1be9b922	other
a6052057ed366cbec2981f670f126d4e	other
1ad3d87ff3fd3d3c2cc06d64cd563d94	Nostoc_sp._PCC_7120 not found
ee280c370c8b02812be0c20db7c1964c	Fusobacterium_nucleatum not found
720b484515faec353582a7b058a665e8	Deinococcus_radiodurans_R1 not found
a933f1625c1ea732c7669a1ecfa674ef	Zymomonas_mobilis_mobilis_ZM4 not found
17f325489155c73867b71657d3e23b0a	Bacteroides_vulgatus_ATCC_8482 not found
a510885b6538a706134f4d8088cd1a48	Thermotoga_petrophila_RKU-1 not found
d86004b15b2f67613bdf89ced8f95e2a	Pelodictyon_phaeoclathratiforme_BU-1 not found
d85a997afe5d57cdf8a45b3db458025d	Bacteroides_vulgatus_ATCC_8482 not found
a0f72f0c8cefa87b39c38030f979af92	other
df53a55085076d670cc6beab175e0fff	Methanocaldococcus_jannaschii_DSM_2661 not found
8d0d58745c1de725b49c37ef68e08edf	Leptothrix_cholodnii_SP-6 not found
9df6254fd0ee58b803413731032cdd88	other
0834c80a2245782ad26222dabbecfe3f	other
e57ecd70d5aaa6c87f0d80d41432b382	Bacteroides_vulgatus_ATCC_8482 not found
e09289af250a74f3e0bcc47082e04eb6	Salinispora_arenicola_CNS-205 not found
2da0553ee9c53a5460a97b05fc495ee9	Shewanella_baltica_OS185 not found
0babfa9456694270cd8cecdaa6cdab66	Methanococcus_maripaludis_C5 not found
e72e98355c2f511fce29e1989744f71b	Rhodopirellula_baltica_SH1 not found
8c2114a5f5750c315751c1166edbe420	Enterococcus_faecalis_V583v not found
b20a92091805a7b7af0aab3ad0bcb71e	other
78034b377b71dfc478e0433bbd89c8b9	Shewanella_baltica_OS185 not found
445eb45f4b788745dc4789790b77e926	other
005c2c1de94772a7c9e491dd780ba8ed	Bacteroides_thetaiotaomicron_VPI-5482 not found
