Taxon	Mock.2	Mock.3	Mock.1
Root;Agaricomycetes;Other;Other	6.72110763854e-05	0.0	0.0
Root;Eurotiomycetes;Eurotiales;Trichocomaceae	0.0648922942501	0.065784300878	0.0715571404313
Root;Other;Other;Other	0.000638505225661	0.00117939981654	0.00112073357106
Root;Saccharomycetes;Saccharomycetales;Dipodascaceae	0.325200793091	0.294849954134	0.305790456784
Root;Saccharomycetes;Saccharomycetales;Incertae_sedis	0.158080451658	0.168129996069	0.158057395143
Root;Saccharomycetes;Saccharomycetales;Other	0.0800819975132	0.0603459572795	0.0717609101715
Root;Saccharomycetes;Saccharomycetales;Pichiaceae	0.181133850859	0.201873935264	0.187366276108
Root;Saccharomycetes;Saccharomycetales;Saccharomycetaceae	0.0898276035891	0.0632289346088	0.0881983358805
Root;Sordariomycetes;Hypocreales;Nectriaceae	0.0884497765232	0.133796356965	0.101749023603
Root;Sordariomycetes;Hypocreales;Other	0.000100816614578	6.55222120299e-05	0.000135846493462
Root;Sordariomycetes;Microascales;Microascaceae	0.0114594885237	0.0107456427729	0.0142299201902
Root;Sordariomycetes;Other;Other	6.72110763854e-05	0.0	3.39616233656e-05
