Taxon	Mock.even.phasedmiseq
None;Other;Other;Other	0.153294532124
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales	0.0338439382037
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales	0.315729962627
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales	1.19022114309e-05
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales	0.00442762265229
k__Bacteria;p__Firmicutes;c__Clostridia;o__	0.000119022114309
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales	0.387774048418
k__Bacteria;p__Firmicutes;c__Clostridia;o__Coriobacteriales	4.76088457235e-05
k__Bacteria;p__Lentisphaerae;c__[Lentisphaeria];o__Victivallales	0.000434430717227
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales	0.104299078769
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales	1.78533171463e-05
