U33070	Root;Basidiomycota;Agaricomycetes
AF178417	Root;Ascomycota;Sordariomycetes
FJ167356	Root;Basidiomycota;Ustilaginomycetes
DQ536501	Root;Chytridiomycota;Chytridiomycetes
AF514292	Root;Ascomycota;Saccharomycetes
DQ681328	Root;Ascomycota;Eurotiomycetes
DQ827707	Root;Basidiomycota;Exobasidiomycetes
AB054041	Root;Ascomycota;Schizosaccharomycetes
EF621920	Root;Basidiomycota;Microbotryomycetes
DQ497616	Root;Ascomycota;Taphrinomycetes
AF506435	Root;Basidiomycota;Homobasidiomycetes
L27658	Root;Ascomycota;Pneumocystidomycetes
AF444643	Root;Basidiomycota;Cystobasidiomycetes
