#NodeID	NodeType	Abundance	mock	k	p	c	o	f	g
1	otu	0.0	Even3	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Carnobacteriaceae	g__Granulicatella
2	otu	0.0491711198658	Even3	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	Other
3	otu	0.156149315442	Even3	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Aeromonadales	f__Aeromonadaceae	g__
4	otu	0.0	Even3	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Burkholderia
5	otu	0.000210633069392	Even3	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Chromatiales	f__Ectothiorhodospiraceae	g__Methylonatrum
6	otu	0.0	Even3	k__Bacteria	p__Acidobacteria	c__Acidobacteriia	o__Acidobacteriales	f__Koribacteraceae	g__
7	otu	0.00164605843117	Even3	k__Bacteria	p__Actinobacteria	Other	Other	Other	Other
8	otu	4.68073487538e-05	Even3	k__Archaea	p__Crenarchaeota	c__Thermoprotei	o__Desulfurococcales	Other	Other
9	otu	0.000296446542107	Even3	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Micrococcaceae	g__Rothia
10	otu	3.12048991692e-05	Even3	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Caulobacterales	f__Caulobacteraceae	Other
11	otu	0.000312048991692	Even3	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Paenibacillaceae	g__Paenibacillus
12	otu	0.0	Even3	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Corynebacteriaceae	g__Corynebacterium
13	otu	0.001014159223	Even3	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	Other	Other	Other
14	otu	0.0	Even3	k__Bacteria	p__Chloroflexi	c__Ellin6529	o__	f__	g__
15	otu	8.58134727153e-05	Even3	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__BF311
16	otu	0.0	Even3	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Mycobacteriaceae	g__Mycobacterium
17	otu	1.56024495846e-05	Even3	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Chromatiales	f__Ectothiorhodospiraceae	g__Thiorhodospira
18	otu	0.000585091859422	Even3	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	Other	Other
19	otu	0.0	Even3	k__Bacteria	p__WPS-2	c__	o__	f__	g__
20	otu	0.000358856340445	Even3	k__Bacteria	p__Proteobacteria	c__Epsilonproteobacteria	o__Campylobacterales	f__Campylobacteraceae	g__Campylobacter
21	otu	2.34036743769e-05	Even3	k__Bacteria	p__Bacteroidetes	c__Cytophagia	o__Cytophagales	f__Cytophagaceae	g__
22	otu	0.0	Even3	k__Bacteria	p__Chloroflexi	c__Anaerolineae	o__envOPS12	f__	g__
23	otu	0.0367749736708	Even3	Unknown	Other	Other	Other	Other	Other
24	otu	0.000319850216484	Even3	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Alteromonadales	f__[Chromatiaceae]	g__
25	otu	0.0002028318446	Even3	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Frankiaceae	g__
26	otu	3.12048991692e-05	Even3	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Alteromonadales	f__Shewanellaceae	g__Shewanella
27	otu	0.0	Even3	k__Bacteria	p__Planctomycetes	c__[Brocadiae]	o__Brocadiales	f__	g__
28	otu	0.000124819596677	Even3	k__Bacteria	p__Bacteroidetes	c__Cytophagia	o__Cytophagales	f__Flammeovirgaceae	g__Persicobacter
29	otu	0.000148223271054	Even3	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacteriales	f__Enterobacteriaceae	g__Brenneria
30	otu	1.56024495846e-05	Even3	k__Bacteria	p__Cyanobacteria	c__4C0d-2	Other	Other	Other
31	otu	6.24097983384e-05	Even3	k__Bacteria	p__Verrucomicrobia	Other	Other	Other	Other
32	otu	0.0294	Even3	k__Bacteria	p__Firmicutes	c__Coriobacteriia	o__Coriobacteriales	f__Coriobacteriaceae	g__Collinsella
33	otu	0.0	Even3	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pasteurellales	f__Pasteurellaceae	g__Actinobacillus
34	otu	0.0001014159223	Even3	k__Bacteria	p__Firmicutes	c__Clostridia	o__Natranaerobiales	f__Natranaerobiaceae	g__
35	otu	0.000124819596677	Even3	k__Archaea	p__Euryarchaeota	c__Thermococci	o__Thermococcales	f__Thermococcaceae	g__Pyrococcus
36	otu	0.0	Even3	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Syntrophobacterales	f__Syntrophaceae	Other
37	otu	9.36146975076e-05	Even3	k__Bacteria	p__Chloroflexi	c__Chloroflexi	o__Chloroflexales	f__	g__
38	otu	0.18176853766	Even3	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__
39	otu	7.80122479229e-05	Even3	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Microbacteriaceae	g__
40	otu	0.0	Even3	k__Bacteria	p__Acidobacteria	c__[Chloracidobacteria]	o__[Chloracidobacterales]	f__[Chloracidobacteraceae]	g__
41	otu	0.000265241642938	Even3	k__Bacteria	p__Firmicutes	c__Erysipelotrichi	o__Erysipelotrichales	f__Erysipelotrichaceae	g__Allobaculum
42	otu	0.000522682061084	Even3	k__Bacteria	p__Cyanobacteria	Other	Other	Other	Other
43	otu	0.000109217147092	Even3	k__Bacteria	p__OctSpA1-106	c__	o__	f__	g__
44	otu	0.000179428170223	Even3	k__Bacteria	p__Bacteroidetes	c__Flavobacteriia	o__Flavobacteriales	f__Cryomorphaceae	g__
45	otu	9.36146975075e-05	Even3	k__Bacteria	p__Actinobacteria	c__Thermoleophilia	o__Solirubrobacterales	f__Solirubrobacteraceae	g__Solirubrobacter
46	otu	0.121015091469	Even3	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__Anaerotruncus
47	otu	0.000124819596677	Even3	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Comamonadaceae	g__Comamonas
48	otu	0.0	Even3	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__A21b	f__UD5	g__
49	otu	0.0	Even3	k__Bacteria	p__LCP-89	c__	o__	f__	g__
50	otu	0.000421266138784	Even3	k__Bacteria	p__Actinobacteria	c__Thermoleophilia	o__Gaiellales	f__Gaiellaceae	g__
51	otu	2.34036743769e-05	Even3	k__Bacteria	p__Bacteroidetes	c__Cytophagia	o__Cytophagales	f__Cytophagaceae	Other
52	otu	0.164395210048	Even3	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	Other	Other
53	otu	6.24097983383e-05	Even3	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Myxococcales	f__	g__
54	otu	0.0	Even3	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	Other
55	otu	0.0002028318446	Even3	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Neisseriales	f__Neisseriaceae	g__Microvirgula
56	otu	0.000436868588369	Even3	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Xanthomonadales	f__Sinobacteraceae	g__Steroidobacter
57	otu	1.56024495846e-05	Even3	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodospirillales	Other	Other
58	otu	0.176572921949	Even3	k__Bacteria	p__Firmicutes	c__Erysipelotrichi	o__Erysipelotrichales	f__Erysipelotrichaceae	Other
59	otu	7.80122479229e-06	Even3	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Alteromonadales	f__Moritellaceae	Other
60	otu	0.00124819596677	Even3	k__Bacteria	p__Planctomycetes	c__Phycisphaerae	o__WD2101	f__	g__
61	otu	0.000124819596677	Even3	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__Anaerofilum
62	otu	0.0147	Even3	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Peptococcaceae	g__
63	otu	0.0	Even3	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Comamonadaceae	g__Rhodoferax
64	otu	2.34036743769e-05	Even3	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacteriales	f__Enterobacteriaceae	g__Gluconacetobacter
65	otu	0.000468073487538	Even3	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Haptophyceae	f__	g__
