Taxon	HMPMockV1.1.Even2	HMPMockV1.2.Staggered1	HMPMockV1.2.Staggered2	HMPMockV1.1.Even1
Archaea;Crenarchaeota;Thermoprotei;Other;Other	1.30691278448e-06	0.0	0.0	0.0
Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae	0.00370117700565	0.0435453450663	0.0447793104206	0.00329324285341
Archaea;Euryarchaeota;Other;Other;Other	3.92073835345e-06	1.5596470296e-05	3.04218753565e-05	1.34803227728e-06
Archaea;Other;Other;Other;Other	1.30691278448e-06	3.34210077771e-06	8.45052093236e-06	1.34803227728e-06
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae	0.0136271796038	8.35525194427e-05	4.90130214077e-05	0.0121457708183
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Nocardiaceae	0.0	1.11403359257e-06	0.0	4.04409683185e-06
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Other	0.000356787190164	1.22543695183e-05	5.07031255942e-06	0.000254778100407
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Propionibacteriaceae	0.000107166848328	3.34210077771e-06	7.60546883913e-06	0.000126715034065
Bacteria;Actinobacteria;Actinobacteria;Other;Other	2.22175173362e-05	2.22806718514e-06	1.69010418647e-06	2.29165487138e-05
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae	0.0427713346977	0.000331982010586	0.000332950524735	0.0417377753693
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Other	0.00115923163984	2.45087390365e-05	1.7746093958e-05	0.00118896446857
Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae	0.0	0.0	0.0	1.34803227728e-06
Bacteria;Bacteroidetes;Other;Other;Other	0.000776306193982	6.68420155541e-06	1.26757813985e-05	0.000661883848147
Bacteria;Bacteroidetes;Sphingobacteria;Sphingobacteriales;Chitinophagaceae	0.0	3.34210077771e-06	0.0	0.0
Bacteria;Deinococcus-Thermus;Deinococci;Deinococcales;Deinococcaceae	0.0737007326553	0.000652823685245	0.000580550788053	0.0642337380126
Bacteria;Deinococcus-Thermus;Deinococci;Deinococcales;Other	3.92073835345e-06	1.11403359257e-06	0.0	2.69606455457e-06
Bacteria;Deinococcus-Thermus;Deinococci;Other;Other	0.000112394499465	3.34210077771e-06	1.69010418647e-06	9.43622594099e-05
Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae	3.39797323965e-05	2.00526046662e-05	2.02812502377e-05	4.58330974277e-05
Bacteria;Firmicutes;Bacilli;Bacillales;Listeriaceae	0.0231441185004	0.00120761241434	0.00140616668315	0.0222829735435
Bacteria;Firmicutes;Bacilli;Bacillales;Other	0.0177047474914	0.0133483505062	0.0137287163067	0.0170674366627
Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae	0.0	0.0	2.53515627971e-06	0.0
Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae	0.446982469072	0.6458943963	0.626108391452	0.44790259658
Bacteria;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae	1.30691278448e-06	0.0	0.0	4.04409683185e-06
Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae	0.010024021057	0.00016042083733	0.000102251303282	0.0098217631723
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae	0.00402529137621	0.000171561173256	0.000218023440055	0.00288748513794
Bacteria;Firmicutes;Bacilli;Lactobacillales;Other	0.0016166511144	0.000981463595053	0.00110786329423	0.00153406073155
Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae	0.0680274242579	0.0957177662735	0.0996696691368	0.0708781891074
Bacteria;Firmicutes;Bacilli;Other;Other	0.00668355197984	0.00674101726863	0.00711956388552	0.006237345347
Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae	0.0263342926073	0.0176540903414	0.0176717293738	0.0234301490115
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae	0.0	0.0	0.0	1.34803227728e-06
Bacteria;Firmicutes;Clostridia;Clostridiales;Other	0.000343718062319	0.000280736465327	0.000275486982395	0.000258822197239
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae	2.61382556896e-06	1.11403359257e-06	8.45052093236e-07	6.74016138642e-06
Bacteria;Firmicutes;Clostridia;Other;Other	2.87520812586e-05	1.89385710737e-05	2.19713544241e-05	2.69606455457e-05
Bacteria;Firmicutes;Other;Other;Other	0.00325290592058	0.00585313249536	0.00603705215408	0.00279312287853
Bacteria;Other;Other;Other;Other	0.018968532154	0.016252636082	0.019214794496	0.0159580060985
