Taxon	HMPMockV1.1.Even2	HMPMockV1.2.Staggered2	HMPMockV1.1.Even1	HMPMockV1.2.Staggered1
Archaea;Crenarchaeota;Thermoprotei;Other;Other;Other	1.30691790857e-06	0.0	0.0	0.0
Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanobrevibacter	0.00368812233797	0.0446205537471	0.00328381990755	0.0434296307189
Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Other	1.43760969942e-05	0.000158025142054	9.43626410216e-06	0.000114745843527
Archaea;Euryarchaeota;Other;Other;Other;Other	3.9207537257e-06	2.95768982453e-05	2.69607545776e-06	1.89386343685e-05
Archaea;Other;Other;Other;Other;Other	0.0	6.76043388465e-06	0.0	4.45614926318e-06
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae;Actinomyces	0.0135200657641	4.98581998993e-05	0.0120568494471	8.02106867372e-05
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae;Other	3.0059111897e-05	0.0	4.58332827819e-05	2.22807463159e-06
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Nocardiaceae;Rhodococcus	0.0	0.0	4.04411318664e-06	1.11403731579e-06
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Other;Other	0.000426055238192	5.07032541349e-06	0.000307352602185	1.33684477895e-05
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Propionibacteriaceae;Other	0.0	0.0	1.34803772888e-06	0.0
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Propionibacteriaceae;Propionibacterium	0.000107167268502	7.60548812023e-06	0.000125367508786	3.34211194738e-06
Bacteria;Actinobacteria;Actinobacteria;Other;Other;Other	2.87521939884e-05	0.0	1.61764527466e-05	2.22807463159e-06
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides	0.0427976407518	0.000333796423054	0.0418188264253	0.000334211194738
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Other;Other	0.00105729658803	1.43659220049e-05	0.00102720474941	1.78245970527e-05
