Taxon	HMPMockV1.1.Even2	HMPMockV1.2.Staggered1	HMPMockV1.1.Even1	HMPMockV1.2.Staggered2
Archaea;Euryarchaeota;Methanobacteria	0.00396804203324	0.0460143499172	0.00352473365235	0.0473424724089
Archaea;Euryarchaeota;Other	0.0	8.49107527338e-06	0.0	4.60082336335e-06
Bacteria;Actinobacteria;Actinobacteria	0.0129333054266	6.55025806804e-05	0.0114893328098	4.96888923242e-05
Bacteria;Bacteroidetes;Bacteroidia	0.0451713013417	0.000321447849635	0.0438289116721	0.000334019776179
Bacteria;Bacteroidetes;Other	0.000199195998759	2.42602150668e-06	0.000177122294088	1.84032934534e-06
Bacteria;Bacteroidetes;Sphingobacteria	0.0	3.63903226002e-06	0.0	0.0
Bacteria;Deinococcus-Thermus;Deinococci	0.068523423573	0.000539789785236	0.059744825815	0.000479405794461
Bacteria;Firmicutes;Bacilli	0.596089695937	0.780367420957	0.593637176789	0.766191677663
Bacteria;Firmicutes;Clostridia	0.0280592102889	0.0185457214078	0.0248473058223	0.0185707634238
Bacteria;Firmicutes;Other	0.000469121011569	0.000898840968225	0.000392621085228	0.00092016467267
Bacteria;Other;Other	0.00680008949385	0.00595224376664	0.00548488704026	0.00807904582604
Bacteria;Proteobacteria;Alphaproteobacteria	0.00975483014211	0.0678364133698	0.0106140534732	0.0711020444219
Bacteria;Proteobacteria;Betaproteobacteria	0.0202270545696	0.00130034752758	0.018695258141	0.0012523441195
Bacteria;Proteobacteria;Epsilonproteobacteria	0.019952799209	0.00132339473189	0.0198805014923	0.00118333176905
Bacteria;Proteobacteria;Gammaproteobacteria	0.186428689998	0.0757076401482	0.206515738792	0.0829602065586
Bacteria;Proteobacteria;Other	0.000373853359989	0.000218341935601	0.000382288951406	0.000246604132276
Unclassified;Other;Other	0.00104938761665	0.000893988925212	0.000785242170457	0.00128178938903
