Taxon	HMPMockV1.1.Even2	HMPMockV1.2.Staggered1	HMPMockV1.1.Even1	HMPMockV1.2.Staggered2
Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae	0.00396804203324	0.0460143499172	0.00352473365235	0.0473424724089
Archaea;Euryarchaeota;Other;Other;Other	0.0	8.49107527338e-06	0.0	4.60082336335e-06
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae	0.0127658653117	5.94375269137e-05	0.0113254946878	4.14074102701e-05
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Nocardiaceae	0.0	1.21301075334e-06	4.4280573522e-06	0.0
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Other	5.34076228556e-05	1.21301075334e-06	3.24724205828e-05	0.0
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Propionibacteriaceae	0.000114032492043	3.63903226002e-06	0.000126937644096	8.28148205403e-06
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae	0.0450154088209	0.000320234838882	0.043690165875	0.000329418952816
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Other	0.000155892520768	1.21301075334e-06	0.000138745797036	4.60082336335e-06
Bacteria;Bacteroidetes;Other;Other;Other	0.000199195998759	2.42602150668e-06	0.000177122294088	1.84032934534e-06
Bacteria;Bacteroidetes;Sphingobacteria;Sphingobacteriales;Chitinophagaceae	0.0	3.63903226002e-06	0.0	0.0
Bacteria;Deinococcus-Thermus;Deinococci;Deinococcales;Deinococcaceae	0.0685147628774	0.000539789785236	0.0597418737767	0.000479405794461
Bacteria;Deinococcus-Thermus;Deinococci;Other;Other	8.6606955982e-06	0.0	2.9520382348e-06	0.0
Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae	2.16517389955e-05	1.09170967801e-05	3.83764970524e-05	1.380247009e-05
Bacteria;Firmicutes;Bacilli;Bacillales;Listeriaceae	0.0240810641108	0.00122877989313	0.0230318023079	0.00144465853609
