Taxon	Even4	Even3	Even1
k__Bacteria;Other;Other;Other;Other	0.0026525198939	0.00331324898799	0.00323326453419
k__Bacteria;p__Actinobacteria;Other;Other;Other	0.0	1.33598749516e-05	1.77165179956e-05
k__Bacteria;p__Actinobacteria;c__Actinobacteria;Other;Other	0.000155459041401	0.000293917248935	9.74408489755e-05
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae	0.0	1.33598749516e-05	1.77165179956e-05
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae	0.134734407944	0.13806094775	0.128134716403
k__Bacteria;p__Bacteroidetes;Other;Other;Other	0.000126310471138	0.000200398124274	0.000442912949889
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;Other	0.000874457107879	0.000868391871852	0.000806101568798
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae	0.138601451599	0.138795740872	0.137976242149
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae	0.0150795270159	0.0107146197112	0.0110816820062
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae	0.0144479746602	0.0105810209616	0.00937203801965
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae	0.00867655774818	0.00933855259115	0.0122864052299
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__S24-7	0.000194323801751	0.00017367837437	0.000132873884967
k__Bacteria;p__Firmicutes;Other;Other;Other	0.000709281876391	0.00125582824545	0.00128444755468
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae	0.0	5.34394998063e-05	8.85825899778e-06
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;Other	9.71619008754e-06	6.67993747579e-05	2.65747769933e-05
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae	0.0407399850371	0.0480955498257	0.0382765371294
k__Bacteria;p__Firmicutes;c__Clostridia;Other;Other	0.000242904752189	0.000374076498644	0.000301180805924
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;Other	0.00112707805015	0.00142950661982	0.00142617969864
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae	0.136327863118	0.13236964102	0.157216380693
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Eubacteriaceae	0.000748146636741	0.00531723023073	0.00595275004651
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae	0.138562586838	0.13935685562	0.151467370603
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptococcaceae	0.00635438831725	0.00607874310296	0.00605019089548
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae	0.021754549606	0.0241145742876	0.023855291481
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae	0.0277008579396	0.0285366928966	0.0292233964337
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae	0.00612119975515	0.00581154560393	0.00565156924058
k__Bacteria;p__Firmicutes;c__Clostridia;o__Coriobacteriales;f__Coriobacteriaceae	0.0596185423772	0.0122643652055	0.012047232237
k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;Other	4.85809504377e-05	0.0	8.85825899778e-06
k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae	0.0411869297811	0.0434997528423	0.0385600014173
k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__[Coprobacillaceae]	0.0669445497032	0.107934429734	0.104412298807
k__Bacteria;p__Proteobacteria;Other;Other;Other	0.000398363793589	0.000267197499031	0.000389763395902
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;Other;Other	1.94323801751e-05	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;Other;Other	0.000349782843152	0.000534394998063	0.000540353798864
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae	0.135259082209	0.130004943154	0.119577638211
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae	3.88647603502e-05	2.67197499031e-05	8.85825899778e-06
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae	0.000194323801751	0.000200398124274	8.85825899778e-05
k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Verrucomicrobiaceae	0.0	4.00796248547e-05	2.65747769933e-05
