# QIIME v1.5.0 OTU table
#OTU ID	blast_100.0	blast_0.0001	blast_1e-06	blast_1.0	blast_1e-10	blast_1e-30	mothur_0.0	mothur_0.1	mothur_0.2	mothur_0.3	mothur_0.4	mothur_0.5	mothur_0.6	mothur_0.7	mothur_0.8	mothur_0.9	mothur_1.0	rdp_0.0	rdp_0.1	rdp_0.2	rdp_0.3	rdp_0.4	rdp_0.5	rdp_0.6	rdp_0.7	rdp_0.8	rdp_0.9	rdp_1.0	rtax_single	uclust_consensus0.5_similarity0.75_accepts1	uclust_consensus0.5_similarity0.99_accepts5	uclust_consensus0.75_similarity0.95_accepts3	uclust_consensus1.0_similarity0.8_accepts10	uclust_consensus0.5_similarity0.75_accepts10	uclust_consensus0.5_similarity0.9_accepts1	uclust_consensus0.75_similarity0.95_accepts5	uclust_consensus1.0_similarity0.8_accepts3	uclust_consensus0.5_similarity0.75_accepts3	uclust_consensus0.5_similarity0.9_accepts10	uclust_consensus0.75_similarity0.97_accepts1	uclust_consensus1.0_similarity0.8_accepts5	uclust_consensus0.5_similarity0.75_accepts5	uclust_consensus0.5_similarity0.9_accepts3	uclust_consensus0.75_similarity0.97_accepts10	uclust_consensus1.0_similarity0.93_accepts1	uclust_consensus0.5_similarity0.7_accepts1	uclust_consensus0.5_similarity0.9_accepts5	uclust_consensus0.75_similarity0.97_accepts3	uclust_consensus1.0_similarity0.93_accepts10	uclust_consensus0.5_similarity0.7_accepts10	uclust_consensus0.5_similarity1.0_accepts1	uclust_consensus0.75_similarity0.97_accepts5	uclust_consensus1.0_similarity0.93_accepts3	uclust_consensus0.5_similarity0.7_accepts3	uclust_consensus0.5_similarity1.0_accepts10	uclust_consensus0.75_similarity0.99_accepts1	uclust_consensus1.0_similarity0.93_accepts5	uclust_consensus0.5_similarity0.7_accepts5	uclust_consensus0.5_similarity1.0_accepts3	uclust_consensus0.75_similarity0.99_accepts10	uclust_consensus1.0_similarity0.95_accepts1	uclust_consensus0.5_similarity0.8_accepts1	uclust_consensus0.5_similarity1.0_accepts5	uclust_consensus0.75_similarity0.99_accepts3	uclust_consensus1.0_similarity0.95_accepts10	uclust_consensus0.5_similarity0.8_accepts10	uclust_consensus0.75_similarity0.75_accepts1	uclust_consensus0.75_similarity0.99_accepts5	uclust_consensus1.0_similarity0.95_accepts3	uclust_consensus0.5_similarity0.8_accepts3	uclust_consensus0.75_similarity0.75_accepts10	uclust_consensus0.75_similarity0.9_accepts1	uclust_consensus1.0_similarity0.95_accepts5	uclust_consensus0.5_similarity0.8_accepts5	uclust_consensus0.75_similarity0.75_accepts3	uclust_consensus0.75_similarity0.9_accepts10	uclust_consensus1.0_similarity0.97_accepts1	uclust_consensus0.5_similarity0.93_accepts1	uclust_consensus0.75_similarity0.75_accepts5	uclust_consensus0.75_similarity0.9_accepts3	uclust_consensus1.0_similarity0.97_accepts10	uclust_consensus0.5_similarity0.93_accepts10	uclust_consensus0.75_similarity0.7_accepts1	uclust_consensus0.75_similarity0.9_accepts5	uclust_consensus1.0_similarity0.97_accepts3	uclust_consensus0.5_similarity0.93_accepts3	uclust_consensus0.75_similarity0.7_accepts10	uclust_consensus0.75_similarity1.0_accepts1	uclust_consensus1.0_similarity0.97_accepts5	uclust_consensus0.5_similarity0.93_accepts5	uclust_consensus0.75_similarity0.7_accepts3	uclust_consensus0.75_similarity1.0_accepts10	uclust_consensus1.0_similarity0.99_accepts1	uclust_consensus0.5_similarity0.95_accepts1	uclust_consensus0.75_similarity0.7_accepts5	uclust_consensus0.75_similarity1.0_accepts3	uclust_consensus1.0_similarity0.99_accepts10	uclust_consensus0.5_similarity0.95_accepts10	uclust_consensus0.75_similarity0.8_accepts1	uclust_consensus0.75_similarity1.0_accepts5	uclust_consensus1.0_similarity0.99_accepts3	uclust_consensus0.5_similarity0.95_accepts3	uclust_consensus0.75_similarity0.8_accepts10	uclust_consensus1.0_similarity0.75_accepts1	uclust_consensus1.0_similarity0.99_accepts5	uclust_consensus0.5_similarity0.95_accepts5	uclust_consensus0.75_similarity0.8_accepts3	uclust_consensus1.0_similarity0.75_accepts10	uclust_consensus1.0_similarity0.9_accepts1	uclust_consensus0.5_similarity0.97_accepts1	uclust_consensus0.75_similarity0.8_accepts5	uclust_consensus1.0_similarity0.75_accepts3	uclust_consensus1.0_similarity0.9_accepts10	uclust_consensus0.5_similarity0.97_accepts10	uclust_consensus0.75_similarity0.93_accepts1	uclust_consensus1.0_similarity0.75_accepts5	uclust_consensus1.0_similarity0.9_accepts3	uclust_consensus0.5_similarity0.97_accepts3	uclust_consensus0.75_similarity0.93_accepts10	uclust_consensus1.0_similarity0.7_accepts1	uclust_consensus1.0_similarity0.9_accepts5	uclust_consensus0.5_similarity0.97_accepts5	uclust_consensus0.75_similarity0.93_accepts3	uclust_consensus1.0_similarity0.7_accepts10	uclust_consensus1.0_similarity1.0_accepts1	uclust_consensus0.5_similarity0.99_accepts1	uclust_consensus0.75_similarity0.93_accepts5	uclust_consensus1.0_similarity0.7_accepts3	uclust_consensus1.0_similarity1.0_accepts10	uclust_consensus0.5_similarity0.99_accepts10	uclust_consensus0.75_similarity0.95_accepts1	uclust_consensus1.0_similarity0.7_accepts5	uclust_consensus1.0_similarity1.0_accepts3	uclust_consensus0.5_similarity0.99_accepts3	uclust_consensus0.75_similarity0.95_accepts10	uclust_consensus1.0_similarity0.8_accepts1	uclust_consensus1.0_similarity1.0_accepts5	Expected	taxonomy
1	1.14400768773e-05	1.14400768773e-05	1.14400768773e-05	1.14400768773e-05	1.14400768773e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.14400768773e-05	0	0	0	1.14400768773e-05	0	0	0	1.14400768773e-05	0	0	0	1.14400768773e-05	0	0	0	1.14400768773e-05	0	0	0	1.14400768773e-05	0	0	0	1.14400768773e-05	0	0	0	1.14400768773e-05	0	0	0	1.14400768773e-05	0	0	0	1.14400768773e-05	1.14400768773e-05	0	0	1.14400768773e-05	1.14400768773e-05	0	0	1.14400768773e-05	0	0	0	0	0	0	0	0	1.14400768773e-05	0	0	0	1.14400768773e-05	0	0	0	0	0	0	0	0	0	0	0	1.14400768773e-05	0	0	0	1.14400768773e-05	1.14400768773e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.14400768773e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.14400768773e-05	0	0	Even3;k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Granulicatella
2	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Even3;k__Bacteria;p__Tenericutes;c__Mollicutes;o__Acholeplasmatales;f__;g__
3	0	0	0	0	0	0	0	0	1.14400768773e-05	0	0.0	0	0	1.14400768773e-05	0.0	0.0	0.00269985814305	0	0	0	0	0	0	0	0	0.0	0.0	0.00281425891182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Even3;k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;Other
4	0.0181439619274	0.0181439619274	0.0181439619274	0.0181439619274	0.0181439619274	0.0181325218505	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	3.43202306319e-05	0.0179266004668	0.0	0	0	4.57603075093e-05	0.0179494806205	2.28801537546e-05	0	2.28801537546e-05	4.57603075093e-05	0.025831693589	0	2.28801537546e-05	0.0	0.0	0.000194481306914	0.0179266004668	0.0	0.0	0	4.57603075093e-05	0.0176520386217	0.0	0.0	2.28801537546e-05	0.0	3.43202306319e-05	0.0	2.28801537546e-05	0.0	0.0	0.0183613233881	0.0179266004668	0.0	0.0	0	4.57603075093e-05	0.0179266004668	0.0	0	2.28801537546e-05	0.0	0.0179494806205	0	2.28801537546e-05	0	0.0	0.025831693589	0.000194481306914	0.0	0	0.0	2.28801537546e-05	0.0179266004668	0	0.0	2.28801537546e-05	0.0	0.0176520386217	0.0	2.28801537546e-05	0	0.0	3.43202306319e-05	0.0183613233881	0.0	0.0	0.0	6.86404612639e-05	0.0179266004668	0.0	0.0	2.28801537546e-05	0.0	0.0179266004668	0.0	2.28801537546e-05	0	0	0.0179494806205	0.025831693589	0.0	0	0	0.0	0.000194481306914	0	0	0.0	0.0	0.0179266004668	0	0.0	0.0	0	0.0176520386217	3.43202306319e-05	0.0	0	0.0	0.0	0.0183613233881	0	0.0	0.0	0.0	0.0179266004668	0.0	0	Even3;k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Aeromonadales;f__Aeromonadaceae;g__
5	0	0	0	0	0	0	0	2.28801537546e-05	0	0	0	0	0	0	0	0	0	0	0	2.28801537546e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.14400768773e-05	0	0	0	0	1.14400768773e-05	0	0	0	0	1.14400768773e-05	0	0	0	0	0	0	0	0	0	0	1.14400768773e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.14400768773e-05	1.14400768773e-05	0	0	0	0	1.14400768773e-05	0	0	0	0	0	0	0	0	0	0	1.14400768773e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.14400768773e-05	0	0	0	0	1.14400768773e-05	0	0	0	0	1.14400768773e-05	0	0	0	0	0	0	0	0	0	0	1.14400768773e-05	0	0	0	0	0	0	0	0	0	0	Even3;k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;Other;Other
6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.43202306319e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.43202306319e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.43202306319e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Even3;k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia
7	0	0	0	0	0	0	0	0	0	1.14400768773e-05	0.0	1.14400768773e-05	0.0	2.28801537546e-05	4.57603075093e-05	0.000102960691896	0.000617764151375	0	0	0	1.14400768773e-05	0	3.43202306319e-05	3.43202306319e-05	3.43202306319e-05	8.00805381412e-05	5.72003843866e-05	0	0	0	0	0	4.57603075093e-05	0	0	0	2.28801537546e-05	0	0	0	2.28801537546e-05	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	6.86404612639e-05	0	0	0.0	2.28801537546e-05	0	0	0	0	0	0	0	0	0	0	0	6.86404612639e-05	0	0	0	2.28801537546e-05	0	0	0	0	0	0	0	0	0	0	0	4.57603075093e-05	0	0	0	2.28801537546e-05	6.86404612639e-05	0	0	0	2.28801537546e-05	0	0	0	2.28801537546e-05	0	0	0	0	0	0	0	6.86404612639e-05	0	0	0	2.28801537546e-05	0	0	0	2.28801537546e-05	0	0	0	0	0	0	Even3;k__Bacteria;p__Actinobacteria;Other;Other;Other;Other
8	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Even3;k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Paenibacillaceae;g__Paenibacillus
9	0	0	0	0	0	0	0	0	1.14400768773e-05	1.14400768773e-05	0	0	0	0	0	0	0	0	0	1.14400768773e-05	1.14400768773e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Even3;k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Planococcaceae;Other
10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.28801537546e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.28801537546e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.28801537546e-05	0	0	0	0	2.28801537546e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.28801537546e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.28801537546e-05	0	0	0	0	2.28801537546e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.28801537546e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.28801537546e-05	0	0	Even3;k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Cardiobacteriales;f__Cardiobacteriaceae;g__
