id	taxonomy
1c3bd50b5af30355165e6372284af7da	other
58c58fd59737254aa4fd074e7e03347a	other
39d09153211fc56766059bc107688083	other
bcf020b15c4a363e33f5fe51233b20c0	other
71afc98653010db3bff468c6ca9b8804	other
e377ef0b2083c029f5f706d4c1d5635f	other
2bfa94fe5d4926f932fa803ac6510f26	other
a55979f0b62fc9c467a7c0b0b1b25da4	other
871eb8f466b01c297c20c38284adeb3a	other
be474d5ba826820fa654894511c720d5	other
52bf878ca5242fa5de40aa283dd575d0	other
96a3bc302d2b292eaf7ef3f78e728fb2	other
a885fd875821f7414776504c97319696	other
17c1c4a16b53cfc6019a34982a01031f	other
941951961df8c17bfc1e62498099aa0c	other
2a0a51068e21501d965b70fa6720012c	other
106f9d839c35c92022ecdde61828cdee	other
ba5a42b887d6bb8262647d321eeb0913	other
2c26e1126b431afed72a9cdd672eb336	other
47171fcf92c9ef7027470d9c0ac2108b	other
975969967b8b4ec67e7e3c027dee8ea2	other
a162395533885ca954a0bc0dd324b8f9	other
103e1871d49834dd8831282ed3bb4b0c	other
abd481feb0682c0565d4c8014b9dc3d5	other
5850e4d77ae4a4a88a7645f98c50987e	other
e26faa01840994984ceef0ea2f5d9b1c	other
