# QIIME v1.5.0 OTU table
#OTU ID	blast_100.0	blast_0.0001	blast_1e-06	blast_1.0	blast_1e-10	blast_1e-30	mothur_0.0	mothur_0.1	mothur_0.2	mothur_0.3	mothur_0.4	mothur_0.5	mothur_0.6	mothur_0.7	mothur_0.8	mothur_0.9	mothur_1.0	rdp_0.0	rdp_0.1	rdp_0.2	rdp_0.3	rdp_0.4	rdp_0.5	rdp_0.6	rdp_0.7	rdp_0.8	rdp_0.9	rdp_1.0	rtax_single	Expected	taxonomy
1	0	0	0	0	0	0	5.07329645047e-06	5.07329645047e-06	5.07329645047e-06	0	0	0	0	0	0	0	0	5.07329645047e-06	5.07329645047e-06	5.07329645047e-06	0	0	0	0	0	0	0	0	0	0	MockHiSeq.even;k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Granulicatella
2	0	0	0	0	0	0	7.6099446757e-06	7.6099446757e-06	0	0	0	0	0	0	0	0	0	7.6099446757e-06	7.6099446757e-06	7.6099446757e-06	0	0	0	0	0	0	0	0	0	0	MockHiSeq.even;k__Bacteria;p__Chlamydiae;c__Chlamydiia;o__Chlamydiales;f__Parachlamydiaceae;g__Parachlamydia
3	8.6246039658e-05	8.6246039658e-05	8.6246039658e-05	8.6246039658e-05	8.6246039658e-05	8.6246039658e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	MockHiSeq.even;k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__[Marinicellales];f__[Marinicellaceae];g__
4	4.05863716037e-05	4.05863716037e-05	4.05863716037e-05	4.05863716037e-05	4.05863716037e-05	4.05863716037e-05	4.05863716037e-05	4.05863716037e-05	4.05863716037e-05	4.05863716037e-05	4.05863716037e-05	4.05863716037e-05	4.05863716037e-05	4.05863716037e-05	4.05863716037e-05	4.05863716037e-05	0	4.05863716037e-05	4.05863716037e-05	4.05863716037e-05	4.05863716037e-05	4.05863716037e-05	4.05863716037e-05	4.05863716037e-05	4.05863716037e-05	4.05863716037e-05	4.05863716037e-05	0	4.05863716037e-05	0	MockHiSeq.even;k__Bacteria;p__Firmicutes;c__Bacilli;o__Turicibacterales;f__Turicibacteraceae;g__Turicibacter
5	0	0	0	0	0	0	3.80497233785e-05	1.77565375766e-05	1.01465929009e-05	1.01465929009e-05	0	0	0	0	0	0	0	3.80497233785e-05	1.77565375766e-05	1.01465929009e-05	1.01465929009e-05	0	0	0	0	0	0	0	0	0	MockHiSeq.even;k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Neisseriales;f__Neisseriaceae;g__Aquitalea
6	0.0312083831151	0.0312083831151	0.0312083831151	0.0312083831151	0.0312083831151	0.0312033098186	0.0305412446318	0.0305412446318	0.0305336346871	0.030137917564	0.0304270954617	7.35627985318e-05	0	0	0	0	0	0.0305336346871	0.0305336346871	0.0305285613907	0.0305031949084	0.0304118755723	0.0299831820223	6.34162056309e-05	0	0	0	0	0.0312844825618	0.020833333	MockHiSeq.even;k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium
7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.01465929009e-05	0.000124295763036	0.000763531115795	0	0	0	5.07329645047e-06	0	0	0	0	2.02931858019e-05	0.000149662245289	0.000416010308938	0	0	MockHiSeq.even;k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;Other
8	0.0170944723899	0.0170944723899	0.0170944723899	0.0170944723899	0.0170944723899	0.0170893990934	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.26832411262e-05	0	MockHiSeq.even;k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Aeromonadales;f__Aeromonadaceae;g__
9	0	0	0	0	0	0	0	0	5.07329645047e-06	5.07329645047e-06	0	0	0	0	0	0	0	0	0	5.07329645047e-06	5.07329645047e-06	0	0	0	0	0	0	0	0	0	MockHiSeq.even;k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;Other;Other
10	1.77565375766e-05	1.77565375766e-05	1.77565375766e-05	1.77565375766e-05	1.77565375766e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.77565375766e-05	0	MockHiSeq.even;k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Christensenellaceae;g__
