Taxon	HMPMockV1.1.Even1	HMPMockV1.2.Staggered1	HMPMockV1.2.Staggered2	HMPMockV1.1.Even2
None;Other;Other;Other	0.587331836084	0.769621699405	0.7564770797	0.602296102442
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales	0.00334253440722	0.0442633474762	0.0456930425371	0.00379228457885
k__Bacteria;p__Acidobacteria;c__Sva0725;o__Sva0725	1.3829269372e-06	0.0	0.0	1.34621390801e-06
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales	0.0123924082843	8.77992157364e-05	5.03428084864e-05	0.0140019708572
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales	0.0438277204939	0.000356898110721	0.000355003597775	0.0450147006559
k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales	0.0	0.0	8.67979456662e-07	4.03864172402e-06
k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales	0.0	2.28049911004e-06	0.0	0.0
k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__SHA-20	1.3829269372e-06	2.28049911004e-06	1.73595891332e-06	1.34621390801e-06
k__Bacteria;p__Chloroflexi;c__SAR202;o__	0.0	0.0	0.0	2.69242781601e-06
k__Bacteria;p__Cyanobacteria;c__S15B-MN24;o__	0.0	1.14024955502e-06	0.0	1.34621390801e-06
k__Bacteria;p__Cyanobacteria;c__Synechococcophycideae;o__Pseudanabaenales	1.3829269372e-06	1.14024955502e-06	0.0	0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__	2.07439040581e-05	1.25427451052e-05	1.04157534799e-05	2.96167059761e-05
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales	0.00302722706554	0.00370581105381	0.00374880327332	0.00325783765737
k__Bacteria;p__Firmicutes;c__Bacilli;o__Herpetosiphonales	1.3829269372e-06	5.70124777509e-06	4.33989728331e-06	1.34621390801e-06
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales	0.0690260322167	0.0133899505246	0.0141376493901	0.0662714182633
k__Bacteria;p__Firmicutes;c__Clostridia;o__	0.0	0.0	1.73595891332e-06	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales	0.0241265433465	0.0182143463919	0.0182796473573	0.0272662164927
k__Bacteria;p__Fusobacteria;c__Fusobacteria;o__Fusobacteriales	2.76585387441e-06	0.0	0.0	0.0
k__Bacteria;p__NKB19;c__;o__	0.0	1.14024955502e-06	8.67979456662e-07	0.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__	0.0	2.28049911004e-06	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales	0.0	0.0	1.73595891332e-06	0.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales	5.53170774882e-06	2.62257397654e-05	3.99270550065e-05	4.03864172402e-06
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales	0.0111823472142	0.0717102945151	0.0751053944055	0.0102675734764
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales	0.0	0.0	8.67979456662e-07	1.34621390801e-06
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales	1.3829269372e-06	1.14024955502e-06	1.21517123933e-05	1.34621390801e-06
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales	2.76585387441e-06	2.28049911004e-06	5.20787673997e-06	6.73106954003e-06
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Neisseriales	0.0194729942028	0.00138882395801	0.00132887654815	0.0210682476603
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__SC-I-84	0.0	1.14024955502e-06	8.67979456662e-07	0.0
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfobacterales	1.3829269372e-06	4.56099822007e-06	6.9438356533e-06	1.34621390801e-06
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales	1.10634154976e-05	1.48232442152e-05	2.69073631565e-05	1.34621390801e-06
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfuromonadales	2.76585387441e-06	1.48232442152e-05	4.33989728331e-05	1.34621390801e-05
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales	0.0	1.14024955502e-06	8.67979456662e-07	0.0
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Sva0485	0.0	0.0	0.0	2.69242781601e-06
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Syntrophobacterales	1.52121963092e-05	5.70124777509e-06	7.81181510996e-06	3.09629198841e-05
k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales	0.0247654555915	0.00163853861056	0.0014981325422	0.0246747547198
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__	1.3829269372e-06	2.28049911004e-06	3.47191782665e-06	0.0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Aeromonadales	0.0	0.0	2.60393836999e-06	2.69242781601e-06
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales	4.14878081161e-06	1.14024955502e-06	1.73595891332e-06	9.42349735604e-06
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales	5.53170774882e-06	7.98174688512e-06	8.67979456662e-06	5.38485563202e-06
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales	0.00809565429039	0.049668130367	0.0556947698162	0.0087113501987
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Methylococcales	2.76585387441e-06	3.42074866505e-06	0.0	1.34621390801e-06
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales	8.29756162322e-06	6.84149733011e-06	1.12837329366e-05	8.07728344803e-06
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales	0.0	3.42074866505e-06	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales	0.193264039474	0.0257479752019	0.0273760720631	0.173170226056
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Thiotrichales	1.3829269372e-06	1.14024955502e-06	2.60393836999e-06	1.34621390801e-06
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales	8.29756162322e-06	7.29759715211e-05	4.94748290297e-05	1.75007808041e-05
k__Bacteria;p__Tenericutes;c__Mollicutes;o__RF39	1.3829269372e-06	0.0	1.73595891332e-06	2.69242781601e-06
k__Bacteria;p__Thermi;c__Deinococci;o__Deinococcales	4.28707350533e-05	5.70124777509e-06	6.07585619664e-06	5.38485563202e-05
k__Bacteria;p__Verrucomicrobia;c__Verruco-5;o__LD1-PB3	0.0	1.14024955502e-06	8.67979456662e-07	0.0
