Taxon	HMPMockV1.2.Staggered2	HMPMockV1.2.Staggered1	HMPMockV1.1.Even2	HMPMockV1.1.Even1
Unknown;Other;Other;Other;Other	3.47144175051e-06	0.0	0.0	0.0
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	0.0458074096188	0.0444024116056	0.00379989635423	0.00335596918648
k__Bacteria;Other;Other;Other;Other	0.0017713031532	0.00140464170235	0.00159776017445	0.00130256406002
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;Other	8.67860437627e-07	0.0	1.61525881157e-05	1.10621151594e-05
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae	5.03359053824e-05	8.66499751451e-05	0.0139854492102	0.0123757413346
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Nocardiaceae	0.0	1.14013125191e-06	0.0	4.14829318477e-06
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Propionibacteriaceae	7.81074393865e-06	3.42039375573e-06	0.000107683920772	0.000124448795543
k__Bacteria;p__Bacteroidetes;Other;Other;Other	8.67860437627e-07	0.0	2.69209801929e-06	1.38276439492e-06
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;Other	0.0	0.0	8.07629405787e-06	0.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae	0.000356690639865	0.000355720950596	0.0449903420984	0.0437893828584
k__Bacteria;p__Bacteroidetes;c__[Saprospirae];o__[Saprospirales];f__Chitinophagaceae	0.0	2.28026250382e-06	0.0	0.0
k__Bacteria;p__Firmicutes;Other;Other;Other	0.00143630902427	0.00135675618977	0.000433427781106	0.000319418575227
k__Bacteria;p__Firmicutes;c__Bacilli;Other;Other	0.0028830323738	0.00269299001701	0.00361683368891	0.00340160041151
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;Other	0.012140499662	0.0117216894009	0.0165092911033	0.0160276221016
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Listeriaceae	0.00143717688471	0.00123704240832	0.0237456505791	0.0227768951132
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Paenibacillaceae	1.73572087525e-06	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Planococcaceae	2.95072548793e-05	2.28026250382e-05	5.24959113761e-05	5.3927811402e-05
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae	0.649800088348	0.667683663743	0.465408559526	0.463940961491
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;Other	0.000144064832646	0.000164178900275	0.000390354212797	0.000300059873698
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae	8.41824624498e-05	0.000133395356473	0.0095179125472	0.00928526291191
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae	0.000226511574221	0.000175580212794	0.00421851759623	0.00299230215061
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae	0.104098123773	0.0995653819668	0.0707483359469	0.0733487373287
k__Bacteria;p__Firmicutes;c__Clostridia;Other;Other	7.81074393865e-06	6.84078751146e-06	8.07629405787e-06	4.14829318477e-06
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;Other	3.55822779427e-05	1.14013125191e-05	4.1727519299e-05	3.73346386629e-05
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae	0.0180966258454	0.0180300356177	0.0270502008978	0.0239425654981
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae	0.0	0.0	0.0	2.76552878985e-06
k__Bacteria;p__Proteobacteria;Other;Other;Other	0.000281186781791	0.00022118546287	0.000153449587099	0.000118917737963
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;Other;Other	0.000318504780609	0.000259949925435	5.11498623665e-05	4.42484606375e-05
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae	1.73572087525e-06	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae	3.29786966298e-05	2.5082887542e-05	2.69209801929e-06	4.14829318477e-06
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Methylobacteriaceae	3.47144175051e-06	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;Other	3.7317998818e-05	1.71019687786e-05	4.03814702893e-06	4.14829318477e-06
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae	0.0745422687087	0.0712878466569	0.010185552856	0.0111008325624
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;Other;Other	4.33930218814e-06	1.14013125191e-06	3.23051762315e-05	3.5951874268e-05
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae	0.0	0.0	0.0	2.76552878985e-06
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae	8.67860437627e-07	2.28026250382e-06	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Neisseriales;f__Neisseriaceae	0.00131567642344	0.00138297920857	0.0209916343054	0.0194015672252
