Taxon	Even3	Even2	Even1
Unclassified;Other;Other;Other;Other;Other	0.00189494369756	0.00173934218079	0.000286853704611
k__Archaea;p__Crenarchaeota;c__MCG;o__pGrfC26;f__;g__	7.79812221217e-06	0.0	6.99643181977e-06
k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Cenarchaeales;f__Cenarchaeaceae;Other	0.0	0.0	2.09892954593e-05
k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Nitrososphaerales;f__Nitrososphaeraceae;g__Candidatus Nitrososphaera	3.11924888487e-05	0.0	6.99643181977e-06
k__Archaea;p__Euryarchaeota;c__Thermoplasmata;o__E2;f__DHVEG-1;g__	0.0	8.69671090394e-06	6.99643181977e-06
k__Bacteria;Other;Other;Other;Other;Other	0.0231058361147	0.023081070739	0.0156790037081
k__Bacteria;p__Acidobacteria;Other;Other;Other;Other	0.0	0.0	2.79857272791e-05
k__Bacteria;p__Acidobacteria;c__Acidobacteria;o__Acidobacteriales;Other;Other	0.0	0.0	1.39928636395e-05
k__Bacteria;p__Acidobacteria;c__Acidobacteria;o__Acidobacteriales;f__Acidobacteriaceae;Other	0.0	0.0	1.39928636395e-05
k__Bacteria;p__Acidobacteria;c__Acidobacteria;o__Acidobacteriales;f__Acidobacteriaceae;g__	0.0	0.0	1.39928636395e-05
k__Bacteria;p__Acidobacteria;c__Acidobacteria;o__Acidobacteriales;f__Acidobacteriaceae;g__Granulicella	0.0	0.0	1.39928636395e-05
k__Bacteria;p__Acidobacteria;c__Acidobacteria;o__Acidobacteriales;f__Koribacteraceae;Other	0.0	0.0	2.09892954593e-05
k__Bacteria;p__Acidobacteria;c__Acidobacteria;o__Acidobacteriales;f__Koribacteraceae;g__	0.0	4.34835545197e-05	6.99643181977e-05
k__Bacteria;p__Acidobacteria;c__Acidobacteria-2;o__;f__;g__	0.0	2.60901327118e-05	0.000272860840971
k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;o__iii1-15;Other;Other	7.79812221217e-06	8.69671090394e-06	0.0
k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;o__iii1-15;f__;g__	4.6788733273e-05	4.34835545197e-05	4.19785909186e-05
k__Bacteria;p__Acidobacteria;c__Chloracidobacteria;o__;f__;g__	5.45868554852e-05	1.73934218079e-05	0.0
k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales;f__Solibacteraceae;g__Candidatus Solibacter	1.55962444243e-05	8.69671090394e-06	2.09892954593e-05
k__Bacteria;p__Acidobacteria;c__iii1-8;o__DS-18;f__;g__	0.0	2.60901327118e-05	0.0
k__Bacteria;p__Actinobacteria;Other;Other;Other;Other	9.35774665461e-05	4.34835545197e-05	9.0953613657e-05
k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__OCS155;g__	2.33943666365e-05	8.69671090394e-06	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;Other;Other;Other	0.000725225365732	0.00077400727045	0.000559714545582
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;Other;Other	3.11924888487e-05	7.82703981354e-05	3.49821590989e-05
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__ACK-M1;g__	8.57793443339e-05	8.69671090394e-05	9.79500454768e-05
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;Other	7.79812221217e-06	0.0	6.99643181977e-06
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;Other	7.79812221217e-06	0.0	6.99643181977e-06
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micromonosporaceae;Other	5.45868554852e-05	8.69671090394e-06	1.39928636395e-05
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Mycobacteriaceae;g__Mycobacterium	0.0	8.69671090394e-06	7.69607500175e-05
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Nocardioidaceae;Other	1.55962444243e-05	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Sporichthyaceae;Other	1.55962444243e-05	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;Other	0.000584859165913	0.000469622388813	0.000405793045547
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium	0.0828394522599	0.0797836258327	0.0868117260197
k__Bacteria;p__Actinobacteria;c__Rubrobacteria;o__Rubrobacterales;f__Rubrobacteraceae;g__Rubrobacter	1.55962444243e-05	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Solirubrobacterales;Other;Other	1.55962444243e-05	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Solirubrobacterales;f__;g__	2.33943666365e-05	8.69671090394e-06	0.0
k__Bacteria;p__Bacteroidetes;Other;Other;Other;Other	0.00125549767616	0.00126971979197	0.00102847547751
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;Other;Other	0.00303346954053	0.00293948828553	0.00301546211432
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;Other	0.0347640288219	0.0443706190319	0.0411250262366
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides	0.151767054493	0.151087958534	0.155390750717
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;Other	0.0160797280015	0.0158193171343	0.0177919261177
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Parabacteroides	0.000101375588758	0.000121753952655	0.000132932204576
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas	0.0	0.0	1.39928636395e-05
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella	0.0260535263109	0.029238342059	0.0275659413699
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__	0.0100517795315	0.0115057485259	0.011257258798
k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;Other;Other;Other	0.0	0.0	1.39928636395e-05
k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;Other	3.11924888487e-05	8.69671090394e-05	6.29678863779e-05
k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium	6.23849776974e-05	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;Other;Other	0.0	6.95736872315e-05	4.89750227384e-05
k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__;g__	0.0	2.60901327118e-05	0.0
k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Chitinophagaceae;Other	0.000101375588758	0.000104360530847	0.000160917931855
k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Chitinophagaceae;g__	2.33943666365e-05	0.0	2.79857272791e-05
k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Sphingobacteriaceae;Other	7.79812221217e-06	0.0	4.19785909186e-05
k__Bacteria;p__Chloroflexi;Other;Other;Other;Other	7.79812221217e-06	8.69671090394e-06	2.79857272791e-05
k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__Anaerolineales;f__Anaerolinaceae;g__WCHB1-05	1.55962444243e-05	0.0	0.0
k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__envOPS12;f__;g__	0.0	0.0	1.39928636395e-05
k__Bacteria;p__Chloroflexi;c__Ellin6529;o__;f__;g__	0.0	0.0	3.49821590989e-05
k__Bacteria;p__Cyanobacteria;Other;Other;Other;Other	7.79812221217e-06	8.69671090394e-06	0.0
k__Bacteria;p__Cyanobacteria;c__4C0d-2;o__YS2;f__;g__	7.79812221217e-06	0.0	6.99643181977e-06
k__Bacteria;p__Cyanobacteria;c__Chloroplast;Other;Other;Other	7.79812221217e-06	0.0	4.89750227384e-05
k__Bacteria;p__Cyanobacteria;c__Chloroplast;o__Haptophyceae;f__;g__	1.55962444243e-05	2.60901327118e-05	0.0
k__Bacteria;p__Cyanobacteria;c__Chloroplast;o__Stramenopiles;f__;g__	0.000226145544153	0.000200024350791	0.00140628279577
k__Bacteria;p__Cyanobacteria;c__Chloroplast;o__Streptophyta;f__;g__	0.0	8.69671090394e-06	1.39928636395e-05
k__Bacteria;p__Cyanobacteria;c__Nostocophycideae;o__Nostocales;f__Nostocaceae;Other	5.45868554852e-05	8.69671090394e-06	2.09892954593e-05
k__Bacteria;p__Cyanobacteria;c__Nostocophycideae;o__Nostocales;f__Nostocaceae;g__Dolichospermum	0.000389906110609	7.82703981354e-05	4.19785909186e-05
