Taxon	EUK.Mock.1
Root;k__Eukaryota;Other;Other	0.0123046819879
Root;k__Eukaryota;p__Alveolata;Other	0.000169330486073
Root;k__Eukaryota;p__Alveolata;c__Ciliophora	3.7628996905e-05
Root;k__Eukaryota;p__Amoebozoa;Other	5.64434953575e-05
Root;k__Eukaryota;p__Amoebozoa;c__Mycetozoa	5.64434953575e-05
Root;k__Eukaryota;p__Euglenozoa;Other	5.64434953575e-05
Root;k__Eukaryota;p__Euglenozoa;c__Euglenida	0.000573842202801
Root;k__Eukaryota;p__Fungi;Other	0.00119472065173
Root;k__Eukaryota;p__Fungi;c__Chytridiomycota	0.0161710614199
Root;k__Eukaryota;p__Fungi;c__Dikarya	0.482986989774
Root;k__Eukaryota;p__Fungi;c__Fungi_incertae_sedis	0.208492864601
Root;k__Eukaryota;p__Metazoa;Other	0.264465997498
Root;k__Eukaryota;p__Metazoa;c__Acanthocephala	0.00022577398143
Root;k__Eukaryota;p__Metazoa;c__Arthropoda	0.00221070356817
Root;k__Eukaryota;p__Metazoa;c__Chordata	0.00895570126339
Root;k__Eukaryota;p__Metazoa;c__Cnidaria	0.000874874178042
Root;k__Eukaryota;p__Metazoa;c__Mollusca	2.82217476788e-05
Root;k__Eukaryota;p__Metazoa;c__Nematoda	1.88144984525e-05
Root;k__Eukaryota;p__Metazoa;c__Platyhelminthes	8.46652430363e-05
Root;k__Eukaryota;p__Parabasalia;Other	3.7628996905e-05
Root;k__Eukaryota;p__Parabasalia;c__Trichonymphida	1.88144984525e-05
Root;k__Eukaryota;p__Rhizaria;Other	3.7628996905e-05
Root;k__Eukaryota;p__Rhizaria;c__Foraminifera	1.88144984525e-05
Root;k__Eukaryota;p__Rhodophyta;c__Bangiophyceae	1.88144984525e-05
Root;k__Eukaryota;p__Stramenopiles;Other	1.88144984525e-05
Root;k__Eukaryota;p__Viridiplantae;c__Streptophyta	0.000884281427268
