#Taxon	pc0	pc1	pc2	pc3	pc4	pc5	pc6	pc7	pc8	pc9	pc10	pc11	pc12	pc13	pc14	pc15	pc16	pc17	pc18	pc19	pc20	pc21	pc22	pc23	pc24	pc25	pc26	pc27	pc28	pc29	pc30
MockMiSeq.even;k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides	-0.00121235730015	0.00221261166276	-0.000212932758238	0.000124139007099	-0.00019807229237	-0.000133740372085	4.31424994544e-05	-4.03438094076e-07	-7.4833880708e-05	-2.31817548612e-05	6.10016801775e-07	-2.4408912928e-07	4.50278637824e-07	6.21675822604e-08	-1.30283722114e-06	-2.34878510301e-08	9.46767169656e-08	-2.44278104255e-08	-4.04406254129e-08	2.06377157887e-09	6.16030840918e-10	-4.00807050623e-11	2.82612041476e-10	4.14816218913e-10	1.32175129719e-10	-2.37364946651e-09	-1.59087157912e-11	-2.15635943997e-11	1.42828126646e-10	4.45225629793e-12	-9.86503194278e-14
MockMiSeq.even;k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus	0.00432341319869	0.0103342141498	0.00055628270928	5.41731311455e-05	-9.0174425952e-05	-0.000106366292521	-8.32927465852e-05	-3.45491528039e-05	5.01273895712e-07	-7.36819368209e-05	5.68362429374e-07	2.41016691123e-06	-9.6195815982e-07	-4.10421463004e-07	2.70320012601e-07	1.506049265e-07	-2.21223832798e-07	-7.8038688352e-08	1.01809543641e-08	3.63285406344e-10	-3.56720979741e-09	-1.67821000897e-09	1.61594889517e-09	8.29543949962e-10	9.64463621403e-11	-2.37364946651e-09	-1.59087157912e-11	-2.15635943997e-11	1.42828126646e-10	4.45225629793e-12	-9.86503194279e-14
MockMiSeq.even;k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__[Ruminococcus]	0.0163759034119	0.0142553040845	-0.0117306931649	-0.00162584201385	0.000587838811763	-0.000441753075916	-0.000127769366942	-0.000253856279349	-0.000231710359742	5.72862138306e-05	6.65367965838e-05	2.12062776441e-06	-6.86544404408e-07	-6.50436741558e-07	-4.1949944677e-06	-1.04907519017e-07	4.03727843995e-07	-1.08028288982e-07	1.01341582392e-07	4.65805264211e-09	-1.82664308609e-08	-7.4831007161e-09	5.61525587654e-09	1.17223093563e-09	7.20105160778e-10	-2.37364946651e-09	-1.59087157912e-11	-2.15635943996e-11	1.42828126646e-10	4.45225629791e-12	-9.86503194268e-14
MockMiSeq.even;k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Dorea	-0.00804269992638	0.0115200186045	-0.00807132338085	0.00055638877783	0.000458674798167	-0.000446351754019	-0.00130589442022	0.000244576659247	1.29466169676e-05	-7.15382661458e-05	-6.71294038948e-05	-8.64278507639e-06	1.26587403157e-05	6.71119128814e-06	5.87913837952e-06	9.61922670511e-07	2.71185813073e-06	1.59276456785e-06	-8.42864642514e-07	-1.35321679875e-07	5.73049080586e-08	5.66523874701e-08	-7.51541938566e-08	-1.37283262356e-08	3.89124090453e-09	-2.37364946652e-09	-1.59087157911e-11	-2.15635944e-11	1.42828126646e-10	4.45225629786e-12	-9.86503194292e-14
MockMiSeq.even;k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__	-0.0279873196913	0.027736217035	0.007735014183	0.000979814861284	-2.64866489215e-05	2.62361765188e-05	0.00137855914962	-0.000175960427174	-6.45682649176e-05	0.000616864199338	9.80172599349e-07	-5.72959387569e-06	4.43832458742e-06	4.86222235879e-07	8.08563620157e-06	1.59921441365e-06	1.62265330438e-09	1.42018064139e-06	8.53791743349e-07	5.37885269979e-08	1.17170924224e-07	2.8785016516e-08	-2.72299091115e-08	2.63399385597e-09	5.47538711785e-09	-2.37364946651e-09	-1.59087157912e-11	-2.15635943998e-11	1.42828126646e-10	4.45225629795e-12	-9.86503194308e-14
MockMiSeq.even;k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium	-0.000955932406646	-3.6778168439e-05	-0.000408910587117	0.000121099027416	-8.65377377472e-05	-8.91084639432e-06	1.18843013109e-05	1.13005768205e-05	-2.79956492788e-05	2.10015664417e-06	-1.45241941154e-08	-4.60720632353e-07	4.04593030741e-07	4.72440165548e-08	-7.63555330771e-07	-1.16255421698e-08	1.15800411904e-07	8.32502914966e-09	3.23806717153e-08	2.26599817881e-09	-2.55081718266e-09	-9.45522959688e-10	9.16261741905e-10	9.31282417179e-10	3.91828397925e-11	-2.37364946651e-09	-1.59087157912e-11	-2.15635943997e-11	1.42828126646e-10	4.45225629793e-12	-9.86503194279e-14
MockMiSeq.even;k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Verrucomicrobiaceae;g__Akkermansia	0.00232094511275	0.00602071867942	0.000719276007556	-3.10540722596e-05	-6.61369841577e-05	-2.77234603236e-05	-1.97070810378e-05	-1.00314977543e-05	1.11901649861e-05	-4.05169846227e-05	4.66308945319e-07	1.33965744462e-06	-6.21750023594e-07	-2.68756077079e-07	2.89552889063e-07	1.28713844322e-07	-1.25841005424e-07	-4.6709095039e-08	1.36774557357e-08	7.25230100165e-10	-2.1766764205e-09	-1.21617890522e-09	8.65301915989e-10	9.14156221951e-10	1.20804010798e-10	-2.37364946651e-09	-1.59087157912e-11	-2.15635943997e-11	1.42828126646e-10	4.45225629793e-12	-9.8650319428e-14
MockMiSeq.even;k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Faecalibacterium	-0.00698619485056	0.017417533773	-0.0405974024512	-0.00176287713923	0.00250553470553	0.00178355546342	0.00244425508891	-1.75920980595e-05	8.49235626169e-05	-0.000450531893573	4.21022542113e-06	5.06054970487e-05	-1.31845454993e-05	-8.80166346078e-06	-1.61650812053e-05	7.3723190363e-06	-5.87029170997e-07	1.24441469509e-06	3.86146019408e-06	-9.63381948774e-08	-1.95704299959e-07	-3.39323469371e-08	6.79443690425e-08	8.99225254042e-09	-7.33402543194e-09	-2.37364946651e-09	-1.59087157913e-11	-2.15635943992e-11	1.42828126646e-10	4.45225629795e-12	-9.86503194216e-14
MockMiSeq.even;k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospira	0.00626115365823	0.0143309523263	0.00232047377908	-0.000326894295049	9.08809780147e-05	4.31914950026e-05	-0.000112485400702	-2.82638563955e-05	9.0460841594e-05	-9.50815462865e-05	1.90953312374e-06	1.66877124656e-06	-3.63495897006e-06	-2.99272864915e-07	3.87480828757e-07	4.12503360397e-07	-1.26543643357e-07	-1.066679333e-07	7.62207039134e-08	-3.50587796417e-09	-1.17379101082e-08	-4.28812621144e-09	3.62003828665e-09	5.43700650005e-10	-2.7848614519e-11	-2.37364946651e-09	-1.59087157912e-11	-2.15635943997e-11	1.42828126646e-10	4.45225629794e-12	-9.86503194275e-14
MockMiSeq.even;k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__[Tissierellaceae];g__Anaerococcus	0.00300023518505	0.016137125627	0.00131554401462	5.47297146394e-05	-0.000171728440055	-1.53823321459e-05	-4.88339930362e-06	-2.04133498174e-05	1.00022982222e-05	-7.23067582715e-05	2.54542230724e-06	5.58906473372e-07	-1.94136366806e-06	-7.4377754048e-07	-1.26917131369e-06	-1.33315847196e-07	-7.7798219129e-08	-1.02291481883e-07	2.92846387153e-08	1.6225705388e-08	-1.68311163617e-08	-5.66690473083e-09	4.53600994372e-09	1.33677368746e-09	1.30711622327e-10	-2.37364946651e-09	-1.59087157912e-11	-2.15635943997e-11	1.42828126646e-10	4.45225629794e-12	-9.86503194277e-14
