#NodeID	NodeType	Abundance	mock	k	p	c	o	f	g
1	otu	0.00588158750813	Mock.2	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Nectriaceae	g__Nectria
2	otu	0.000104098893949	Mock.2	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Eurotiales	f__Trichocomaceae	g__Penicillium
3	otu	0.0625	Mock.2	k__Fungi	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Saccharomycetaceae	g__Debaryomyces
4	otu	0.697202342225	Mock.2	k__Fungi	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	Other	Other
5	otu	0.631255692908	Mock.2	k__Fungi	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Dipodascaceae	Other
6	otu	0.00039037085231	Mock.2	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Nectriaceae	g__Nectria
7	otu	0.000130123617437	Mock.2	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Eurotiales	f__Trichocomaceae	g__Penicillium
8	otu	0.0	Mock.2	k__Fungi	p__Ascomycota	c__unidentified	o__unidentified	f__unidentified	g__unidentified
9	otu	0.0	Mock.2	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Eurotiales	f__Trichocomaceae	g__Penicillium
10	otu	1.45870039037	Mock.2	k__Fungi	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Saccharomycetaceae	g__Kluyveromyces
11	otu	0.0625	Mock.2	k__Fungi	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Saccharomycetaceae	g__Zygosaccharomyces
12	otu	1.19925992193	Mock.2	k__Fungi	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Pichiaceae	g__Pichia
13	otu	0.229746258946	Mock.2	k__Fungi	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Dipodascaceae	g__Galactomyces
14	otu	2.60247234873e-05	Mock.2	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Incertae_sedis	f__Magnaporthaceae	Other
15	otu	0.650461938842	Mock.2	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Eurotiales	f__Trichocomaceae	g__Penicillium
16	otu	0.0625	Mock.2	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Nectriaceae	g__Fusarium
17	otu	5.20494469746e-05	Mock.2	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Nectriaceae	g__Fusarium
18	otu	0.000520494469746	Mock.2	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Xylariales	f__Amphisphaeriaceae	g__Bartalinia
19	otu	0.0	Mock.2	k__Fungi	p__unidentified	c__unidentified	o__unidentified	f__unidentified	g__unidentified
20	otu	0.0464281067012	Mock.2	k__Fungi	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Saccharomycetaceae	g__Zygosaccharomyces
21	otu	0.40903057905	Mock.2	k__Fungi	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Saccharomycetaceae	g__Debaryomyces
22	otu	1.38342225114	Mock.2	k__Fungi	p__unidentified	c__unidentified	o__unidentified	f__unidentified	g__unidentified
23	otu	0.00124918672739	Mock.2	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Eurotiales	f__Trichocomaceae	g__Aspergillus
