Taxon	blast_100.0	blast_0.0001	blast_1e-06	blast_1.0	blast_1e-10	blast_1e-30	mothur_0.0	mothur_0.1	mothur_0.2	mothur_0.3	mothur_0.4	mothur_0.5	mothur_0.6	mothur_0.7	mothur_0.8	mothur_0.9	mothur_1.0	rdp_0.0	rdp_0.1	rdp_0.2	rdp_0.3	rdp_0.4	rdp_0.5	rdp_0.6	rdp_0.7	rdp_0.8	rdp_0.9	rdp_1.0	rtax_single	rtax_paired	Expected
s__Rhizopus_sp._accc_30795	0	0	0	0	0	0	0.208257683371	0.208210647125	0.208003687642	0.207683841168	0.207495696183	0.206997111974	0.205284992615	0.196940762552	0.194071551538	0.190684941816	0	0.208257683371	0.208210647125	0.208107167383	0.207627397673	0.20742043819	0.206536156762	0.20583061307	0.204052642967	0.194127995033	0.00134523663935	0	0	0	0	
Other	0	0	0	0	0	0	0	3.7628996905e-05	0	0	0	0	0	0	0	0	0	0	3.7628996905e-05	0	0	0	0	0	0	0	0	0	0	0	0	
s__Aphelenchoides_sp._h1_wy-2008	0	0	0	0	0	0	7.525799381e-05	0	0	0	0	0	0	0	0	0	0	7.525799381e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	
Other	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.88144984525e-05	0	0	0	0	0	0	0	0	0	0	0	0	
s__Myxidium_lieberkuehni	0	0	0	0	0	0	1.88144984525e-05	0	0	0	0	0	0	0	0	0	0	1.88144984525e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	
s__Paecilomyces_pascua	7.525799381e-05	7.525799381e-05	7.525799381e-05	7.525799381e-05	7.525799381e-05	7.525799381e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
s__Basidiomycete_yeast_sp._bg98-9-24-3-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000159923236846	0	
s__Kuraishia_capsulata	5.64434953575e-05	5.64434953575e-05	5.64434953575e-05	5.64434953575e-05	5.64434953575e-05	0	0.000112886990715	0.000112886990715	3.7628996905e-05	0	0	0	0	0	0	0	0	0.000112886990715	5.64434953575e-05	5.64434953575e-05	1.88144984525e-05	0	0	0	0	0	0	0	0	0	0	
s__Coccidioides_immitis_rmscc_2394	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.083333333	
s__Leidyana_migrator	0	0	0	0	0	0	1.88144984525e-05	0	0	0	0	0	0	0	0	0	0	1.88144984525e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	
s__Trichoderma_sp._090209	0	0	0	0	0	0	1.88144984525e-05	0	0	0	0	0	0	0	0	0	0	1.88144984525e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	
s__Asparagopsis_armata	0	0	0	0	0	0	1.88144984525e-05	0	0	0	0	0	0	0	0	0	0	1.88144984525e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	
s__Spirometra_erinaceieuropaei	0	0	0	0	0	0	1.88144984525e-05	0	0	0	0	0	0	0	0	0	0	1.88144984525e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	
s__Starmera_amethionina_var._amethionina	1.88144984525e-05	1.88144984525e-05	1.88144984525e-05	1.88144984525e-05	1.88144984525e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
s__Humidicutis_marginata	5.64434953575e-05	5.64434953575e-05	5.64434953575e-05	5.64434953575e-05	5.64434953575e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Other	0	0	0	0	0	0	0	1.88144984525e-05	1.88144984525e-05	7.525799381e-05	8.46652430363e-05	0	5.64434953575e-05	0	0	1.88144984525e-05	0	0	1.88144984525e-05	3.7628996905e-05	0.000122294239941	8.46652430363e-05	0	0	0	0	0	0	1.88144984525e-05	0	0	
Other	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.7628996905e-05	3.7628996905e-05	0	
s__Mycogloea_sp._tub_fo40962	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.88144984525e-05	1.88144984525e-05	0	
s__Gyropaigne_lefevrei	0	0	0	0	0	0	5.64434953575e-05	1.88144984525e-05	0	0	0	0	0	0	0	0	0	5.64434953575e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	
s__Leydigiopsis_curvirostris	0	0	0	0	0	0	3.7628996905e-05	0	0	0	0	0	0	0	0	0	0	3.7628996905e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	
s__Euthlastoblatta_sp._2_djgi-2006	0	0	0	0	0	0	0.000404511716729	0	0	0	0	0	0	0	0	0	0	0.000404511716729	0	0	0	0	0	0	0	0	0	0	0	0	0	
s__Monodelphis_domestica_(gray_short-tailed_opossum)	3.7628996905e-05	3.7628996905e-05	3.7628996905e-05	3.7628996905e-05	3.7628996905e-05	3.7628996905e-05	3.7628996905e-05	3.7628996905e-05	3.7628996905e-05	0	0	0	0	0	0	0	0	3.7628996905e-05	3.7628996905e-05	3.7628996905e-05	0	0	0	0	0	0	0	0	3.7628996905e-05	5.64434953575e-05	0	
s__Batrachochytrium_dendrobatidis_jel423	0.0160393599308	0.0160393599308	0.0160393599308	0.0160393599308	0.0160393599308	0.0158700294447	0.0161522469215	0.0161522469215	0.0161522469215	0.016133432423	0.016133432423	0.016133432423	0.0160769889277	0.0160017309339	0.0142519825778	0.0134429591443	0.00304794874931	0.0161522469215	0.0161522469215	0.0161522469215	0.016133432423	0.016133432423	0.016133432423	0.0160958034261	0.0159829164354	0.0157665497032	0.0134335518951	0.00304794874931	0.016133432423	0.0161522469215	0.083333333	
Other	0	0	0	0	0	0	0	5.64434953575e-05	5.64434953575e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00015051598762	0	
s__Conaperta_cirrata	0	0	0	0	0	0	9.40724922625e-05	0	0	0	0	0	0	0	0	0	0	9.40724922625e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	
s__Saccharomyces_cerevisiae_rm11-1a	0.000178737735299	0.000178737735299	0.000178737735299	0.000178737735299	0.000178737735299	0.000178737735299	0.00535272480974	0.00521161607134	0.00482591885307	0.00281276751865	0.00160863961769	0.000479769710539	0	0	0	0	0	0.00539976105587	0.00539976105587	0.00533391031129	0.00528687406515	0.00439318538866	0.003367795223	0.00216366732204	0.000987761168757	1.88144984525e-05	0	0	1.88144984525e-05	1.88144984525e-05	0	
s__Tremella_globispora	0.000423326215181	0.000423326215181	0.000423326215181	0.000423326215181	0.000423326215181	0.00037628996905	0.00082783793191	0.000743172688874	0.00037628996905	0.000272810227561	0.000253995729109	0.000253995729109	0.000235181230656	0	0	0	0	0.00082783793191	0.000780801685779	0.000498584208991	0.000385697218276	0.000272810227561	0.000272810227561	0.000235181230656	0	0	0	0	0.000329253722919	0.000460955212086	0	
s__Pseudomurraytrema_ardens	0	0	0	0	0	0	3.7628996905e-05	0	0	0	0	0	0	0	0	0	0	3.7628996905e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	
s__Uncultured_eukaryote	0.0122764602403	0.0122764602403	0.0122764602403	0.0122764602403	0.0121635732495	0.0117214325359	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0120506862588	0.0120506862588	0	
s__Kazachstania_aquatica	0	0	0	0	0	0	3.7628996905e-05	0	0	0	0	0	0	0	0	0	0	3.7628996905e-05	3.7628996905e-05	0	0	0	0	0	0	0	0	0	0	0	0	
s__Trichonympha_sp._rxxtca	0	0	0	0	0	0	1.88144984525e-05	0	0	0	0	0	0	0	0	0	0	1.88144984525e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	
s__Homo_sapiens_(human)	0.006735590446	0.006735590446	0.006735590446	0.006735590446	0.006735590446	0.00667914695064	0.00669796144909	0.00669796144909	0.00669796144909	0.00669796144909	0.0065944817076	0.00651922371379	0.00649100196612	0.00588893801563	0.00579486552337	0.00579486552337	0	0.00669796144909	0.00669796144909	0.00669796144909	0.00669796144909	0.00664151795374	0.0065568527107	0.00644396571998	0.00632167148004	0.00579486552337	0.00579486552337	0	0.00668855419987	0.00671677594755	0.083333333	
s__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.1666666	
s__Cryptococcus_gattii	0.0615610389366	0.0615610389366	0.0615610389366	0.0615610389366	0.0615610389366	0.0614857809428	0.058917601904	0.058917601904	0.058917601904	0.0588423439102	0.000799616184232	0.000573842202801	0.000357475470598	0.000319846473693	0.000122294239941	0.000103479741489	0	0.058917601904	0.058917601904	0.0588987874056	0.058832936661	0.0586541989257	0.000592656701254	0.000395104467503	0.000253995729109	0.000122294239941	0.000103479741489	0	0.000319846473693	0.0592280411285	0.083333333	
s__Saccharomycopsis_microspora	3.7628996905e-05	3.7628996905e-05	3.7628996905e-05	3.7628996905e-05	3.7628996905e-05	0	1.88144984525e-05	0	0	0	0	0	0	0	0	0	0	1.88144984525e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	
s__Candida_parapsilosis	3.7628996905e-05	3.7628996905e-05	3.7628996905e-05	3.7628996905e-05	3.7628996905e-05	0	0.000413918965955	0.000413918965955	0.000348068221371	0.000112886990715	0.000141108738394	0	0	0	0	0	0	0.000413918965955	0.000131701489168	0	0	0	0	0	0	0	0	0	0	0	0	
Other	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000263402978335	0	0	0	0	0	0	0	0	0	0	0.00652863096302	0	0	0	
s__Echinorhynchus_gadi	0	0	0	0	0	0	1.88144984525e-05	0	0	0	0	0	0	0	0	0	0	1.88144984525e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	
Other	0	0	0	0	0	0	0	0.000169330486073	9.40724922625e-05	0	0	0	0	0	0	0	0	0	0.000131701489168	1.88144984525e-05	0	0	0	0	0	0	0	0	0	0	0	
Other	0	0	0	0	0	0	0	8.46652430363e-05	0	0	0	0	0	0	0	0	0	0	1.88144984525e-05	0	0	0	0	0	0	0	0	0	0	0	0	
s__Macrothrix_triserialis	0	0	0	0	0	0	1.88144984525e-05	0	0	0	0	0	0	0	0	0	0	1.88144984525e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	
s__Rhodotorula_sp._s1000	3.7628996905e-05	3.7628996905e-05	3.7628996905e-05	3.7628996905e-05	3.7628996905e-05	3.7628996905e-05	0	0	0	0	0	0	0	0	0	0	0	3.7628996905e-05	3.7628996905e-05	3.7628996905e-05	3.7628996905e-05	3.7628996905e-05	3.7628996905e-05	3.7628996905e-05	3.7628996905e-05	3.7628996905e-05	0	0	0	0	0	
s__Orius_sp._wcw-2003b	0	0	0	0	0	0	5.64434953575e-05	0	0	0	0	0	0	0	0	0	0	5.64434953575e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	
s__Lepidoderma_tigrinum	0	0	0	0	0	0	0.000282217476788	0	0	0	0	0	0	0	0	0	0	0.000263402978335	0	0	0	0	0	0	0	0	0	0	0	0	0	
s__Ulospora_bilgramii	2.82217476788e-05	2.82217476788e-05	2.82217476788e-05	2.82217476788e-05	2.82217476788e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
s__Tremella_aurantia	0	0	0	0	0	0	1.88144984525e-05	0	0	0	0	0	0	0	0	0	0	1.88144984525e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	
s__Ophiocordyceps_prolifica	0	0	0	0	0	0	5.64434953575e-05	0	0	0	0	0	0	0	0	0	0	5.64434953575e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	
s__Hyaloraphidium_curvatum	0	0	0	0	0	0	1.88144984525e-05	1.88144984525e-05	1.88144984525e-05	1.88144984525e-05	0	0	0	0	0	0	0	1.88144984525e-05	1.88144984525e-05	1.88144984525e-05	0	0	0	0	0	0	0	0	0	0	0	
s__Uncultured_chytridiomycota	5.64434953575e-05	5.64434953575e-05	5.64434953575e-05	5.64434953575e-05	2.82217476788e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
s__Candida_succiphila	0.000329253722919	0.000329253722919	0.000329253722919	0.000329253722919	0.000329253722919	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
s__Lepidoderma_carestianum	0	0	0	0	0	0	1.88144984525e-05	0	0	0	0	0	0	0	0	0	0	1.88144984525e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	
s__Scheffersomyces_stipitis	0.0175727415546	0.0175727415546	0.0175727415546	0.0175727415546	0.0175727415546	0	0.015258558245	0	0	0	0	0	0	0	0	0	0	0.015258558245	0.0148822682759	0	0	0	0	0	0	0	0	0	0	0	0	
s__Pichia_sp._nrrl_y-17803	0	0	0	0	0	0	2.82217476788e-05	0	0	0	0	0	0	0	0	0	0	2.82217476788e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	
s__Capnobotryella_sp._ma_3612	3.7628996905e-05	3.7628996905e-05	3.7628996905e-05	3.7628996905e-05	3.7628996905e-05	3.7628996905e-05	3.7628996905e-05	0	0	0	0	0	0	0	0	0	0	3.7628996905e-05	0	0	0	0	0	0	0	0	0	0	1.88144984525e-05	0	0	
s__Cryptococcus_sp._fyb-2007a	0	0	0	0	0	0	5.64434953575e-05	0	0	0	0	0	0	0	0	0	0	5.64434953575e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	
Other	0	0	0	0	0	0	0	0	1.88144984525e-05	1.88144984525e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
s__Dicyema_sp.	0	0	0	0	0	0	3.7628996905e-05	0	0	0	0	0	0	0	0	0	0	3.7628996905e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	
