Taxon	blast_100.0	blast_0.0001	blast_1e-06	blast_1.0	blast_1e-10	blast_1e-30	mothur_0.0	mothur_0.1	mothur_0.2	mothur_0.3	mothur_0.4	mothur_0.5	mothur_0.6	mothur_0.7	mothur_0.8	mothur_0.9	mothur_1.0	rdp_0.0	rdp_0.1	rdp_0.2	rdp_0.3	rdp_0.4	rdp_0.5	rdp_0.6	rdp_0.7	rdp_0.8	rdp_0.9	rdp_1.0	rtax_single	Expected
g__Granulicatella	1.14400768773e-05	1.14400768773e-05	1.14400768773e-05	1.14400768773e-05	1.14400768773e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
g__	8.00805381412e-05	8.00805381412e-05	8.00805381412e-05	8.00805381412e-05	8.00805381412e-05	8.00805381412e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
g__Flexithrix	0	0	0	0	0	0	2.28801537546e-05	0	0	0	0	0	0	0	0	0	0	2.28801537546e-05	0	0	0	0	0	0	0	0	0	0	0	0	
g__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.14400768773e-05	0	
Other	0	0	0	0	0	0	0	1.14400768773e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
g__Aquitalea	0	0	0	0	0	0	1.14400768773e-05	1.14400768773e-05	1.14400768773e-05	1.14400768773e-05	0	0	0	0	0	0	0	1.14400768773e-05	1.14400768773e-05	1.14400768773e-05	0.0	0	0	0	0	0	0	0	0	0	
g__	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
g__Clostridium	0.0827918363611	0.0827918363611	0.0827918363611	0.0827918363611	0.0827918363611	0.0827689562074	0.0886605957992	0.0886605957992	0.0886377156454	0.0885004347229	0.0882373129547	0.0688235024939	0.0666384478104	0.066203724889	0.0640415503592	0.0606209673729	0.0582299913055	0.0886605957992	0.0886377156454	0.0886148354917	0.088488994646	0.0878025900334	0.0874136274196	0.0665583672722	0.0665126069647	0.0636297075916	0.0606324074498	0.0582299913055	0.0207294193017	0.1764	
Other	0	0	0	0	0	0	0	0	1.14400768773e-05	0	0.0	0	0	1.14400768773e-05	0.0	0.0	0.00269985814305	0	0	0	0	0	0	0	0	0.0	0.0	0.00281425891182	0	0	
g__	0.0181439619274	0.0181439619274	0.0181439619274	0.0181439619274	0.0181439619274	0.0181325218505	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	3.43202306319e-05	0	
Other	0	0	0	0	0	0	0	2.28801537546e-05	0	0	0	0	0	0	0	0	0	0	0	2.28801537546e-05	0	0	0	0	0	0	0	0	0	0	
g__	6.86404612639e-05	6.86404612639e-05	6.86404612639e-05	6.86404612639e-05	6.86404612639e-05	6.86404612639e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
g__Bifidobacterium	0.132018487164	0.132018487164	0.132018487164	0.132018487164	0.132018487164	0.131972726857	0.131904086395	0.131904086395	0.131904086395	0.131881206242	0.131846886011	0.13181256578	0.131320642475	0.131091840937	0.130760078708	0.129741911866	0.0879627511097	0.131904086395	0.131904086395	0.131904086395	0.131881206242	0.13181256578	0.131801125704	0.131526563859	0.13108040086	0.130817279092	0.114400768773	0.112227154166	0.132018487164	0.1176	
g__Edwardsiella	0	0	0	0	0	0	0.0181897222349	0.0181668420812	0.0181325218505	0.0181096416968	0.000331762229442	5.72003843866e-05	0.0	0	0	0	0	0.0181897222349	0.0181782821581	0.0181325218505	0.000400402690706	0.0179609206974	0.000251681691301	0.0	0	0	0	0	0	0.0147	
g__Catenibacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.94	
g__Propionispora	0	0	0	0	0	0	1.14400768773e-05	0	0	0	0	0	0	0	0	0	0	1.14400768773e-05	0	0	0	0	0	0	0	0	0	0	0	0	
Other	0	0	0	0	0	0	0	0	1.14400768773e-05	0	0	0	0	0	0	0	0	0	1.14400768773e-05	0	0	0	0	0	0	0	0	0	0	0	
g__Halothiobacillus	0	0	0	0	0	0	8.00805381412e-05	8.00805381412e-05	0	0	0	0	0	0	0	0	0	8.00805381412e-05	8.00805381412e-05	0	0	0	0	0	0	0	0	0	0	0	
Other	0	0	0	0	0	0	0	0	0	1.14400768773e-05	0.0	1.14400768773e-05	0.0	2.28801537546e-05	4.57603075093e-05	0.000102960691896	0.000617764151375	0	0	0	1.14400768773e-05	0	3.43202306319e-05	3.43202306319e-05	3.43202306319e-05	8.00805381412e-05	5.72003843866e-05	0	0	0	
Other	0	0	0	0	0	0	0	0	2.28801537546e-05	1.14400768773e-05	1.14400768773e-05	0	0	0	0	0	0	0	0	2.28801537546e-05	1.14400768773e-05	0	0	0	0	0	0	0	0	0	
Other	0	0	0	0	0	0	0	0	2.28801537546e-05	1.14400768773e-05	0	0	0	0	0	0	0	0	5.72003843866e-05	3.43202306319e-05	1.14400768773e-05	0	0.0	0	0	0	0	0	0	0	
g__Paenibacillus	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	
Other	0	0	0	0	0	0	0	0	1.14400768773e-05	1.14400768773e-05	0	0	0	0	0	0	0	0	0	1.14400768773e-05	1.14400768773e-05	0	0	0	0	0	0	0	0	0	
g__	0.0705623941793	0.0705623941793	0.0705623941793	0.0705623941793	0.0705623941793	0.0705623941793	0.0295497185741	0.0293437971903	0.0135793712534	0.0111083146479	0.00636068274379	0.00334050244818	1.14400768773e-05	0	0	0	0	0.0295497185741	0.0294009975747	0.0135450510227	0.0109710337253	0.00370658490825	0.00331762229442	1.14400768773e-05	0	0	0	0	0.0484601656523	0	
Other	0	0	0	0	0	0	0	0.0	0	0.0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	
g__Morganella	0	0	0	0	0	0	1.14400768773e-05	1.14400768773e-05	0	0	0	0	0	0	0	0	0	1.14400768773e-05	1.14400768773e-05	0	0	0	0	0	0	0	0	0	0	0	
g__	0	0	0	0	0	0	2.28801537546e-05	0	0	0	0	0	0	0	0	0	0	2.28801537546e-05	0	0	0	0	0	0	0	0	0	0	0	0	
g__Plesiomonas	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	
g__BF311	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0.0	0	
g__Laceyella	0	0	0	0	0	0	1.14400768773e-05	0	0	0	0	0	0	0	0	0	0	1.14400768773e-05	0	0	0	0	0	0	0	0	0	0	0	0	
Other	0	0	0	0	0	0	0	3.43202306319e-05	2.28801537546e-05	2.28801537546e-05	1.14400768773e-05	1.14400768773e-05	1.14400768773e-05	2.28801537546e-05	2.28801537546e-05	1.14400768773e-05	1.14400768773e-05	0	5.72003843866e-05	0	0	1.14400768773e-05	2.28801537546e-05	2.28801537546e-05	2.28801537546e-05	2.28801537546e-05	1.14400768773e-05	1.14400768773e-05	0	0	
g__02d06	0.00017160115316	0.00017160115316	0.00017160115316	0.00017160115316	0.00017160115316	0.00017160115316	1.14400768773e-05	1.14400768773e-05	1.14400768773e-05	1.14400768773e-05	0	0	0	0	0	0	0	1.14400768773e-05	1.14400768773e-05	1.14400768773e-05	0	0	0	0	0	0	0	0	0.00017160115316	0	
