Taxon	EUK.Mock.1
Root;Other;Other;Other;Other;Other	0.00209781657745
Root;k__Bacteria;Other;Other;Other;Other	0.000122294239941
Root;k__Bacteria;p__Fusobacteria;c__Fusobacteria;g__Fusobacterium;Other	3.7628996905e-05
Root;k__Bacteria;p__Proteobacteria;Other;Other;Other	0.000470362461313
Root;k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;Other;Other	0.000188144984525
Root;k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;g__Alysiella;s__Kingella_sp._oral_clone_id059	4.70362461313e-05
Root;k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;g__Neisseria;Other	0.000178737735299
Root;k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;g__Neisseria;s__Neisseria_gonorrhoeae_tcdc-ng08107	0.0233205708319
Root;k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;g__Neisseria;s__Neisseria_sp._oral_taxon_014_str._f0314	0.000159923236846
Root;k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;g__Neisseriaceae;s__Neisseria_sp._oral_clone_jc012	3.7628996905e-05
Root;k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;Other;Other	0.000131701489168
Root;k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;g__Campylobacter;Other	0.0065944817076
Root;k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;g__Campylobacter;s__Campylobacter_fetus_subsp._fetus	0.000404511716729
Root;k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;g__Campylobacter;s__Campylobacter_rectus_rm3267	0.000235181230656
Root;k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;g__Sulfurospirillum;s__Sulfurospirillum_sp._am-n	1.88144984525e-05
Root;k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;Other;Other	0.0280900461896
Root;k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;g__Actinobacillus;s__Bisgaard_taxon_10	0.00022577398143
Root;k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;g__Avibacterium;s__Avibacterium_paragallinarum	0.148615723276
Root;k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;g__Haemophilus;s__Haemophilus_influenzae_22.1-21	0.073592910697
Root;k__Eukaryota;Other;Other;Other;Other	0.00162745411614
Root;k__Eukaryota;p__Fungi;Other;Other;Other	0.00142990188239
Root;k__Eukaryota;p__Fungi;c__Chytridiomycota;Other;Other	1.88144984525e-05
Root;k__Eukaryota;p__Fungi;c__Chytridiomycota;g__Batrachochytrium;s__Batrachochytrium_dendrobatidis_jel423	0.0160581744292
Root;k__Eukaryota;p__Fungi;c__Dikarya;Other;Other	0.113752457644
Root;k__Eukaryota;p__Fungi;c__Dikarya;g__Candida;Other	0.041909295303
Root;k__Eukaryota;p__Fungi;c__Dikarya;g__Candida;s__Candida_sp._bg02-7-14-001k-1-1	0.000696136442743
Root;k__Eukaryota;p__Fungi;c__Dikarya;g__Clavispora;s__Clavispora_lusitaniae_atcc_42720	0.0186451679664
Root;k__Eukaryota;p__Fungi;c__Dikarya;g__Coccidioides;s__Coccidioides_posadasii_rmscc_1037	0.0337532102238
Root;k__Eukaryota;p__Fungi;c__Dikarya;g__Epichloe;s__Epichloe_typhina	2.82217476788e-05
Root;k__Eukaryota;p__Fungi;c__Dikarya;g__Filobasidiella/cryptococcus_neoformans_species_complex;s__Cryptococcus_gattii	0.00045154796286
Root;k__Eukaryota;p__Fungi;c__Dikarya;g__Papiliotrema;s__Papiliotrema_bandonii	0.000112886990715
Root;k__Eukaryota;p__Fungi;c__Dikarya;g__Rhodotorula;s__Rhodotorula_sp._w500	3.7628996905e-05
Root;k__Eukaryota;p__Fungi;c__Dikarya;g__Saccharomyces;Other	0.00644396571998
Root;k__Eukaryota;p__Fungi;c__Dikarya;g__Saccharomyces;s__Saccharomyces_cerevisiae_(bakers_yeast)	0.25239649674
Root;k__Eukaryota;p__Fungi;c__Dikarya;g__Tremella;s__Tremella_globispora	0.000235181230656
Root;k__Eukaryota;p__Fungi;c__Dikarya;g__Trichophyton;s__Trichophyton_tonsurans_cbs_112818	0.0119848355142
Root;k__Eukaryota;p__Fungi;c__Fungi_incertae_sedis;Other;Other	0.00202255858364
Root;k__Eukaryota;p__Fungi;c__Fungi_incertae_sedis;g__Rhizomucor;s__Rhizomucor_endophyticus	1.88144984525e-05
Root;k__Eukaryota;p__Fungi;c__Fungi_incertae_sedis;g__Rhizopus;Other	0.000112886990715
Root;k__Eukaryota;p__Fungi;c__Fungi_incertae_sedis;g__Rhizopus;s__Rhizopus_sp._accc_30795	0.203855090733
Root;k__Eukaryota;p__Metazoa;c__Chordata;Other;Other	0.00260580803567
Root;k__Eukaryota;p__Metazoa;c__Chordata;g__Homo;s__Homo_sapiens_(human)	0.00634989322772
Root;k__Eukaryota;p__Viridiplantae;c__Streptophyta;Other;Other	0.000884281427268
