#Taxon	pc0	pc1	pc2	pc3	pc4	pc5	pc6	pc7	pc8	pc9	pc10	pc11	pc12	pc13	pc14	pc15	pc16	pc17	pc18	pc19	pc20	pc21	pc22	pc23	pc24	pc25	pc26	pc27	pc28	pc29	pc30
EUK.Mock.1;Root;k__Eukaryota;p__Fungi;c__Dikarya;g__Saccharomyces;s__Saccharomyces_cerevisiae_(bakers_yeast)	-0.165002129209	-0.0527119150569	0.0326759497347	-0.00491394639699	-0.0012384801814	0.00829139443254	0.00227980641106	0.0013160772265	0.0022785564131	0.00067834924131	1.63598840034e-05	-0.000166044461977	0.00130664660315	0.000267654902756	0.000234501655728	-9.36048917666e-05	0.000311907039373	-0.000101707088078	-0.000162861076802	6.38753767532e-06	2.02993993243e-05	2.53885676561e-06	-2.81987472572e-06	-5.18346344984e-06	2.7279789794e-06	3.72941529538e-07	-3.22655923641e-10	-1.27550490177e-09	-5.24864799522e-09	-1.29131941325e-10	1.70678353936e-11
EUK.Mock.1;Root;k__Eukaryota;Other;Other;Other;Other	0.341471784045	0.0264852419658	0.0318819175446	-0.00807974133549	-0.00382311262031	0.00627912082958	0.00627926468502	0.00620396057849	0.00292505628408	0.000301073127675	6.74548492059e-05	-0.00201223584256	0.00110367198331	-0.000309236649407	-0.000354308740044	0.00037126892743	-0.000142784356644	0.000432370591838	-9.58088304856e-05	-2.77278284658e-05	4.32413764974e-05	-1.04848910254e-06	-6.39105661482e-06	-2.12744692372e-06	1.09061304842e-06	-1.57048776163e-06	7.23454077691e-10	-1.27550490177e-09	-5.24864799522e-09	-1.29131941326e-10	1.70678353937e-11
EUK.Mock.1;Root;k__Eukaryota;p__Fungi;c__Fungi_incertae_sedis;g__Rhizopus;s__Rhizopus_sp._accc_30795	0.0900398889211	-0.158848793655	-0.000486872175667	0.00363898700616	-0.00407737281037	0.0023076636939	3.74534591549e-05	0.00415297281421	0.000483691950548	-0.00231661603666	8.43714644934e-05	-0.000718531893697	0.00102664375123	-0.000681374096274	-3.44203888885e-05	0.000394059281807	-0.000321817716765	0.000166720818586	9.70402466464e-05	5.91015229182e-06	1.97753997192e-05	6.14652372942e-07	-3.87988473023e-06	-3.89629632585e-06	3.91122819478e-06	7.24824127197e-07	-4.09117045511e-10	-1.27550490177e-09	-5.24864799522e-09	-1.29131941325e-10	1.70678353936e-11
EUK.Mock.1;Root;k__Eukaryota;p__Fungi;c__Dikarya;Other;Other	0.364123038853	0.0568527186777	0.0266529296639	-0.0314139030244	-0.00381713299208	-0.00459099791525	-0.00760962815897	-0.000590285063939	-0.00608394032626	-0.0084228922032	0.000165574602005	-2.56664838196e-05	-0.00203698093061	-0.000740864717195	0.00108634155144	0.00023035988933	-0.000161038371095	-0.000890382955635	0.000461200727052	3.68370198734e-05	-4.64792511305e-05	4.8136598774e-06	4.05566850356e-07	5.38138184969e-06	-2.40879923239e-06	3.15082450896e-06	-1.24752330582e-09	-1.27550490177e-09	-5.24864799522e-09	-1.29131941325e-10	1.70678353936e-11
EUK.Mock.1;NO_HIT	-0.411980353386	0.210454163419	0.0758988376041	0.0197277561467	0.00175836864903	-0.0124954286634	0.00086343371349	0.0057751839928	-0.00655872753362	-0.00568777098006	0.000154785715207	-0.00101823289906	-0.000431705199011	-0.00138396844826	2.98940084718e-05	0.000583157996367	-0.00135093830315	-0.000534834605436	0.000945927693975	-7.36524665592e-07	-7.90624523543e-05	-8.3663953628e-07	-1.00988935441e-05	1.09748528045e-05	-8.25077373217e-06	1.38767582645e-06	2.01049338913e-08	-1.27550490176e-09	-5.24864799518e-09	-1.29131941333e-10	1.70678353948e-11
EUK.Mock.1;Root;k__Eukaryota;p__Metazoa;Other;Other;Other	-0.159641956788	-0.282852158181	-0.0514250543675	-0.043166293941	0.0769581839393	-0.0128773013955	0.00948053054176	-0.0162085754018	-0.00232807335352	0.00504166637295	-0.000383773839386	0.00723334898811	-0.00627171078557	0.00197119071294	-8.51447270485e-05	-0.000142663099819	0.00105989859757	-0.00144505353814	7.3056467313e-05	-2.8542465759e-05	-0.00011358699516	-9.72330373675e-06	3.68405078319e-05	3.74168562799e-05	-3.30363131193e-05	-2.30999289677e-06	1.60046789695e-09	-1.27550490177e-09	-5.24864799521e-09	-1.29131941326e-10	1.70678353939e-11
EUK.Mock.1;Root;k__Eukaryota;p__Fungi;c__Fungi_incertae_sedis;g__Rhizopus;s__Rhizopus_oryzae_ra_99-880	-0.411327358377	0.219652865715	-0.00439221480399	0.0138504313252	-0.0177390096335	-0.0107974804519	0.0453550970736	0.0109200270723	-0.00980950935073	-0.0111194320269	0.000424155132798	0.00357221638132	-0.0012962548902	-0.000569852125854	-0.00036648801934	0.00176915137996	-0.000217190398147	-0.000903735259822	0.000762804065712	-1.98687820567e-05	-9.5359623308e-05	4.06362227011e-06	-1.68453397316e-05	2.22175457134e-05	-1.82330458298e-05	-1.51266593605e-06	-2.73076141891e-09	-1.27550490177e-09	-5.24864799522e-09	-1.29131941324e-10	1.70678353932e-11
EUK.Mock.1;Root;k__Eukaryota;p__Fungi;c__Dikarya;g__Saccharomyces;Other	0.455982826622	0.0255855215199	-0.0188547383615	0.132849074204	0.0153237203264	-0.0294505671313	0.00588035924668	-0.000598519712018	-0.00707451677352	0.00192885817929	-0.000131078347938	0.000214516427538	-0.00522002343749	0.0012533721411	0.00067952751056	5.90450363518e-05	-0.00053916434718	-0.00103378245704	0.000557858421833	-2.97657748658e-05	-0.000141248729403	-9.22183331739e-06	7.64114903812e-06	2.66337833159e-05	-2.46452815397e-05	-2.85423019306e-06	1.66011113899e-09	-1.27550490177e-09	-5.24864799521e-09	-1.29131941327e-10	1.70678353939e-11
EUK.Mock.1;Root;k__Eukaryota;p__Fungi;c__Dikarya;g__Filobasidiella/cryptococcus_neoformans_species_complex;s__Cryptococcus_gattii	-0.257549432717	-0.020023655013	-0.0538470179452	-0.00737510805209	0.000393405186833	-0.0052392300519	0.00783452940073	-0.00449932205663	-0.00124339309377	0.00525854034463	-8.99878719895e-05	-0.0041322471136	-0.00133169599259	0.000201898578846	-0.000160751611615	0.000461624720185	2.1648873171e-05	-0.000615767325684	0.00041086149037	-4.44724056433e-05	4.56136410795e-05	-5.45173695789e-06	1.14604396645e-06	6.07904180663e-06	-1.60008618606e-06	1.10374427856e-06	-7.9913311879e-11	-1.27550490177e-09	-5.24864799522e-09	-1.29131941325e-10	1.70678353936e-11
EUK.Mock.1;Root;k__Eukaryota;p__Fungi;c__Dikarya;g__Coccidioides;s__Coccidioides_posadasii_rmscc_1037	-0.185898473635	-0.0443732842668	0.0253797392013	0.00256781891591	0.000508593027944	-0.00079466049473	0.00180811632143	-0.00198954862697	0.00202292050629	-7.96685158525e-06	5.60559839773e-05	-0.00162822746887	-0.00302447558581	0.000511862868243	-0.00314684210235	0.000153284050303	-0.000198408352499	0.00206359667585	-0.00106210329631	4.72921846291e-06	7.27926140308e-05	6.03654461686e-06	1.63976496067e-05	-8.46936366495e-06	1.20972559218e-05	-3.40393455572e-06	1.00654980042e-10	-1.27550490177e-09	-5.24864799522e-09	-1.29131941325e-10	1.70678353936e-11
EUK.Mock.1;Root;k__Eukaryota;p__Fungi;c__Fungi_incertae_sedis;Other;Other	0.521243842574	0.285074532007	0.0246030598165	-0.0617817266398	0.0156698423076	-0.00273326817243	0.0145466934694	-0.0470083454314	0.00425837493964	0.0296002217417	-0.000969962961698	0.00717317363953	-0.00996078931586	0.0088749912388	-0.000459316933252	-0.00494079550173	0.00426376146471	-0.00211515463089	-0.0021085122725	-8.58057829329e-05	-0.000120964288337	-4.49249797289e-06	4.85767628363e-05	3.2898488248e-05	-3.73869208923e-05	-1.02493958648e-05	4.95942497947e-09	-1.27550490177e-09	-5.24864799521e-09	-1.29131941328e-10	1.70678353942e-11
EUK.Mock.1;Root;k__Eukaryota;p__Fungi;c__Dikarya;g__Clavispora;s__Clavispora_lusitaniae_atcc_42720	-0.0649031456136	0.00617139476561	-0.077872412984	0.00786121839424	-0.000133861434492	0.00848955046644	-0.00663040604434	0.00731557804164	0.00239471064374	-0.00468118906467	0.000168183584483	-0.0012878331059	0.00278287094579	-0.0013027479647	6.48751107867e-05	0.000482110078342	-0.000312962608067	0.000690825749786	2.20775563473e-05	2.95400297617e-05	5.25582008821e-05	2.28397685486e-06	-6.86900325174e-06	-1.46102910416e-05	1.26248843419e-05	1.67185064472e-06	-8.91419824276e-10	-1.27550490177e-09	-5.24864799522e-09	-1.29131941325e-10	1.70678353935e-11
