#NodeID	NodeType	Abundance	mock	k	p	c	o	f	g
1	otu	3.8851468942	EUK.Mock.1	Root	k__Eukaryota	p__Fungi	c__Fungi_incertae_sedis	g__Rhizopus	s__Rhizopus_sp._accc_30795
2	otu	7.525799381e-05	EUK.Mock.1	Root	k__Eukaryota	p__Alveolata	c__Ciliophora	Other	Other
3	otu	0.00015051598762	EUK.Mock.1	Root	k__Eukaryota	p__Metazoa	c__Nematoda	g__Aphelenchoides	s__Aphelenchoides_sp._h1_wy-2008
4	otu	1.88144984525e-05	EUK.Mock.1	Root	k__Eukaryota	p__Metazoa	c__Chaetognatha	Other	Other
5	otu	3.7628996905e-05	EUK.Mock.1	Root	k__Eukaryota	p__Metazoa	c__Cnidaria	g__Myxidium	s__Myxidium_lieberkuehni
6	otu	0.00045154796286	EUK.Mock.1	Root	k__Eukaryota	p__Fungi	c__Dikarya	g__Paecilomyces	s__Paecilomyces_pascua
7	otu	0.000159923236846	EUK.Mock.1	Root	k__Eukaryota	p__Fungi	c__Dikarya	g__Basidiomycota	s__Basidiomycete_yeast_sp._bg98-9-24-3-1
8	otu	0.000790208935005	EUK.Mock.1	Root	k__Eukaryota	p__Fungi	c__Dikarya	g__Kuraishia	s__Kuraishia_capsulata
9	otu	0.083333333	EUK.Mock.1	Root	k__Eukaryota	p__Fungi	c__Dikarya	g__Coccidioides	s__Coccidioides_immitis_rmscc_2394
10	otu	3.7628996905e-05	EUK.Mock.1	Root	k__Eukaryota	p__Alveolata	c__Apicomplexa	g__Leidyana	s__Leidyana_migrator
11	otu	3.7628996905e-05	EUK.Mock.1	Root	k__Eukaryota	p__Fungi	c__Dikarya	g__Trichoderma	s__Trichoderma_sp._090209
12	otu	3.7628996905e-05	EUK.Mock.1	Root	k__Eukaryota	p__Rhodophyta	c__Florideophyceae	g__Asparagopsis	s__Asparagopsis_armata
13	otu	3.7628996905e-05	EUK.Mock.1	Root	k__Eukaryota	p__Metazoa	c__Platyhelminthes	g__Spirometra	s__Spirometra_erinaceieuropaei
14	otu	9.40724922625e-05	EUK.Mock.1	Root	k__Eukaryota	p__Fungi	c__Dikarya	g__Starmera	s__Starmera_amethionina_var._amethionina
15	otu	0.000282217476788	EUK.Mock.1	Root	k__Eukaryota	p__Fungi	c__Dikarya	g__Humidicutis	s__Humidicutis_marginata
16	otu	0.000555027704349	EUK.Mock.1	Root	k__Eukaryota	p__Fungi	c__Dikarya	g__Filobasidiella/cryptococcus_neoformans_species_complex	Other
17	otu	7.525799381e-05	EUK.Mock.1	Root	k__Eukaryota	p__Fungi	c__Dikarya	g__Rhodotorula	Other
18	otu	3.7628996905e-05	EUK.Mock.1	Root	k__Eukaryota	p__Fungi	c__Dikarya	g__Mycogloea	s__Mycogloea_sp._tub_fo40962
19	otu	0.000131701489167	EUK.Mock.1	Root	k__Eukaryota	p__Euglenozoa	c__Euglenida	g__Gyropaigne	s__Gyropaigne_lefevrei
20	otu	7.525799381e-05	EUK.Mock.1	Root	k__Eukaryota	p__Metazoa	c__Arthropoda	g__Leydigiopsis	s__Leydigiopsis_curvirostris
21	otu	0.000809023433458	EUK.Mock.1	Root	k__Eukaryota	p__Metazoa	c__Arthropoda	g__Euthlastoblatta	s__Euthlastoblatta_sp._2_djgi-2006
22	otu	0.000545620455123	EUK.Mock.1	Root	k__Eukaryota	p__Metazoa	c__Chordata	g__Monodelphis	s__Monodelphis_domestica_(gray_short-tailed_opossum)
23	otu	0.532548298052	EUK.Mock.1	Root	k__Eukaryota	p__Fungi	c__Chytridiomycota	g__Batrachochytrium	s__Batrachochytrium_dendrobatidis_jel423
24	otu	0.000263402978335	EUK.Mock.1	Root	k__Eukaryota	p__Fungi	c__Dikarya	g__Cryptococcus	Other
