Taxon	EUK.Mock.1
Root;k__Eukaryota;Other;Other;Other;Other	0.296826934836
Root;k__Eukaryota;p__Fungi;Other;Other;Other	0.0197740378736
Root;k__Eukaryota;p__Fungi;c__Chytridiomycota;Other;Other	0.00162745411614
Root;k__Eukaryota;p__Fungi;c__Chytridiomycota;g__Batrachochytrium;s__Batrachochytrium_dendrobatidis_jel423	0.0142519825778
Root;k__Eukaryota;p__Fungi;c__Dikarya;Other;Other	0.168954196104
Root;k__Eukaryota;p__Fungi;c__Dikarya;g__Candida;s__Candida_sp._bg02-7-14-001k-1-1	0.000169330486073
Root;k__Eukaryota;p__Fungi;c__Dikarya;g__Clavispora;s__Clavispora_lusitaniae_atcc_42720	0.018334728742
Root;k__Eukaryota;p__Fungi;c__Dikarya;g__Coccidioides;s__Coccidioides_posadasii_rmscc_1037	5.64434953575e-05
Root;k__Eukaryota;p__Fungi;c__Dikarya;g__Filobasidiella/cryptococcus_neoformans_species_complex;s__Cryptococcus_gattii	0.000122294239941
Root;k__Eukaryota;p__Fungi;c__Dikarya;g__Rhodotorula;s__Rhodotorula_sp._w500	3.7628996905e-05
Root;k__Eukaryota;p__Fungi;c__Dikarya;g__Saccharomyces;Other	0.238652505621
Root;k__Eukaryota;p__Fungi;c__Dikarya;g__Saccharomyces;s__Saccharomyces_cerevisiae_(bakers_yeast)	0.0117120252867
Root;k__Eukaryota;p__Fungi;c__Dikarya;g__Trichophyton;s__Trichophyton_tonsurans_cbs_112818	0.0118437267759
Root;k__Eukaryota;p__Fungi;c__Fungi_incertae_sedis;Other;Other	0.0136122896304
Root;k__Eukaryota;p__Fungi;c__Fungi_incertae_sedis;g__Rhizopus;Other	0.000112886990715
Root;k__Eukaryota;p__Fungi;c__Fungi_incertae_sedis;g__Rhizopus;s__Rhizopus_sp._accc_30795	0.194071551538
Root;k__Eukaryota;p__Metazoa;Other;Other;Other	2.82217476788e-05
Root;k__Eukaryota;p__Metazoa;c__Chordata;Other;Other	0.00313261399234
Root;k__Eukaryota;p__Metazoa;c__Chordata;g__Homo;s__Homo_sapiens_(human)	0.00579486552337
Root;k__Eukaryota;p__Viridiplantae;c__Streptophyta;Other;Other	0.000884281427268
