Taxon	MockHiSeq.even
k__Bacteria;Other;Other;Other	0.00256907072172
k__Bacteria;p__Actinobacteria;c__Actinobacteria;Other	5.07220280696e-06
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales	0.0404711061967
k__Bacteria;p__Bacteroidetes;Other;Other	0.00040070402175
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales	0.344029763686
k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales	1.52166084209e-05
k__Bacteria;p__Firmicutes;Other;Other	0.000504684179292
k__Bacteria;p__Firmicutes;c__Bacilli;Other	4.56498252626e-05
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales	1.26805070174e-05
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales	0.0910282876751
k__Bacteria;p__Firmicutes;c__Clostridia;Other	0.000436209441398
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales	0.37307573306
k__Bacteria;p__Firmicutes;c__Clostridia;o__Coriobacteriales	0.00075829431964
k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales	0.00387009074171
k__Bacteria;p__Fusobacteria;c__Fusobacteria;o__Fusobacteriales	5.07220280696e-06
k__Bacteria;p__Lentisphaerae;c__[Lentisphaeria];o__Victivallales	0.000172454895437
k__Bacteria;p__Proteobacteria;Other;Other	0.000367734703504
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales	2.53610140348e-05
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;Other	0.000471714861047
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales	0.122501306092
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales	0.000281507255786
k__Bacteria;p__Verrucomicrobia;Other;Other	5.57942308765e-05
k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales	0.0188964915573
