,Dataset,SampleID,Reference,Method,Parameters,Precision,Recall,F-measure,Pearson r,Pearson p,Spearman r,Spearman p,best N alignments,confidence,coverage,e value,e-value,max accepts,min consensus fraction,similarity
0,F1-iter2,S1,unite-97-rep-set,sortmerna,0.76:0.8:1:0.8:1.0:partial-ref,1.0,0.884615384615,0.938775510204,0.188692502634,0.355924949815,0.554438752581,0.00328997084101,[1.0],,"[0.0, '.', 8.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 7.0, 6.0]","[0.0, '.', 8.0]"
136,B1-iter0,S1,gg_13_8_otus,sortmerna,0.76:0.8:1:0.8:1.0:partial-ref,0.996062992126,0.980620155039,0.98828125,0.0306752467646,0.623144165865,0.18553146631,0.00272229946831,[1.0],,"[0.0, '.', 8.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 7.0, 6.0]","[0.0, '.', 8.0]"
272,B1-iter3,S1,gg_13_8_otus,sortmerna,0.76:0.8:1:0.8:1.0:partial-ref,0.996031746032,0.972868217054,0.98431372549,0.0375579259141,0.547356342332,0.197406583762,0.00140768499141,[1.0],,"[0.0, '.', 8.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 7.0, 6.0]","[0.0, '.', 8.0]"
408,F2-iter4,S1,unite-97-rep-set,sortmerna,0.76:0.8:1:0.8:1.0:partial-ref,1.0,0.896551724138,0.945454545455,0.164745652416,0.393096576095,0.469157597835,0.0102457192386,[1.0],,"[0.0, '.', 8.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 7.0, 6.0]","[0.0, '.', 8.0]"
544,B2-iter2,S1,gg_13_8_otus,sortmerna,0.76:0.8:1:0.8:1.0:partial-ref,0.983870967742,0.96442687747,0.974051896208,0.0420910237823,0.501724460507,0.209803670865,0.000712398980014,[1.0],,"[0.0, '.', 8.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 7.0, 6.0]","[0.0, '.', 8.0]"
680,B1-iter4,S1,gg_13_8_otus,sortmerna,0.76:0.8:1:0.8:1.0:partial-ref,0.977011494253,0.973282442748,0.975143403442,0.0351561514133,0.56663249493,0.214967359152,0.000393742693131,[1.0],,"[0.0, '.', 8.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 7.0, 6.0]","[0.0, '.', 8.0]"
816,F1-iter1,S1,unite-97-rep-set,sortmerna,0.76:0.8:1:0.8:1.0:partial-ref,0.961538461538,0.892857142857,0.925925925926,0.164798868774,0.39294161564,0.487679475073,0.00728462558379,[1.0],,"[0.0, '.', 8.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 7.0, 6.0]","[0.0, '.', 8.0]"
952,B1-iter2,S1,gg_13_8_otus,sortmerna,0.76:0.8:1:0.8:1.0:partial-ref,0.984435797665,0.980620155039,0.982524271845,0.0301313575229,0.62732393937,0.16743873556,0.00659806700145,[1.0],,"[0.0, '.', 8.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 7.0, 6.0]","[0.0, '.', 8.0]"
1088,F2-iter0,S1,unite-97-rep-set,sortmerna,0.76:0.8:1:0.8:1.0:partial-ref,1.0,0.923076923077,0.96,0.150004264086,0.464527983438,0.40588345533,0.0396539304019,[1.0],,"[0.0, '.', 8.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 7.0, 6.0]","[0.0, '.', 8.0]"
1224,F2-iter3,S1,unite-97-rep-set,sortmerna,0.76:0.8:1:0.8:1.0:partial-ref,1.0,0.9,0.947368421053,0.165414069904,0.382362033004,0.445867070515,0.0135320302544,[1.0],,"[0.0, '.', 8.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 7.0, 6.0]","[0.0, '.', 8.0]"
1360,F2-iter1,S1,unite-97-rep-set,sortmerna,0.76:0.8:1:0.8:1.0:partial-ref,1.0,0.928571428571,0.962962962963,0.143177957668,0.467322459312,0.412812549692,0.0290187578273,[1.0],,"[0.0, '.', 8.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 7.0, 6.0]","[0.0, '.', 8.0]"
1496,B2-iter3,S1,gg_13_8_otus,sortmerna,0.76:0.8:1:0.8:1.0:partial-ref,0.988,0.953667953668,0.970530451866,0.0481010567036,0.438156662928,0.262095829791,1.72759212294e-05,[1.0],,"[0.0, '.', 8.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 7.0, 6.0]","[0.0, '.', 8.0]"
1632,F1-iter3,S1,unite-97-rep-set,sortmerna,0.76:0.8:1:0.8:1.0:partial-ref,1.0,0.892857142857,0.943396226415,0.175668640223,0.371240335716,0.444602359457,0.0177654024143,[1.0],,"[0.0, '.', 8.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 7.0, 6.0]","[0.0, '.', 8.0]"
