,Dataset,SampleID,Reference,Method,Parameters,Precision,Recall,F-measure,Pearson r,Pearson p,Spearman r,Spearman p,best N alignments,confidence,coverage,e value,e-value,max accepts,min consensus fraction,similarity
0,F1-iter2,S1,unite-97-rep-set,sortmerna,0.76:0.8:1:0.8:1.0:partial-ref,0.9782608695652174,0.8910891089108911,0.9326424870466321,0.15237143023004315,0.1244120675787988,0.41981612904476223,1.012850219922769e-05,[1.0],,"[0.0, '.', 8.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 7.0, 6.0]","[0.0, '.', 8.0]"
136,B1-iter0,S1,gg_13_8_otus,sortmerna,0.76:0.8:1:0.8:1.0:partial-ref,0.9879518072289156,0.9590643274853801,0.9732937685459939,0.0362551127401004,0.4098100474520743,0.2729200413109537,2.5656148248041456e-10,[1.0],,"[0.0, '.', 8.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 7.0, 6.0]","[0.0, '.', 8.0]"
272,B1-iter3,S1,gg_13_8_otus,sortmerna,0.76:0.8:1:0.8:1.0:partial-ref,0.9782178217821782,0.9610894941634242,0.9695780176643768,0.03593814842167205,0.4112196717145006,0.22864276595695637,1.1791507727036071e-07,[1.0],,"[0.0, '.', 8.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 7.0, 6.0]","[0.0, '.', 8.0]"
408,F2-iter4,S1,unite-97-rep-set,sortmerna,0.76:0.8:1:0.8:1.0:partial-ref,0.9782608695652174,0.9278350515463918,0.9523809523809524,0.12397122178584513,0.22149788554932637,0.3642496531132074,0.0002102377842004324,[1.0],,"[0.0, '.', 8.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 7.0, 6.0]","[0.0, '.', 8.0]"
544,B2-iter2,S1,gg_13_8_otus,sortmerna,0.76:0.8:1:0.8:1.0:partial-ref,0.9617706237424547,0.9390962671905697,0.9502982107355864,0.044218681044593755,0.3105083443090781,0.27997547460261807,5.771729075587701e-11,[1.0],,"[0.0, '.', 8.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 7.0, 6.0]","[0.0, '.', 8.0]"
680,B1-iter4,S1,gg_13_8_otus,sortmerna,0.76:0.8:1:0.8:1.0:partial-ref,0.9770114942528736,0.9695817490494296,0.9732824427480916,0.02986864813686394,0.4893512728641809,0.2271259575163561,1.0059245722097472e-07,[1.0],,"[0.0, '.', 8.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 7.0, 6.0]","[0.0, '.', 8.0]"
816,F1-iter1,S1,unite-97-rep-set,sortmerna,0.76:0.8:1:0.8:1.0:partial-ref,0.9587628865979382,0.8773584905660378,0.916256157635468,0.1541943973207975,0.10775528899922576,0.45308881505709153,6.686157209629996e-07,[1.0],,"[0.0, '.', 8.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 7.0, 6.0]","[0.0, '.', 8.0]"
952,B1-iter2,S1,gg_13_8_otus,sortmerna,0.76:0.8:1:0.8:1.0:partial-ref,0.9824561403508771,0.9563567362428842,0.9692307692307692,0.03575249461840552,0.4087690392289095,0.22908657922678238,8.192516374157579e-08,[1.0],,"[0.0, '.', 8.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 7.0, 6.0]","[0.0, '.', 8.0]"
1088,F2-iter0,S1,unite-97-rep-set,sortmerna,0.76:0.8:1:0.8:1.0:partial-ref,0.9887640449438202,0.88,0.9312169312169312,0.15999015615540946,0.110002831860031,0.47670154877985954,4.6697082115591623e-07,[1.0],,"[0.0, '.', 8.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 7.0, 6.0]","[0.0, '.', 8.0]"
1224,F2-iter3,S1,unite-97-rep-set,sortmerna,0.76:0.8:1:0.8:1.0:partial-ref,0.9789473684210527,0.9117647058823529,0.9441624365482234,0.13359415632070518,0.17637496295168206,0.38010436203878073,6.893799965812064e-05,[1.0],,"[0.0, '.', 8.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 7.0, 6.0]","[0.0, '.', 8.0]"
1360,F2-iter1,S1,unite-97-rep-set,sortmerna,0.76:0.8:1:0.8:1.0:partial-ref,0.9603960396039604,0.9238095238095239,0.941747572815534,0.12206653561017113,0.2060671589383757,0.35831812477141844,0.00013042156623828307,[1.0],,"[0.0, '.', 8.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 7.0, 6.0]","[0.0, '.', 8.0]"
1496,B2-iter3,S1,gg_13_8_otus,sortmerna,0.76:0.8:1:0.8:1.0:partial-ref,0.9718875502008032,0.9325626204238922,0.9518190757128809,0.04604764842018505,0.2886173788331762,0.30881206726361615,3.060400592841071e-13,[1.0],,"[0.0, '.', 8.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 7.0, 6.0]","[0.0, '.', 8.0]"
1632,F1-iter3,S1,unite-97-rep-set,sortmerna,0.76:0.8:1:0.8:1.0:partial-ref,0.979381443298969,0.8878504672897196,0.9313725490196078,0.14937265439947883,0.12108681989228255,0.40228396006434514,1.4496063059421525e-05,[1.0],,"[0.0, '.', 8.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 7.0, 6.0]","[0.0, '.', 8.0]"
1768,B1-iter1,S1,gg_13_8_otus,sortmerna,0.76:0.8:1:0.8:1.0:partial-ref,0.9823874755381604,0.974757281553398,0.9785575048732944,0.028724112420865953,0.5117661384411338,0.19671855063395877,5.712952520657225e-06,[1.0],,"[0.0, '.', 8.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 7.0, 6.0]","[0.0, '.', 8.0]"
1904,F1-iter0,S1,unite-97-rep-set,sortmerna,0.76:0.8:1:0.8:1.0:partial-ref,0.9795918367346939,0.9056603773584906,0.9411764705882353,0.1371921583175965,0.15681743178267304,0.4126627932946843,9.077292438593845e-06,[1.0],,"[0.0, '.', 8.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 7.0, 6.0]","[0.0, '.', 8.0]"
2040,B2-iter0,S1,gg_13_8_otus,sortmerna,0.76:0.8:1:0.8:1.0:partial-ref,0.9764705882352941,0.9449715370018975,0.9604628736740598,0.041212841976436806,0.33957911906916893,0.28853104137312785,8.559492987920527e-12,[1.0],,"[0.0, '.', 8.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 7.0, 6.0]","[0.0, '.', 8.0]"
2176,B2-iter4,S1,gg_13_8_otus,sortmerna,0.76:0.8:1:0.8:1.0:partial-ref,0.9676767676767677,0.935546875,0.9513406156901688,0.044294436572815864,0.30967933803953956,0.26295202800764916,8.453669752076527e-10,[1.0],,"[0.0, '.', 8.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 7.0, 6.0]","[0.0, '.', 8.0]"
2312,F2-iter2,S1,unite-97-rep-set,sortmerna,0.76:0.8:1:0.8:1.0:partial-ref,0.9777777777777777,0.8627450980392157,0.9166666666666665,0.17807783035698854,0.0705162168016129,0.47881898812483037,2.7253237080993395e-07,[1.0],,"[0.0, '.', 8.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 7.0, 6.0]","[0.0, '.', 8.0]"
2448,B2-iter1,S1,gg_13_8_otus,sortmerna,0.76:0.8:1:0.8:1.0:partial-ref,0.982,0.9478764478764479,0.9646365422396856,0.04123537119311173,0.34477471904300694,0.28496649244664984,2.64706726613544e-11,[1.0],,"[0.0, '.', 8.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 7.0, 6.0]","[0.0, '.', 8.0]"
2584,F1-iter4,S1,unite-97-rep-set,sortmerna,0.76:0.8:1:0.8:1.0:partial-ref,0.9484536082474226,0.8598130841121495,0.9019607843137255,0.16117477316777215,0.08956507681935871,0.3887782469362818,2.2735878574760732e-05,[1.0],,"[0.0, '.', 8.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 7.0, 6.0]","[0.0, '.', 8.0]"
1,F1-iter2,S1,unite-97-rep-set,sortmerna,0.76:0.9:5:0.8:1.0:partial-ref,0.9875,0.7821782178217822,0.8729281767955802,0.23024446284962974,0.01990853186799326,0.5981886756796841,3.1563848205668537e-11,[5.0],,"[0.0, '.', 8.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 7.0, 6.0]","[0.0, '.', 9.0]"
137,B1-iter0,S1,gg_13_8_otus,sortmerna,0.76:0.9:5:0.8:1.0:partial-ref,0.9937369519832986,0.9278752436647173,0.9596774193548386,0.04856109116556761,0.2708660123203608,0.3369428498589877,3.6471037068888215e-15,[5.0],,"[0.0, '.', 8.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 7.0, 6.0]","[0.0, '.', 9.0]"
273,B1-iter3,S1,gg_13_8_otus,sortmerna,0.76:0.9:5:0.8:1.0:partial-ref,0.9936305732484076,0.9105058365758755,0.950253807106599,0.05642430807528264,0.20023916400995437,0.35140154535086804,1.7990077496479204e-16,[5.0],,"[0.0, '.', 8.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 7.0, 6.0]","[0.0, '.', 9.0]"
409,F2-iter4,S1,unite-97-rep-set,sortmerna,0.76:0.9:5:0.8:1.0:partial-ref,1.0,0.845360824742268,0.9162011173184357,0.1928626625701061,0.05840271856003897,0.5546184237379711,3.760901427123703e-09,[5.0],,"[0.0, '.', 8.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 7.0, 6.0]","[0.0, '.', 9.0]"
545,B2-iter2,S1,gg_13_8_otus,sortmerna,0.76:0.9:5:0.8:1.0:partial-ref,0.9903614457831326,0.8074656188605108,0.8896103896103896,0.08540910084366769,0.05320065630393174,0.49018723181787294,2.2960871179036804e-32,[5.0],,"[0.0, '.', 8.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 7.0, 6.0]","[0.0, '.', 9.0]"
681,B1-iter4,S1,gg_13_8_otus,sortmerna,0.76:0.9:5:0.8:1.0:partial-ref,0.9979919678714859,0.9448669201520913,0.9707031250000001,0.041334142068558205,0.3436193843820805,0.31155706107261183,2.5132475698026174e-13,[5.0],,"[0.0, '.', 8.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 7.0, 6.0]","[0.0, '.', 9.0]"
817,F1-iter1,S1,unite-97-rep-set,sortmerna,0.76:0.9:5:0.8:1.0:partial-ref,0.9879518072289156,0.7735849056603774,0.8677248677248678,0.22062250174296694,0.02239817860689701,0.5229522937743867,7.536692568410243e-09,[5.0],,"[0.0, '.', 8.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 7.0, 6.0]","[0.0, '.', 9.0]"
953,B1-iter2,S1,gg_13_8_otus,sortmerna,0.76:0.9:5:0.8:1.0:partial-ref,0.9938144329896907,0.9146110056925996,0.9525691699604744,0.05149062407475565,0.23665481980236822,0.32000339599687816,4.384778034681491e-14,[5.0],,"[0.0, '.', 8.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 7.0, 6.0]","[0.0, '.', 9.0]"
1089,F2-iter0,S1,unite-97-rep-set,sortmerna,0.76:0.9:5:0.8:1.0:partial-ref,1.0,0.8,0.888888888888889,0.21514266015131103,0.03158544905251447,0.5768634411941488,3.351859770509082e-10,[5.0],,"[0.0, '.', 8.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 7.0, 6.0]","[0.0, '.', 9.0]"
