,Dataset,SampleID,Reference,Method,Parameters,Precision,Recall,F-measure,Pearson r,Pearson p,Spearman r,Spearman p,best N alignments,confidence,coverage,e value,e-value,max accepts,min consensus fraction,similarity
0,F1-iter2,S1,unite-97-rep-set,sortmerna,0.76:0.8:1:0.8:1.0:partial-ref,1.0,1.0,1.0,,1.0,,,[1.0],,"[0.0, '.', 8.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 7.0, 6.0]","[0.0, '.', 8.0]"
136,B1-iter0,S1,gg_13_8_otus,sortmerna,0.76:0.8:1:0.8:1.0:partial-ref,1.0,0.9875,0.9937106918238994,0.030823359635449517,0.7860695580807445,0.15664875831875252,0.16524636812477503,[1.0],,"[0.0, '.', 8.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 7.0, 6.0]","[0.0, '.', 8.0]"
272,B1-iter3,S1,gg_13_8_otus,sortmerna,0.76:0.8:1:0.8:1.0:partial-ref,1.0,1.0,1.0,,1.0,,,[1.0],,"[0.0, '.', 8.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 7.0, 6.0]","[0.0, '.', 8.0]"
408,F2-iter4,S1,unite-97-rep-set,sortmerna,0.76:0.8:1:0.8:1.0:partial-ref,1.0,1.0,1.0,,1.0,,,[1.0],,"[0.0, '.', 8.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 7.0, 6.0]","[0.0, '.', 8.0]"
544,B2-iter2,S1,gg_13_8_otus,sortmerna,0.76:0.8:1:0.8:1.0:partial-ref,1.0,0.9743589743589743,0.9870129870129869,0.04486832245371608,0.6964884246137839,0.23154022142327715,0.0413801764653249,[1.0],,"[0.0, '.', 8.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 7.0, 6.0]","[0.0, '.', 8.0]"
680,B1-iter4,S1,gg_13_8_otus,sortmerna,0.76:0.8:1:0.8:1.0:partial-ref,0.9878048780487805,1.0,0.9938650306748467,,1.0,,,[1.0],,"[0.0, '.', 8.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 7.0, 6.0]","[0.0, '.', 8.0]"
816,F1-iter1,S1,unite-97-rep-set,sortmerna,0.76:0.8:1:0.8:1.0:partial-ref,1.0,1.0,1.0,,1.0,,,[1.0],,"[0.0, '.', 8.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 7.0, 6.0]","[0.0, '.', 8.0]"
952,B1-iter2,S1,gg_13_8_otus,sortmerna,0.76:0.8:1:0.8:1.0:partial-ref,1.0,1.0,1.0,,1.0,,,[1.0],,"[0.0, '.', 8.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 7.0, 6.0]","[0.0, '.', 8.0]"
1088,F2-iter0,S1,unite-97-rep-set,sortmerna,0.76:0.8:1:0.8:1.0:partial-ref,1.0,0.875,0.9333333333333333,0.2365018733755232,0.5728168893278459,0.5773502691896258,0.13397459621556113,[1.0],,"[0.0, '.', 8.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 7.0, 6.0]","[0.0, '.', 8.0]"
1224,F2-iter3,S1,unite-97-rep-set,sortmerna,0.76:0.8:1:0.8:1.0:partial-ref,1.0,1.0,1.0,,1.0,,,[1.0],,"[0.0, '.', 8.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 7.0, 6.0]","[0.0, '.', 8.0]"
1360,F2-iter1,S1,unite-97-rep-set,sortmerna,0.76:0.8:1:0.8:1.0:partial-ref,1.0,1.0,1.0,,1.0,,,[1.0],,"[0.0, '.', 8.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 7.0, 6.0]","[0.0, '.', 8.0]"
1496,B2-iter3,S1,gg_13_8_otus,sortmerna,0.76:0.8:1:0.8:1.0:partial-ref,1.0,0.974025974025974,0.9868421052631579,0.0462103667323435,0.689837784621438,0.19899748742132398,0.08273497645057949,[1.0],,"[0.0, '.', 8.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 7.0, 6.0]","[0.0, '.', 8.0]"
1632,F1-iter3,S1,unite-97-rep-set,sortmerna,0.76:0.8:1:0.8:1.0:partial-ref,1.0,0.875,0.9333333333333333,0.23506525998151778,0.5752193629038985,0.5773502691896258,0.13397459621556113,[1.0],,"[0.0, '.', 8.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 7.0, 6.0]","[0.0, '.', 8.0]"
1768,B1-iter1,S1,gg_13_8_otus,sortmerna,0.76:0.8:1:0.8:1.0:partial-ref,1.0,1.0,1.0,,1.0,,,[1.0],,"[0.0, '.', 8.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 7.0, 6.0]","[0.0, '.', 8.0]"
1904,F1-iter0,S1,unite-97-rep-set,sortmerna,0.76:0.8:1:0.8:1.0:partial-ref,1.0,1.0,1.0,,1.0,,,[1.0],,"[0.0, '.', 8.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 7.0, 6.0]","[0.0, '.', 8.0]"
2040,B2-iter0,S1,gg_13_8_otus,sortmerna,0.76:0.8:1:0.8:1.0:partial-ref,1.0,0.9743589743589743,0.9870129870129869,0.04555620143229375,0.6920671349850223,0.24544713580536895,0.030312511360676954,[1.0],,"[0.0, '.', 8.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 7.0, 6.0]","[0.0, '.', 8.0]"
2176,B2-iter4,S1,gg_13_8_otus,sortmerna,0.76:0.8:1:0.8:1.0:partial-ref,0.9863013698630136,0.972972972972973,0.979591836734694,0.04744203957671269,0.6860751718871693,0.24504679714949903,0.03409506720036186,[1.0],,"[0.0, '.', 8.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 7.0, 6.0]","[0.0, '.', 8.0]"
2312,F2-iter2,S1,unite-97-rep-set,sortmerna,0.76:0.8:1:0.8:1.0:partial-ref,1.0,1.0,1.0,,1.0,,,[1.0],,"[0.0, '.', 8.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 7.0, 6.0]","[0.0, '.', 8.0]"
2448,B2-iter1,S1,gg_13_8_otus,sortmerna,0.76:0.8:1:0.8:1.0:partial-ref,1.0,0.974025974025974,0.9868421052631579,0.046139688243794504,0.6902880579415868,0.25385015953817025,0.025899231498495805,[1.0],,"[0.0, '.', 8.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 7.0, 6.0]","[0.0, '.', 8.0]"
