,Dataset,SampleID,Reference,Method,Parameters,Precision,Recall,F-measure,Pearson r,Pearson p,Spearman r,Spearman p,best N alignments,confidence,coverage,e value,e-value,max accepts,min consensus fraction,similarity
0,F1-iter2,S1,unite-97-rep-set,sortmerna,0.76:0.8:1:0.8:1.0:partial-ref,0.2793821356615178,0.22807017543859648,0.2511319046181708,-0.5685417247047679,9.343076042723017e-248,-0.6875926507503446,0.0,[1.0],,"[0.0, '.', 8.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 7.0, 6.0]","[0.0, '.', 8.0]"
136,B1-iter0,S1,gg_13_8_otus,sortmerna,0.76:0.8:1:0.8:1.0:partial-ref,0.8488032691185056,0.8163952835485683,0.8322839152833429,0.09094874189693562,3.8914162212205596e-05,0.2512479583384523,9.714626350810232e-31,[1.0],,"[0.0, '.', 8.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 7.0, 6.0]","[0.0, '.', 8.0]"
272,B1-iter3,S1,gg_13_8_otus,sortmerna,0.76:0.8:1:0.8:1.0:partial-ref,0.8497041420118343,0.8081035453010692,0.828381886357081,0.09607872446370366,1.4423416401815925e-05,0.23779041663509293,1.6731566636451787e-27,[1.0],,"[0.0, '.', 8.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 7.0, 6.0]","[0.0, '.', 8.0]"
408,F2-iter4,S1,unite-97-rep-set,sortmerna,0.76:0.8:1:0.8:1.0:partial-ref,0.2605820105820106,0.21194190424959655,0.2337585286265203,-0.566925162916585,8.570282080390041e-253,-0.7082941298582156,0.0,[1.0],,"[0.0, '.', 8.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 7.0, 6.0]","[0.0, '.', 8.0]"
544,B2-iter2,S1,gg_13_8_otus,sortmerna,0.76:0.8:1:0.8:1.0:partial-ref,0.8313180169286578,0.7750845546786922,0.8022170361726955,0.10113372191433127,4.403705902245921e-06,0.23944150961862473,3.6990912440546726e-28,[1.0],,"[0.0, '.', 8.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 7.0, 6.0]","[0.0, '.', 8.0]"
680,B1-iter4,S1,gg_13_8_otus,sortmerna,0.76:0.8:1:0.8:1.0:partial-ref,0.8486612339930152,0.802421574023115,0.8248939179632249,0.09159314738168577,2.908001707116904e-05,0.23815705009539131,3.575502500808826e-28,[1.0],,"[0.0, '.', 8.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 7.0, 6.0]","[0.0, '.', 8.0]"
816,F1-iter1,S1,unite-97-rep-set,sortmerna,0.76:0.8:1:0.8:1.0:partial-ref,0.27579617834394904,0.2223934257832563,0.24623258458913846,-0.6077714936910598,6.4421096867176e-311,-0.6974758163509212,0.0,[1.0],,"[0.0, '.', 8.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 7.0, 6.0]","[0.0, '.', 8.0]"
952,B1-iter2,S1,gg_13_8_otus,sortmerna,0.76:0.8:1:0.8:1.0:partial-ref,0.8541051388068518,0.8091773922775601,0.8310344827586207,0.09176302311587806,3.40251330743949e-05,0.24263366132842915,1.2221472008032893e-28,[1.0],,"[0.0, '.', 8.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 7.0, 6.0]","[0.0, '.', 8.0]"
1088,F2-iter0,S1,unite-97-rep-set,sortmerna,0.76:0.8:1:0.8:1.0:partial-ref,0.25223499361430396,0.2065899581589958,0.22714203565267393,-0.6057145735194297,3.5773535288118007e-308,-0.7203088129830336,0.0,[1.0],,"[0.0, '.', 8.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 7.0, 6.0]","[0.0, '.', 8.0]"
1224,F2-iter3,S1,unite-97-rep-set,sortmerna,0.76:0.8:1:0.8:1.0:partial-ref,0.2446877012234385,0.20364415862808147,0.22228721848493713,-0.5469743680455452,9.439065140304802e-237,-0.7054343162773619,0.0,[1.0],,"[0.0, '.', 8.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 7.0, 6.0]","[0.0, '.', 8.0]"
1360,F2-iter1,S1,unite-97-rep-set,sortmerna,0.76:0.8:1:0.8:1.0:partial-ref,0.25818639798488663,0.2109053497942387,0.23216308040770103,-0.5818055608514145,2.6223285262241165e-282,-0.7031444833322201,0.0,[1.0],,"[0.0, '.', 8.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 7.0, 6.0]","[0.0, '.', 8.0]"
1496,B2-iter3,S1,gg_13_8_otus,sortmerna,0.76:0.8:1:0.8:1.0:partial-ref,0.8327250608272506,0.7738835500282646,0.8022267799589804,0.10146212133362491,4.302153500932683e-06,0.24106856585078948,2.0588378197103372e-28,[1.0],,"[0.0, '.', 8.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 7.0, 6.0]","[0.0, '.', 8.0]"
1632,F1-iter3,S1,unite-97-rep-set,sortmerna,0.76:0.8:1:0.8:1.0:partial-ref,0.2935131663455363,0.2417989417989418,0.2651581085001451,-0.5034306990345029,6.582467358599919e-192,-0.6635367188058262,0.0,[1.0],,"[0.0, '.', 8.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 7.0, 6.0]","[0.0, '.', 8.0]"
