	Dataset	Level	SampleID	Reference	Method	Parameters	Precision	Recall	F-measure	Pearson r	Pearson p	Spearman r	Spearman p	best N alignments	confidence	coverage	e value	e-value	max accepts	min consensus fraction	similarity
0	sake	2	Koji.10	gg_13_8_otus	blast	0.001	1.0	1.0	1.0	1.0	0.0	0.9999999999999999						[0.0, '.', 0.0, 0.0, 1.0]			
1	sake	2	Koji.8	gg_13_8_otus	blast	0.001	1.0	1.0	1.0	1.0	0.0	0.9999999999999999						[0.0, '.', 0.0, 0.0, 1.0]			
2	sake	2	Koji.9	gg_13_8_otus	blast	0.001	1.0	1.0	1.0	1.0	0.0	0.9999999999999999						[0.0, '.', 0.0, 0.0, 1.0]			
3	sake	2	Moromi.A	gg_13_8_otus	blast	0.001	1.0	1.0	1.0	1.0	0.0	0.9999999999999999						[0.0, '.', 0.0, 0.0, 1.0]			
4	sake	2	Moromi.B	gg_13_8_otus	blast	0.001	1.0	1.0	1.0	1.0	0.0	0.9999999999999999						[0.0, '.', 0.0, 0.0, 1.0]			
5	sake	2	Moromi.C	gg_13_8_otus	blast	0.001	1.0	1.0	1.0	1.0	0.0	0.9999999999999999						[0.0, '.', 0.0, 0.0, 1.0]			
6	sake	2	Moromi.D	gg_13_8_otus	blast	0.001	1.0	1.0	1.0	1.0	0.0	0.9999999999999999						[0.0, '.', 0.0, 0.0, 1.0]			
7	sake	2	Moromi.E	gg_13_8_otus	blast	0.001	1.0	1.0	1.0	1.0	0.0	0.9999999999999999						[0.0, '.', 0.0, 0.0, 1.0]			
8	sake	2	Moromi.F	gg_13_8_otus	blast	0.001	1.0	1.0	1.0	1.0	0.0	0.9999999999999999						[0.0, '.', 0.0, 0.0, 1.0]			
9	sake	2	Moromi.G	gg_13_8_otus	blast	0.001	1.0	1.0	1.0	1.0	0.0	0.9999999999999999						[0.0, '.', 0.0, 0.0, 1.0]			
10	sake	2	Moromi.H	gg_13_8_otus	blast	0.001	1.0	1.0	1.0	1.0	0.0	0.9999999999999999						[0.0, '.', 0.0, 0.0, 1.0]			
11	sake	2	Moromi.I	gg_13_8_otus	blast	0.001	1.0	1.0	1.0	1.0	0.0	0.9999999999999999						[0.0, '.', 0.0, 0.0, 1.0]			
12	sake	2	Moromi.J	gg_13_8_otus	blast	0.001	1.0	1.0	1.0	1.0	0.0	0.9999999999999999						[0.0, '.', 0.0, 0.0, 1.0]			
13	sake	2	Moromi.K	gg_13_8_otus	blast	0.001	1.0	1.0	1.0	0.9999999999999999		0.9999999999999999						[0.0, '.', 0.0, 0.0, 1.0]			
14	sake	2	Moromi.L	gg_13_8_otus	blast	0.001	1.0	1.0	1.0	1.0	0.0	0.9999999999999999						[0.0, '.', 0.0, 0.0, 1.0]			
15	sake	2	Moromi.M	gg_13_8_otus	blast	0.001	1.0	1.0	1.0	1.0	0.0	0.9999999999999999						[0.0, '.', 0.0, 0.0, 1.0]			
16	sake	2	Moromi.N	gg_13_8_otus	blast	0.001	1.0	1.0	1.0	1.0	0.0	0.9999999999999999						[0.0, '.', 0.0, 0.0, 1.0]			
17	sake	2	Moromi.O	gg_13_8_otus	blast	0.001	1.0	1.0	1.0	1.0	0.0	0.9999999999999999						[0.0, '.', 0.0, 0.0, 1.0]			
18	sake	2	Moromi.P	gg_13_8_otus	blast	0.001	1.0	1.0	1.0	1.0	0.0	0.9999999999999999						[0.0, '.', 0.0, 0.0, 1.0]			
19	sake	2	Moromi.Q	gg_13_8_otus	blast	0.001	1.0	1.0	1.0	1.0	0.0	0.9999999999999999						[0.0, '.', 0.0, 0.0, 1.0]			
20	sake	2	Moromi.R	gg_13_8_otus	blast	0.001	1.0	1.0	1.0	0.9999999999999999		0.9999999999999999						[0.0, '.', 0.0, 0.0, 1.0]			
21	sake	2	Moromi.S	gg_13_8_otus	blast	0.001	1.0	1.0	1.0	1.0	0.0	0.9999999999999999						[0.0, '.', 0.0, 0.0, 1.0]			
22	sake	2	Moromi.T	gg_13_8_otus	blast	0.001	1.0	1.0	1.0	1.0	0.0	0.9999999999999999						[0.0, '.', 0.0, 0.0, 1.0]			
23	sake	2	Moto.B	gg_13_8_otus	blast	0.001	1.0	1.0	1.0	1.0	0.0	0.9999999999999999						[0.0, '.', 0.0, 0.0, 1.0]			
24	sake	2	Moto.C	gg_13_8_otus	blast	0.001	1.0	1.0	1.0	0.9999999999999998		0.9999999999999999						[0.0, '.', 0.0, 0.0, 1.0]			
25	sake	2	Moto.D	gg_13_8_otus	blast	0.001	1.0	1.0	1.0	1.0	0.0	0.9999999999999999						[0.0, '.', 0.0, 0.0, 1.0]			
26	sake	2	Moto.F	gg_13_8_otus	blast	0.001	1.0	1.0	1.0	1.0	0.0	0.9999999999999999						[0.0, '.', 0.0, 0.0, 1.0]			
27	sake	2	Moto.I	gg_13_8_otus	blast	0.001	1.0	1.0	1.0	1.0	0.0	0.9999999999999999						[0.0, '.', 0.0, 0.0, 1.0]			
28	sake	2	Moto.J	gg_13_8_otus	blast	0.001	1.0	1.0	1.0	1.0	0.0	0.9999999999999999						[0.0, '.', 0.0, 0.0, 1.0]			
29	sake	2	Moto.M	gg_13_8_otus	blast	0.001	1.0	1.0	1.0	1.0	0.0	0.9999999999999999						[0.0, '.', 0.0, 0.0, 1.0]			
30	sake	2	Moto.N	gg_13_8_otus	blast	0.001	1.0	1.0	1.0	1.0	0.0	0.9999999999999999						[0.0, '.', 0.0, 0.0, 1.0]			
31	sake	3	Koji.10	gg_13_8_otus	blast	0.001	1.0	1.0	1.0	0.9999955027349914	4.497265008618356e-06	1.0	0.0					[0.0, '.', 0.0, 0.0, 1.0]			
32	sake	3	Koji.8	gg_13_8_otus	blast	0.001	1.0	1.0	1.0	0.9999972233612999	2.7766387000749412e-06	1.0	0.0					[0.0, '.', 0.0, 0.0, 1.0]			
33	sake	3	Koji.9	gg_13_8_otus	blast	0.001	1.0	1.0	1.0	0.9999857481576745	1.4251842325507809e-05	1.0	0.0					[0.0, '.', 0.0, 0.0, 1.0]			
34	sake	3	Moromi.A	gg_13_8_otus	blast	0.001	1.0	1.0	1.0	0.9892906470219792	0.010709352978020783	1.0	0.0					[0.0, '.', 0.0, 0.0, 1.0]			
35	sake	3	Moromi.B	gg_13_8_otus	blast	0.001	1.0	1.0	1.0	0.9994433583813002	0.0005566416186998381	1.0	0.0					[0.0, '.', 0.0, 0.0, 1.0]			
36	sake	3	Moromi.C	gg_13_8_otus	blast	0.001	1.0	1.0	1.0	0.9510334686919365	0.04896653130806352	0.7999999999999999	0.20000000000000007					[0.0, '.', 0.0, 0.0, 1.0]			
37	sake	3	Moromi.D	gg_13_8_otus	blast	0.001	1.0	1.0	1.0	0.9865470332120486	0.013452966787951383	1.0	0.0					[0.0, '.', 0.0, 0.0, 1.0]			
38	sake	3	Moromi.E	gg_13_8_otus	blast	0.001	1.0	1.0	1.0	0.9769706301348318	0.023029369865168244	0.7999999999999999	0.20000000000000007					[0.0, '.', 0.0, 0.0, 1.0]			
39	sake	3	Moromi.F	gg_13_8_otus	blast	0.001	1.0	1.0	1.0	0.9220181835787519	0.07798181642124814	1.0	0.0					[0.0, '.', 0.0, 0.0, 1.0]			
40	sake	3	Moromi.G	gg_13_8_otus	blast	0.001	1.0	1.0	1.0	0.9431965690231229	0.056803430976877116	0.7999999999999999	0.20000000000000007					[0.0, '.', 0.0, 0.0, 1.0]			
41	sake	3	Moromi.H	gg_13_8_otus	blast	0.001	1.0	1.0	1.0	0.9742262855546797	0.02577371444532029	1.0	0.0					[0.0, '.', 0.0, 0.0, 1.0]			
42	sake	3	Moromi.I	gg_13_8_otus	blast	0.001	1.0	1.0	1.0	0.9541784262724101	0.04582157372758989	1.0	0.0					[0.0, '.', 0.0, 0.0, 1.0]			
