,Dataset,SampleID,Reference,Method,Parameters,Precision,Recall,F-measure,Pearson r,Pearson p,Spearman r,Spearman p,best N alignments,confidence,coverage,e value,e-value,max accepts,min consensus fraction,similarity
0,F1-iter2,S1,unite-97-rep-set,sortmerna,0.76:0.8:1:0.8:1.0:partial-ref,0.81419939577,0.69014084507,0.747054747055,0.156960991669,2.11434946857e-06,0.15204421189,4.39338672369e-06,[1.0],,"[0.0, '.', 8.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 7.0, 6.0]","[0.0, '.', 8.0]"
136,B1-iter0,S1,gg_13_8_otus,sortmerna,0.76:0.8:1:0.8:1.0:partial-ref,0.901371652515,0.874524714829,0.887745255709,0.0841824484086,0.000458151784683,0.276374138141,1.09939829126e-31,[1.0],,"[0.0, '.', 8.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 7.0, 6.0]","[0.0, '.', 8.0]"
272,B1-iter3,S1,gg_13_8_otus,sortmerna,0.76:0.8:1:0.8:1.0:partial-ref,0.896732026144,0.876117496807,0.886304909561,0.086044880072,0.000347932596249,0.260249328858,4.37115756154e-28,[1.0],,"[0.0, '.', 8.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 7.0, 6.0]","[0.0, '.', 8.0]"
408,F2-iter4,S1,unite-97-rep-set,sortmerna,0.76:0.8:1:0.8:1.0:partial-ref,0.778748180495,0.680661577608,0.726408689749,0.156022358374,1.57461669955e-06,0.11234760649,0.00056647785987,[1.0],,"[0.0, '.', 8.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 7.0, 6.0]","[0.0, '.', 8.0]"
544,B2-iter2,S1,gg_13_8_otus,sortmerna,0.76:0.8:1:0.8:1.0:partial-ref,0.875668449198,0.836526181354,0.855649902025,0.0951632492734,6.62260535429e-05,0.265030511754,1.50613328492e-29,[1.0],,"[0.0, '.', 8.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 7.0, 6.0]","[0.0, '.', 8.0]"
680,B1-iter4,S1,gg_13_8_otus,sortmerna,0.76:0.8:1:0.8:1.0:partial-ref,0.899154196487,0.871924290221,0.88532991672,0.0819318686014,0.000624037670131,0.255082859129,3.01852168545e-27,[1.0],,"[0.0, '.', 8.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 7.0, 6.0]","[0.0, '.', 8.0]"
816,F1-iter1,S1,unite-97-rep-set,sortmerna,0.76:0.8:1:0.8:1.0:partial-ref,0.786931818182,0.675609756098,0.727034120735,0.154402887804,1.35404616867e-06,0.113566360796,0.000394233031883,[1.0],,"[0.0, '.', 8.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 7.0, 6.0]","[0.0, '.', 8.0]"
952,B1-iter2,S1,gg_13_8_otus,sortmerna,0.76:0.8:1:0.8:1.0:partial-ref,0.898503578399,0.875713379835,0.886962106615,0.0823128859984,0.00060362918764,0.254632372381,4.74225819552e-27,[1.0],,"[0.0, '.', 8.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 7.0, 6.0]","[0.0, '.', 8.0]"
1088,F2-iter0,S1,unite-97-rep-set,sortmerna,0.76:0.8:1:0.8:1.0:partial-ref,0.770467836257,0.669631512071,0.716519374575,0.148628967462,4.51803879972e-06,0.108912805026,0.000802757661235,[1.0],,"[0.0, '.', 8.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 7.0, 6.0]","[0.0, '.', 8.0]"
1224,F2-iter3,S1,unite-97-rep-set,sortmerna,0.76:0.8:1:0.8:1.0:partial-ref,0.73417721519,0.672680412371,0.702084734364,0.1436027601,7.52083681367e-06,0.0748081732965,0.0201190687691,[1.0],,"[0.0, '.', 8.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 7.0, 6.0]","[0.0, '.', 8.0]"
1360,F2-iter1,S1,unite-97-rep-set,sortmerna,0.76:0.8:1:0.8:1.0:partial-ref,0.775790921596,0.702366127024,0.737254901961,0.149969120498,2.84663343524e-06,0.119196084954,0.000204714070642,[1.0],,"[0.0, '.', 8.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 7.0, 6.0]","[0.0, '.', 8.0]"
