,Dataset,SampleID,Reference,Method,Parameters,Precision,Recall,F-measure,Pearson r,Pearson p,Spearman r,Spearman p,best N alignments,confidence,coverage,e value,e-value,max accepts,min consensus fraction,similarity
0,F1-iter2,S1,unite-97-rep-set,sortmerna,0.76:0.8:1:0.8:1.0:partial-ref,0.932806324110672,0.8280701754385965,0.8773234200743495,0.21291105915588807,0.00019340157949893744,0.396805846820113,7.871031543823045e-13,[1.0],,"[0.0, '.', 8.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 7.0, 6.0]","[0.0, '.', 8.0]"
136,B1-iter0,S1,gg_13_8_otus,sortmerna,0.76:0.8:1:0.8:1.0:partial-ref,0.9793438639125152,0.9561091340450771,0.9675870348139256,0.06117625978615856,0.07295526746476788,0.26177680786631286,6.0890950431346946e-15,[1.0],,"[0.0, '.', 8.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 7.0, 6.0]","[0.0, '.', 8.0]"
272,B1-iter3,S1,gg_13_8_otus,sortmerna,0.76:0.8:1:0.8:1.0:partial-ref,0.97352587244284,0.9573964497041421,0.9653937947494033,0.062416559454288804,0.06621182016279237,0.24270427153055713,4.33476847366294e-13,[1.0],,"[0.0, '.', 8.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 7.0, 6.0]","[0.0, '.', 8.0]"
408,F2-iter4,S1,unite-97-rep-set,sortmerna,0.76:0.8:1:0.8:1.0:partial-ref,0.9236641221374046,0.8673835125448028,0.8946395563770795,0.18815045574234632,0.001079121940209757,0.3509923896467573,4.277205580727051e-10,[1.0],,"[0.0, '.', 8.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 7.0, 6.0]","[0.0, '.', 8.0]"
544,B2-iter2,S1,gg_13_8_otus,sortmerna,0.76:0.8:1:0.8:1.0:partial-ref,0.9585365853658536,0.9268867924528302,0.9424460431654678,0.07897792609516557,0.018983056827173526,0.29470733905737395,3.9190588039820814e-19,[1.0],,"[0.0, '.', 8.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 7.0, 6.0]","[0.0, '.', 8.0]"
680,B1-iter4,S1,gg_13_8_otus,sortmerna,0.76:0.8:1:0.8:1.0:partial-ref,0.972520908004779,0.9633136094674556,0.9678953626634957,0.05438774893606264,0.10932392176168736,0.23083404970274174,5.8122750157292355e-12,[1.0],,"[0.0, '.', 8.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 7.0, 6.0]","[0.0, '.', 8.0]"
816,F1-iter1,S1,unite-97-rep-set,sortmerna,0.76:0.8:1:0.8:1.0:partial-ref,0.9425287356321839,0.8367346938775511,0.8864864864864864,0.2104314742231222,0.00019465067544039672,0.395757403157902,4.984121364038383e-13,[1.0],,"[0.0, '.', 8.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 7.0, 6.0]","[0.0, '.', 8.0]"
952,B1-iter2,S1,gg_13_8_otus,sortmerna,0.76:0.8:1:0.8:1.0:partial-ref,0.9716981132075472,0.9548088064889919,0.9631794272355347,0.059128681063405145,0.07839773215616887,0.23613838325789058,1.0493914860404603e-12,[1.0],,"[0.0, '.', 8.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 7.0, 6.0]","[0.0, '.', 8.0]"
1088,F2-iter0,S1,unite-97-rep-set,sortmerna,0.76:0.8:1:0.8:1.0:partial-ref,0.9402985074626866,0.84,0.8873239436619718,0.18647593488100914,0.000865356449341761,0.3868495183377411,1.0109655531072357e-12,[1.0],,"[0.0, '.', 8.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 7.0, 6.0]","[0.0, '.', 8.0]"
1224,F2-iter3,S1,unite-97-rep-set,sortmerna,0.76:0.8:1:0.8:1.0:partial-ref,0.9302325581395349,0.8421052631578947,0.8839779005524862,0.20010871102482586,0.0004576638616598229,0.40126981699505476,3.771381188365283e-13,[1.0],,"[0.0, '.', 8.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 7.0, 6.0]","[0.0, '.', 8.0]"
1360,F2-iter1,S1,unite-97-rep-set,sortmerna,0.76:0.8:1:0.8:1.0:partial-ref,0.9222222222222223,0.8736842105263158,0.8972972972972973,0.18164920017598407,0.0014170873812434427,0.3665368947929005,3.659375289916475e-11,[1.0],,"[0.0, '.', 8.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 7.0, 6.0]","[0.0, '.', 8.0]"
1496,B2-iter3,S1,gg_13_8_otus,sortmerna,0.76:0.8:1:0.8:1.0:partial-ref,0.9659367396593674,0.9308323563892146,0.9480597014925375,0.075450595222577,0.02512268460348905,0.2808876029280706,1.9453177836498666e-17,[1.0],,"[0.0, '.', 8.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 7.0, 6.0]","[0.0, '.', 8.0]"
1632,F1-iter3,S1,unite-97-rep-set,sortmerna,0.76:0.8:1:0.8:1.0:partial-ref,0.9610894941634242,0.8606271777003485,0.9080882352941178,0.19275639590254615,0.0008400044745506676,0.4018468917863027,5.935689406238478e-13,[1.0],,"[0.0, '.', 8.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 7.0, 6.0]","[0.0, '.', 8.0]"
1768,B1-iter1,S1,gg_13_8_otus,sortmerna,0.76:0.8:1:0.8:1.0:partial-ref,0.9761904761904762,0.9681227863046045,0.972139893301719,0.052500159543815,0.12242001309615644,0.20527836697749283,1.0556661338360045e-09,[1.0],,"[0.0, '.', 8.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 7.0, 6.0]","[0.0, '.', 8.0]"
1904,F1-iter0,S1,unite-97-rep-set,sortmerna,0.76:0.8:1:0.8:1.0:partial-ref,0.9509433962264151,0.8719723183391004,0.9097472924187726,0.18758044875720367,0.0010551087458946593,0.3778289758236569,1.1046902579423566e-11,[1.0],,"[0.0, '.', 8.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 7.0, 6.0]","[0.0, '.', 8.0]"
2040,B2-iter0,S1,gg_13_8_otus,sortmerna,0.76:0.8:1:0.8:1.0:partial-ref,0.9641148325358851,0.9415887850467289,0.9527186761229314,0.06746761481312764,0.04467761379105911,0.24812492403067496,6.748393627877211e-14,[1.0],,"[0.0, '.', 8.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 7.0, 6.0]","[0.0, '.', 8.0]"
2176,B2-iter4,S1,gg_13_8_otus,sortmerna,0.76:0.8:1:0.8:1.0:partial-ref,0.9644607843137255,0.933570581257414,0.9487643158529234,0.07319249139866763,0.030683965348957277,0.2688673737403645,6.618155456537028e-16,[1.0],,"[0.0, '.', 8.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 7.0, 6.0]","[0.0, '.', 8.0]"
2312,F2-iter2,S1,unite-97-rep-set,sortmerna,0.76:0.8:1:0.8:1.0:partial-ref,0.9505703422053232,0.8591065292096219,0.9025270758122743,0.1993606576600835,0.00047084238113909166,0.36428568689345836,5.6821786908283294e-11,[1.0],,"[0.0, '.', 8.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 7.0, 6.0]","[0.0, '.', 8.0]"
2448,B2-iter1,S1,gg_13_8_otus,sortmerna,0.76:0.8:1:0.8:1.0:partial-ref,0.9731051344743277,0.9420118343195266,0.9573060733613952,0.07164495735422129,0.03492356803697835,0.27529663207180305,1.5267512044881552e-16,[1.0],,"[0.0, '.', 8.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 7.0, 6.0]","[0.0, '.', 8.0]"
2584,F1-iter4,S1,unite-97-rep-set,sortmerna,0.76:0.8:1:0.8:1.0:partial-ref,0.9312977099236641,0.8356164383561644,0.8808664259927799,0.21059250726621226,0.00018782384284179207,0.38502123392143217,2.152125293735054e-12,[1.0],,"[0.0, '.', 8.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 7.0, 6.0]","[0.0, '.', 8.0]"
1,F1-iter2,S1,unite-97-rep-set,sortmerna,0.76:0.9:5:0.8:1.0:partial-ref,0.9554455445544554,0.6771929824561403,0.7926078028747433,0.3196689785227313,2.0753646093789872e-08,0.5546684751164871,4.0595681358995654e-25,[5.0],,"[0.0, '.', 8.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 7.0, 6.0]","[0.0, '.', 9.0]"
137,B1-iter0,S1,gg_13_8_otus,sortmerna,0.76:0.9:5:0.8:1.0:partial-ref,0.9922279792746114,0.9086595492289442,0.9486068111455108,0.08711183704458803,0.01110684335644814,0.32780224417701936,1.0235442046423091e-22,[5.0],,"[0.0, '.', 8.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 7.0, 6.0]","[0.0, '.', 9.0]"
273,B1-iter3,S1,gg_13_8_otus,sortmerna,0.76:0.9:5:0.8:1.0:partial-ref,0.9920948616600791,0.8911242603550296,0.9389027431421446,0.10319650315902788,0.002577733796345721,0.3848075450441129,2.014677430503418e-31,[5.0],,"[0.0, '.', 8.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 7.0, 6.0]","[0.0, '.', 9.0]"
