Taxonomy	Standard Taxonomy
NR_111125.1 Zygosaccharomyces rouxii NRRL Y-229 ITS region; from TYPE material	k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Saccharomycetaceae;g__Zygosaccharomyces;s__Zygosaccharomyces_rouxii
AM943655.1 Zygosaccharomyces rouxii 5S rRNA gene, 18S rRNA gene, ITS1, 5.8S rRNA gene, ITS2 and 25S rRNA gene, strain CBS 732	k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Saccharomycetaceae;g__Zygosaccharomyces;s__Zygosaccharomyces_rouxii
KP132304.1 Hyphopichia burtonii strain PMM09-3072L isolate ISHAM-ITS_ID MITS1128 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence	k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Pichiaceae;g__Hyphopichia;s__Hyphopichia_burtonii
NR_111253.1 Hyphopichia burtonii CBS 2352 ITS region; from TYPE material	k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Pichiaceae;g__Hyphopichia;s__Hyphopichia_burtonii
GQ376077.1 Kluyveromyces lactis strain UOA/HCPF 9317 isolate ISHAM-ITS_ID MITS1091 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence	k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Saccharomycetaceae;g__Kluyveromyces;s__Kluyveromyces_lactis
NR_145050.1 Fusarium domesticum CBS 434.34 ITS region; from TYPE material	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Fusarium; s__
NR_111143.1 Penicillium commune CBS 311.48 ITS region; from TYPE material	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Trichocomaceae;g__Penicillium;s__Penicillium_commune
GQ458026.1 Penicillium commune strain MA09-AL 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Trichocomaceae;g__Penicillium;s__Penicillium_commune
NR_077200.1 Diutina catenulata (Candida catenulata) CBS 565 ITS region; from TYPE material	k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Saccharomycetales_fam_Incertae_sedis;g__Candida;s__Candida_catenulata
JN974293.1 Galactomyces geotrichum (Dipodascus geotrichum) strain CBS 774.71 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1 and 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence	k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Dipodascaceae;g__Dipodascus;s__Dipodascus_geotrichum
