#NodeID	NodeType	Abundance	mock	k	p	c	o	f	g
1	otu	0.00366275748513	Mock.2	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Nectriaceae	g__Nectria
2	otu	0.0104170167008	Mock.2	k__Fungi	p__Ascomycota	c__unidentified	o__unidentified	f__unidentified	g__unidentified
3	otu	0.00141133774656	Mock.2	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Nectriaceae	g__Neonectria
4	otu	0.0625	Mock.2	k__Fungi	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Saccharomycetaceae	g__Debaryomyces
5	otu	0.954433952754	Mock.2	k__Fungi	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Dipodascaceae	Other
6	otu	0.715884270305	Mock.2	k__Fungi	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	Other	Other
7	otu	0.000268826237441	Mock.2	k__Fungi	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Pichiaceae	g__Issatchenkia
8	otu	0.00010080983904	Mock.2	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Nectriaceae	g__Nectria
9	otu	3.36032796801e-05	Mock.2	k__Fungi	p__Ascomycota	c__unidentified	o__unidentified	f__unidentified	g__unidentified
10	otu	1.90194352969	Mock.2	k__Fungi	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Saccharomycetaceae	g__Kluyveromyces
11	otu	0.0625	Mock.2	k__Fungi	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Saccharomycetaceae	g__Zygosaccharomyces
12	otu	0.0	Mock.2	k__Fungi	p__Basidiomycota	c__Microbotryomycetes	o__Sporidiobolales	f__Incertae_sedis	g__Sporobolomyces
13	otu	1.25649173359	Mock.2	k__Fungi	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Pichiaceae	g__Pichia
14	otu	0.229375987096	Mock.2	k__Fungi	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Dipodascaceae	g__Galactomyces
15	otu	0.708625961894	Mock.2	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Eurotiales	f__Trichocomaceae	g__Penicillium
16	otu	0.0625	Mock.2	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Nectriaceae	g__Fusarium
17	otu	3.36032796801e-05	Mock.2	k__Fungi	p__Ascomycota	c__Saccharomycetes	Other	Other	Other
18	otu	0.00208340334016	Mock.2	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__unidentified	f__unidentified	g__unidentified
19	otu	0.0345441715112	Mock.2	k__Fungi	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Saccharomycetaceae	g__Zygosaccharomyces
20	otu	0.640041668067	Mock.2	k__Fungi	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Saccharomycetaceae	g__Debaryomyces
21	otu	0.000201619678081	Mock.2	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Eurotiales	f__Trichocomaceae	g__Penicillium
22	otu	0.0069222756141	Mock.2	k__Fungi	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Saccharomycetaceae	Other
23	otu	1.57696831211	Mock.2	k__Fungi	p__unidentified	c__unidentified	o__unidentified	f__unidentified	g__unidentified
24	otu	0.000201619678081	Mock.2	k__Fungi	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Dipodascaceae	g__Geotrichum
25	otu	0.0010080983904	Mock.2	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Eurotiales	f__Trichocomaceae	g__Aspergillus
26	otu	0.0028562787728	Mock.2	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Eurotiales	f__Trichocomaceae	g__Aspergillus
27	otu	3.74242246044	Mock.2	k__Fungi	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Dipodascaceae	g__Galactomyces
28	otu	0.11445277059	Mock.2	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Microascales	f__Microascaceae	Other
29	otu	0.00245303941665	Mock.2	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Eurotiales	f__Trichocomaceae	Other
30	otu	0.00947612486978	Mock.2	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Nectriaceae	Other
31	otu	0.450351154273	Mock.2	k__Fungi	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Dipodascaceae	g__Galactomyces
32	otu	4.48425476326	Mock.2	k__Fungi	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Incertae_sedis	g__Candida
33	otu	0.000470445915522	Mock.2	k__Fungi	p__Microspora	c__Microsporea	o__Microsporida	f__Incertae_sedis	g__Microsporidium
34	otu	0.00020161967808	Mock.2	k__Fungi	p__Basidiomycota	c__Tremellomycetes	o__Tremellales	f__Tremellaceae	g__Bullera
35	otu	0.000235222957761	Mock.2	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Nectriaceae	g__Fusarium
36	otu	0.00013441311872	Mock.2	k__Fungi	p__Basidiomycota	c__Pucciniomycetes	o__Pucciniales	f__Pucciniaceae	g__Puccinia
37	otu	0.0119627675661	Mock.2	NO_HIT	Other	Other	Other	Other	Other
38	otu	0.0060485903424	Mock.2	k__Fungi	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Pichiaceae	g__Pichia
39	otu	0.000537652474882	Mock.2	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Microascales	f__Microascaceae	g__Scopulariopsis
40	otu	0.00786316744513	Mock.2	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	Other	Other
41	otu	0.00302429517121	Mock.2	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__unidentified	g__unidentified
42	otu	0.000201619678081	Mock.2	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Nectriaceae	g__Fusarium
43	otu	0.307033166438	Mock.2	k__Fungi	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Pichiaceae	g__Issatchenkia
44	otu	0.639335999193	Mock.2	k__Fungi	p__unidentified	c__unidentified	o__unidentified	f__unidentified	g__unidentified
45	otu	0.00040323935616	Mock.2	k__Fungi	p__Ascomycota	c__Sordariomycetes	Other	Other	Other
46	otu	0.00097449511072	Mock.2	k__Fungi	p__Basidiomycota	Other	Other	Other	Other
47	otu	0.0625	Mock.2	k__Fungi	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Incertae_sedis	g__Candida
48	otu	0.36876239121	Mock.2	k__Fungi	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Pichiaceae	g__Pichia
49	otu	0.610638798347	Mock.2	k__Fungi	p__Ascomycota	c__unidentified	o__unidentified	f__unidentified	g__unidentified
50	otu	0.00010080983904	Mock.2	k__Fungi	p__Zygomycota	c__Incertae_sedis	Other	Other	Other
51	otu	0.107597701535	Mock.2	k__Fungi	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Pichiaceae	Other
52	otu	6.72065593602e-05	Mock.2	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Nectriaceae	g__Nectria
53	otu	6.72065593602e-05	Mock.2	k__Fungi	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Incertae_sedis	g__Candida
54	otu	1.63621089418	Mock.2	k__Fungi	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Pichiaceae	g__Issatchenkia
55	otu	6.72065593602e-05	Mock.2	k__Fungi	p__Glomeromycota	c__Glomeromycetes	o__Diversisporales	f__Gigasporaceae	g__Gigaspora
56	otu	0.00020161967808	Mock.2	k__Fungi	p__Zygomycota	c__Incertae_sedis	o__Entomophthorales	f__Entomophthoraceae	g__Pandora
57	otu	0.00013441311872	Mock.2	k__Fungi	p__Basidiomycota	c__Pucciniomycetes	o__Pucciniales	Other	Other
58	otu	0.114251150912	Mock.2	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Microascales	f__Microascaceae	g__Microascus
59	otu	2.35622836789	Mock.2	k__Fungi	Other	Other	Other	Other	Other
60	otu	0.1875	Mock.2	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Eurotiales	f__Trichocomaceae	g__Penicillium
61	otu	0.842904667496	Mock.2	k__Fungi	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Dipodascaceae	g__Dipodascus
62	otu	0.00060485903424	Mock.2	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Eurotiales	f__Trichocomaceae	g__Neosartorya
63	otu	0.0625	Mock.2	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Microascales	f__Microascaceae	g__Scopulariopsis
64	otu	0.000470445915521	Mock.2	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Eurotiales	f__Trichocomaceae	g__Penicillium
65	otu	0.0082328035216	Mock.2	k__Fungi	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Pichiaceae	g__Pichia
66	otu	1.03477939447	Mock.2	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Eurotiales	f__Trichocomaceae	g__Penicillium
67	otu	1.6431331698	Mock.2	k__Fungi	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Dipodascaceae	g__Galactomyces
68	otu	0.0001680163984	Mock.2	k__Fungi	p__Ascomycota	c__Eurotiomycetes	Other	Other	Other
69	otu	0.585906784502	Mock.2	k__Fungi	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Saccharomycetaceae	g__Zygosaccharomyces
70	otu	0.55986424275	Mock.2	k__Fungi	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Saccharomycetaceae	g__Debaryomyces
71	otu	0.00013441311872	Mock.2	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Nectriaceae	g__Fusarium
72	otu	0.129036593971	Mock.2	k__Fungi	p__unidentified	c__unidentified	o__unidentified	f__unidentified	g__unidentified
73	otu	1.60858899829	Mock.2	k__Fungi	p__Ascomycota	Other	Other	Other	Other
74	otu	0.00525976449828	Mock.1	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Nectriaceae	g__Nectria
75	otu	0.0165597746785	Mock.1	k__Fungi	p__Ascomycota	c__unidentified	o__unidentified	f__unidentified	g__unidentified
