,Dataset,level,iteration,Method,Parameters,match_ratio,overclassification_ratio,underclassification_ratio,misclassification_ratio,mismatch_level_list,Precision,Recall,F-measure
0,B1-REF,6,0,blast,0.001,0.002617801047120419,0.0,0.0,0.9973821989528796,"[28, 236, 68, 27, 16, 5, 1, 1]","[0, 0.30890052356020942, 0.13089005235602094, 0.060209424083769635, 0.01832460732984293, 0.005235602094240838, 0.002617801047120419]","[0, 0.30890052356020942, 0.13089005235602094, 0.060209424083769635, 0.01832460732984293, 0.005235602094240838, 0.002617801047120419]","[0, 0.30890052356020942, 0.13089005235602094, 0.060209424083769635, 0.01832460732984293, 0.005235602094240838, 0.002617801047120419]"
1,B1-REF,6,0,blast,1,0.002617801047120419,0.0,0.0,0.9973821989528796,"[28, 236, 68, 27, 16, 5, 1, 1]","[0, 0.30890052356020942, 0.13089005235602094, 0.060209424083769635, 0.01832460732984293, 0.005235602094240838, 0.002617801047120419]","[0, 0.30890052356020942, 0.13089005235602094, 0.060209424083769635, 0.01832460732984293, 0.005235602094240838, 0.002617801047120419]","[0, 0.30890052356020942, 0.13089005235602094, 0.060209424083769635, 0.01832460732984293, 0.005235602094240838, 0.002617801047120419]"
2,B1-REF,6,0,blast,1000,0.002617801047120419,0.0,0.0,0.9973821989528796,"[28, 236, 68, 27, 16, 5, 1, 1]","[0, 0.30890052356020942, 0.13089005235602094, 0.060209424083769635, 0.01832460732984293, 0.005235602094240838, 0.002617801047120419]","[0, 0.30890052356020942, 0.13089005235602094, 0.060209424083769635, 0.01832460732984293, 0.005235602094240838, 0.002617801047120419]","[0, 0.30890052356020942, 0.13089005235602094, 0.060209424083769635, 0.01832460732984293, 0.005235602094240838, 0.002617801047120419]"
3,B1-REF,6,0,blast,1e-10,0.002617801047120419,0.0,0.0,0.9973821989528796,"[28, 236, 68, 27, 16, 5, 1, 1]","[0, 0.30890052356020942, 0.13089005235602094, 0.060209424083769635, 0.01832460732984293, 0.005235602094240838, 0.002617801047120419]","[0, 0.30890052356020942, 0.13089005235602094, 0.060209424083769635, 0.01832460732984293, 0.005235602094240838, 0.002617801047120419]","[0, 0.30890052356020942, 0.13089005235602094, 0.060209424083769635, 0.01832460732984293, 0.005235602094240838, 0.002617801047120419]"
4,B1-REF,6,0,blast+,0.001:1:0.51:0.8,0.005235602094240838,0.0,0.0,0.9947643979057592,"[26, 249, 58, 22, 16, 7, 2, 2]","[0, 0.28010471204188481, 0.12827225130890052, 0.070680628272251314, 0.028795811518324606, 0.010471204188481676, 0.005235602094240838]","[0, 0.28010471204188481, 0.12827225130890052, 0.070680628272251314, 0.028795811518324606, 0.010471204188481676, 0.005235602094240838]","[0, 0.28010471204188481, 0.12827225130890052, 0.070680628272251314, 0.028795811518324606, 0.010471204188481676, 0.005235602094240838]"
5,B1-REF,6,0,blast+,0.001:1:0.51:0.97,0.0,0.0,0.06282722513089005,0.93717277486911,"[52, 209, 75, 26, 12, 7, 1, 0]","[0, 0.33798882681564246, 0.12849162011173185, 0.055865921787709494, 0.0223463687150838, 0.0027932960893854749, 0.0]","[0, 0.31675392670157065, 0.12041884816753927, 0.052356020942408377, 0.020942408376963352, 0.002617801047120419, 0.0]","[0, 0.32702702702702702, 0.12432432432432433, 0.05405405405405405, 0.021621621621621623, 0.0027027027027027029, 0.0]"
6,B1-REF,6,0,blast+,0.001:1:0.51:0.99,0.0,0.0,0.306282722513089,0.693717277486911,"[130, 177, 41, 22, 8, 3, 1, 0]","[0, 0.28301886792452829, 0.12830188679245283, 0.045283018867924525, 0.01509433962264151, 0.0037735849056603774, 0.0]","[0, 0.19633507853403143, 0.089005235602094238, 0.031413612565445025, 0.010471204188481676, 0.002617801047120419, 0.0]","[0, 0.23183925811437403, 0.10510046367851622, 0.037094281298299843, 0.012364760432766615, 0.0030911901081916537, 0.0]"
7,B1-REF,6,0,blast+,0.001:1:0.75:0.8,0.0,0.0,0.0,1.0,"[26, 246, 57, 24, 17, 11, 1, 0]","[0, 0.2879581151832461, 0.13874345549738221, 0.075916230366492143, 0.031413612565445025, 0.002617801047120419, 0.0]","[0, 0.2879581151832461, 0.13874345549738221, 0.075916230366492143, 0.031413612565445025, 0.002617801047120419, 0.0]","[0, 0.2879581151832461, 0.13874345549738221, 0.075916230366492143, 0.031413612565445025, 0.002617801047120419, 0.0]"
8,B1-REF,6,0,blast+,0.001:1:0.75:0.97,0.007853403141361256,0.0,0.06282722513089005,0.9293193717277487,"[49, 232, 63, 21, 6, 5, 3, 3]","[0, 0.28212290502793297, 0.10614525139664804, 0.047486033519553071, 0.030726256983240222, 0.016759776536312849, 0.0083798882681564244]","[0, 0.26439790575916228, 0.09947643979057591, 0.044502617801047119, 0.028795811518324606, 0.015706806282722512, 0.0078534031413612562]","[0, 0.27297297297297296, 0.10270270270270271, 0.045945945945945942, 0.029729729729729728, 0.016216216216216217, 0.0081081081081081086]"
9,B1-REF,6,0,blast+,0.001:1:0.75:0.99,0.002617801047120419,0.0,0.306282722513089,0.6910994764397905,"[136, 155, 44, 26, 13, 5, 2, 1]","[0, 0.34339622641509432, 0.17735849056603772, 0.079245283018867921, 0.030188679245283019, 0.011320754716981131, 0.0037735849056603774]","[0, 0.23821989528795812, 0.12303664921465969, 0.054973821989528798, 0.020942408376963352, 0.0078534031413612562, 0.002617801047120419]","[0, 0.28129829984544047, 0.14528593508500773, 0.064914992272024727, 0.02472952086553323, 0.0092735703245749607, 0.0030911901081916537]"
10,B1-REF,6,0,blast+,0.001:1:0.99:0.8,0.002617801047120419,0.0,0.0,0.9973821989528796,"[26, 242, 67, 28, 10, 5, 3, 1]","[0, 0.29842931937172773, 0.12303664921465969, 0.049738219895287955, 0.02356020942408377, 0.010471204188481676, 0.002617801047120419]","[0, 0.29842931937172773, 0.12303664921465969, 0.049738219895287955, 0.02356020942408377, 0.010471204188481676, 0.002617801047120419]","[0, 0.29842931937172773, 0.12303664921465969, 0.049738219895287955, 0.02356020942408377, 0.010471204188481676, 0.002617801047120419]"
11,B1-REF,6,0,blast+,0.001:1:0.99:0.97,0.002617801047120419,0.0,0.06282722513089005,0.9345549738219895,"[52, 240, 49, 28, 7, 3, 2, 1]","[0, 0.25139664804469275, 0.11452513966480447, 0.036312849162011177, 0.016759776536312849, 0.0083798882681564244, 0.0027932960893854749]","[0, 0.2356020942408377, 0.10732984293193717, 0.034031413612565446, 0.015706806282722512, 0.0078534031413612562, 0.002617801047120419]","[0, 0.24324324324324326, 0.11081081081081082, 0.035135135135135144, 0.016216216216216217, 0.0081081081081081086, 0.0027027027027027029]"
12,B1-REF,6,0,blast+,0.001:1:0.99:0.99,0.0,0.0,0.306282722513089,0.693717277486911,"[137, 171, 49, 14, 7, 4, 0, 0]","[0, 0.27924528301886792, 0.094339622641509441, 0.041509433962264149, 0.01509433962264151, 0.0, 0.0]","[0, 0.193717277486911, 0.065445026178010471, 0.028795811518324606, 0.010471204188481676, 0.0, 0.0]","[0, 0.22874806800618239, 0.077279752704791344, 0.034003091190108192, 0.012364760432766615, 0.0, 0.0]"
