#Taxon	pc0	pc1	pc2	pc3	pc4	pc5	pc6	pc7	pc8	pc9	pc10	pc11	pc12	pc13	pc14	pc15	pc16	pc17	pc18	pc19	pc20	pc21	pc22	pc23	pc24	pc25	pc26	pc27	pc28	pc29	pc30
HMPMockV1.2.Staggered1;k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus	-0.0181328977422	0.000968595814941	0.000189004963566	-7.4433876486e-05	8.76456655426e-05	0.000102206919018	2.12180032792e-05	-2.00593975844e-05	3.21118078052e-05	5.33069362617e-06	-5.34993142079e-06	6.61477455591e-07	-2.78929165127e-08	6.15431722564e-07	1.17451328266e-07	4.11806823365e-08	-1.56853197104e-08	1.05634045823e-08	1.25049789852e-09	-2.96453689833e-10	2.18474865048e-10	-7.2676634936e-11	1.69914140484e-11	1.04285665703e-12	-1.14602228318e-13	1.23250343157e-11	-1.00859263142e-09	1.79104442419e-10	-3.98133729762e-10	6.90698936254e-13	1.15746470865e-12
HMPMockV1.2.Staggered2;k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus	-0.0180237719206	0.000989277732975	0.000195942105275	-8.19249522179e-05	9.15687704605e-05	0.000104700352673	2.19042331694e-05	-2.06418988326e-05	3.38310599449e-05	5.88834737295e-06	-5.85618047053e-06	8.71309634285e-07	2.10405180478e-08	6.58608199721e-07	1.33302105637e-07	4.3284224508e-08	-9.65428963392e-09	9.61116495821e-09	1.31039957636e-09	-8.2758048265e-10	2.95686496244e-10	-6.15685299335e-11	1.76867025184e-11	3.93330427035e-12	1.51838908943e-13	1.23250343176e-11	-1.00859263142e-09	1.79104442419e-10	-3.98133729762e-10	6.90698936253e-13	1.15746470865e-12
HMPMockV1.1.Even2;k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus	-0.0165801489318	0.000900251119265	0.000195429153305	-8.51537473623e-05	8.91416227356e-05	0.000100920722848	2.02417481118e-05	-1.98202574954e-05	3.31492132951e-05	5.8804522687e-06	-5.88261818662e-06	8.847739141e-07	-6.88383435317e-08	6.91751616719e-07	1.33662478385e-07	2.94541288217e-08	-1.07630290178e-08	1.19397800278e-08	1.00216469911e-09	-2.02102910005e-09	3.47184183902e-10	-4.10378170994e-11	2.42446157156e-12	5.07319580631e-12	6.72486540806e-14	1.23250343183e-11	-1.00859263142e-09	1.79104442419e-10	-3.98133729762e-10	6.90698936253e-13	1.15746470865e-12
HMPMockV1.1.Even1;k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus	-0.0165270526688	0.000878094100509	0.000183348694813	-7.48718414319e-05	8.31236218045e-05	9.63574492604e-05	1.89587705636e-05	-1.87480380453e-05	3.07126721835e-05	5.07598014807e-06	-5.08090108105e-06	6.56640458659e-07	-9.22701443972e-08	6.14614555394e-07	1.09278816948e-07	2.53431962288e-08	-1.1223384162e-08	1.17958616275e-08	1.00503634435e-09	-1.44359311542e-09	2.54816866045e-10	-4.60999214873e-11	1.38725823646e-11	2.92491297568e-12	3.11378760347e-13	1.23250343194e-11	-1.00859263142e-09	1.79104442419e-10	-3.98133729762e-10	6.90698936253e-13	1.15746470865e-12
HMPMockV1.1.Even1;k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter	-0.022822551698	-0.0336221421814	0.00118922365804	-0.00152847716109	0.00106698758565	0.00134602416002	1.55358638443e-05	-0.000266487598565	0.000299423537916	3.28048417602e-05	-2.38259002353e-05	-3.19608466414e-05	1.53077953602e-05	1.88920461704e-06	-7.63834285609e-07	-3.49515717266e-07	-6.88599955146e-08	1.01154336201e-07	-4.63344506183e-09	1.23887121041e-08	-6.43972044928e-10	-5.91790061145e-10	3.55686153695e-10	5.00063148737e-11	1.23144077196e-12	1.23250343516e-11	-1.00859263142e-09	1.79104442419e-10	-3.98133729763e-10	6.90698936119e-13	1.15746470865e-12
HMPMockV1.1.Even2;k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter	-0.0139891342825	-0.033489453109	0.00112322279721	-0.00150247629855	0.00103365269851	0.001292188169	1.18097260774e-05	-0.000256683138987	0.000289545558726	3.33552324864e-05	-2.39657742036e-05	-3.03060852053e-05	1.53791663782e-05	1.83068761766e-06	-6.8497579545e-07	-3.40807870061e-07	-7.64396658144e-08	9.52940510009e-08	-5.7971054877e-09	8.83994552819e-09	-4.38251076267e-10	-4.7924585608e-10	3.44961837188e-10	5.20505481646e-11	1.65981843154e-12	1.2325034354e-11	-1.00859263142e-09	1.79104442419e-10	-3.98133729763e-10	6.90698936118e-13	1.15746470865e-12
HMPMockV1.2.Staggered2;k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus	0.0196177170712	0.00406654222308	0.000515012355215	0.000627909591609	0.000652154473211	0.000456838160197	3.41318550571e-05	-6.45416480059e-05	7.65647537072e-05	-1.68438361074e-05	-1.89033003456e-05	4.21461616308e-08	-9.90290107885e-06	2.29861777306e-06	7.34421015854e-07	3.08936635735e-07	2.83105152007e-07	4.17539423853e-08	2.7369793514e-08	3.65558051235e-08	-2.05989049421e-09	-1.38526819534e-09	1.05135177717e-10	-5.86745936226e-11	-6.8642651734e-12	1.2325034286e-11	-1.00859263142e-09	1.79104442419e-10	-3.98133729762e-10	6.90698936274e-13	1.15746470866e-12
HMPMockV1.2.Staggered1;k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus	0.0212183374276	0.0039563966104	0.000498459068193	0.000631748139352	0.000645981540455	0.000446557239811	3.37155968495e-05	-6.31739213941e-05	7.48528170545e-05	-1.6597671012e-05	-1.89442723129e-05	4.25197263133e-07	-9.72975913339e-06	2.38746061112e-06	7.56548393727e-07	3.04755457122e-07	2.6830770426e-07	4.45029356678e-08	2.58318160324e-08	3.60086153504e-08	-1.58709274697e-09	-1.41103057487e-09	6.75569315318e-11	-5.42641860801e-11	-5.91913262262e-12	1.23250342862e-11	-1.00859263142e-09	1.79104442419e-10	-3.98133729762e-10	6.9069893627e-13	1.15746470866e-12
HMPMockV1.2.Staggered1;k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter	0.0535279410374	-0.00202396787971	-0.000336807696058	2.87987298673e-05	-0.00012230810283	-0.000226628960367	-2.20935706153e-05	3.92071439212e-05	-3.69665769851e-05	6.78525636733e-06	-3.28981181277e-06	7.53942572495e-06	1.72157468568e-06	-1.26958042136e-07	4.21652524513e-07	1.26066739819e-08	-5.27333757909e-08	-2.66690085966e-08	-7.80518838406e-09	-2.20159404798e-08	1.26961985163e-09	6.62722412556e-10	-3.68589662045e-11	1.76253981163e-11	2.87003474684e-12	1.23250343323e-11	-1.00859263142e-09	1.79104442419e-10	-3.98133729762e-10	6.90698936233e-13	1.15746470865e-12
HMPMockV1.1.Even2;k__Bacteria;p__[Thermi];c__Deinococci;o__Deinococcales;f__Deinococcaceae;g__Deinococcus	-0.0217928840684	0.00103660657588	0.000163500723553	-3.28952863922e-05	6.05043825883e-05	0.000100728010615	1.15126039822e-05	-1.92023621999e-05	1.86383796324e-05	-1.94774062799e-06	3.64279903755e-07	-2.9927103373e-06	-5.13253390383e-07	8.29745307191e-08	-1.38664003359e-07	-7.96957308129e-09	2.27933981147e-08	1.29894515828e-08	2.51542962778e-09	7.58339977998e-09	-3.87534667086e-10	-2.52062799916e-10	5.45808621007e-11	-5.51815023338e-12	-1.36973560609e-12	1.23250343093e-11	-1.00859263142e-09	1.79104442419e-10	-3.98133729762e-10	6.90698936259e-13	1.15746470866e-12
