Taxon	HMPMockV1.1.Even1	HMPMockV1.1.Even2	HMPMockV1.2.Staggered2	HMPMockV1.2.Staggered1
Unassigned;Other;Other;Other	0.126365054602	0.121152216888	0.0297397769517	0.0513196480938
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales	0.00260010400416	0.00367127929963	0.0	0.0
k__Bacteria;p__Firmicutes;c__Bacilli;Other	0.0265210608424	0.0214628635979	0.0123915737299	0.0205278592375
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales	0.651586063443	0.679469076532	0.704460966543	0.714809384164
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales	0.0265210608424	0.0231573001977	0.0433705080545	0.0476539589443
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales	0.0676027041082	0.0646709968935	0.0755885997522	0.0505865102639
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales	0.0104004160166	0.00818977689918	0.0824039653036	0.0762463343109
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Neisseriales	0.0270410816433	0.0225924879977	0.00309789343247	0.00146627565982
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales	0.000520020800832	0.000564812199944	0.0092936802974	0.00879765395894
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales	0.049401976079	0.0426433210957	0.0390334572491	0.0285923753666
k__Bacteria;p__[Thermi];c__Deinococci;o__Deinococcales	0.0114404576183	0.0124258683988	0.000619578686493	0.0
