89370	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales
370253	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales
4321924	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales
545968	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales
247460	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales
822699	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales
4453317	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales
38566	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Bdellovibrionales
4323428	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pasteurellales
18561	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Thiotrichales
4446822	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales
166639	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Aeromonadales
824872	k__Bacteria; p__Thermi; c__Deinococci; o__Deinococcales
814161	k__Bacteria; p__Cyanobacteria; c__Chloroplast; o__Chlorophyta
46167	k__Archaea; p__Crenarchaeota; c__Thermoprotei; o__Sulfolobales
256858	k__Archaea; p__Crenarchaeota; c__Thaumarchaeota; o__Nitrososphaerales
517456	k__Bacteria; p__Planctomycetes; c__Planctomycetia; o__Gemmatales
4392252	k__Bacteria; p__Cyanobacteria; c__Oscillatoriophycideae; o__Chroococcales
258469	k__Bacteria; p__Tenericutes; c__Mollicutes; o__Acholeplasmatales
840654	k__Archaea; p__Euryarchaeota; c__Methanomicrobia; o__Methanomicrobiales
304425	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Kiloniellales
1099546	k__Bacteria; p__Cyanobacteria; c__Synechococcophycideae; o__Synechococcales
684637	k__Bacteria; p__Chloroflexi; c__Anaerolineae; o__Ardenscatenales
3820	k__Bacteria; p__Spirochaetes; c__Spirochaetes; o__Sphaerochaetales
4456895	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfurellales
4366349	k__Bacteria; p__Proteobacteria; c__Epsilonproteobacteria; o__Nautiliales
4416718	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__HTCC2188
4361424	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Procabacteriales
