#NodeID	NodeType	Abundance	mock	k	p	c	o	f	g
1	otu	0.0020976535871	HMPMockV1.1.Even1	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Carnobacteriaceae	g__Granulicatella
2	otu	0.0	HMPMockV1.1.Even1	k__Bacteria	p__Tenericutes	c__Mollicutes	o__Acholeplasmatales	f__	g__
3	otu	0.000124448795543	HMPMockV1.1.Even1	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	Other
4	otu	1.10621151594e-05	HMPMockV1.1.Even1	k__Bacteria	p__Caldiserica	c__OP5	o__	f__	g__
5	otu	0.0	HMPMockV1.1.Even1	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Alteromonadales	Other	Other
6	otu	0.0	HMPMockV1.1.Even1	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Comamonadaceae	g__Hydrogenophaga
7	otu	6.9138219746e-06	HMPMockV1.1.Even1	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Thiotrichales	f__Piscirickettsiaceae	g__Piscirickettsia
8	otu	2.76552878984e-06	HMPMockV1.1.Even1	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Burkholderia
9	otu	0.0	HMPMockV1.1.Even1	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodobacterales	f__Hyphomonadaceae	g__Maricaulis
10	otu	0.000181142135735	HMPMockV1.1.Even1	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__	g__
11	otu	0.0	HMPMockV1.1.Even1	k__Bacteria	p__Acidobacteria	c__EC1113	o__	f__	g__
12	otu	1.38276439492e-06	HMPMockV1.1.Even1	k__Bacteria	p__Actinobacteria	Other	Other	Other	Other
13	otu	0.0	HMPMockV1.1.Even1	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Caulobacterales	f__Caulobacteraceae	Other
14	otu	4.28656962426e-05	HMPMockV1.1.Even1	k__Bacteria	p__NC10	c__12-24	o__Methylomirabiliales	f__Methylomirabiliaceae	g__
15	otu	0.000127214324333	HMPMockV1.1.Even1	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Paenibacillaceae	g__Paenibacillus
16	otu	3.45691098731e-05	HMPMockV1.1.Even1	k__Bacteria	p__[Thermi]	c__Deinococci	o__Deinococcales	f__Trueperaceae	g__Truepera
17	otu	0.0	HMPMockV1.1.Even1	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodospirillales	f__Rhodospirillaceae	g__
18	otu	0.0827404730989	HMPMockV1.1.Even1	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Planococcaceae	Other
