P,S	blast_0.0001	blast_1.0	blast_100.0	blast_1e-06	blast_1e-10	blast_1e-30	blast_1e-90	mothur_0.0	mothur_0.1	mothur_0.2	mothur_0.3	mothur_0.4	mothur_0.5	mothur_0.6	mothur_0.7	mothur_0.8	mothur_0.9	mothur_1.0	rdp_0.0	rdp_0.1	rdp_0.2	rdp_0.3	rdp_0.4	rdp_0.5	rdp_0.6	rdp_0.7	rdp_0.8	rdp_0.9	rdp_1.0	rtax	rtax_single
ITS2-SAGalpha	0.9813,0.8783	0.9813,0.8783	0.9813,0.8783	0.9813,0.8783	0.9813,0.8783	0.8363,0.8216	-1.0000,-1.0000	1.0000,0.8783	1.0000,0.8783	1.0000,0.8356	1.0000,0.8783	1.0000,0.8783	1.0000,0.8783	1.0000,0.8783	0.9999,0.8783	0.9999,0.8783	0.9969,0.8783	-1.0000,-0.8783	1.0000,0.8783	1.0000,0.8783	1.0000,0.8783	1.0000,0.8783	1.0000,0.8783	1.0000,0.8783	1.0000,0.8783	0.9999,0.8783	0.9999,0.8783	0.9897,0.8783	-0.9994,-0.8783	0.9151,0.8216	0.9151,0.8216	
Broad-1	0.7944,0.5771	0.7944,0.5771	0.7944,0.5771	0.7944,0.5771	0.7944,0.5771	0.7944,0.5771	0.7976,0.3889	0.7944,0.5771	0.7944,0.5771	0.7944,0.5771	0.7944,0.5771	0.7944,0.5771	0.7944,0.5771	0.7944,0.5771	0.7944,0.5771	0.7944,0.5771	0.7944,0.5771	0.7977,0.4007	0.7944,0.5771	0.7944,0.5771	0.7944,0.5771	0.7944,0.5771	0.7944,0.5771	0.7944,0.5771	0.7944,0.5771	0.7944,0.5771	0.7944,0.5771	0.7944,0.5771	0.7975,0.4007	N/A	0.7944,0.5771	
Broad-2	0.8281,0.5840	0.8281,0.5840	0.8281,0.5840	0.8281,0.5840	0.8263,0.5873	0.8100,0.6136	-0.2924,-0.5778	0.8280,0.5837	0.8280,0.5697	0.8242,0.5892	0.8217,0.6143	0.8100,0.6204	0.8100,0.6136	0.8100,0.6026	0.8149,0.6096	0.8149,0.6096	0.8189,0.5748	0.8174,0.5089	0.8280,0.5837	0.8280,0.5697	0.8263,0.5946	0.8100,0.6374	0.8148,0.6209	0.8100,0.6136	0.8100,0.6063	0.8149,0.6096	0.8149,0.6096	0.8150,0.5984	0.8176,0.5089	0.8242,0.5820	0.8149,0.5936	
Broad-3	0.8218,0.6374	0.8218,0.6374	0.8218,0.6374	0.8218,0.6374	0.8218,0.6374	0.8218,0.6374	0.8169,0.6125	0.8309,0.6387	0.8309,0.6387	0.8254,0.6354	0.8254,0.6305	0.8254,0.6305	0.8254,0.6333	0.8254,0.6283	0.8216,0.6121	0.8217,0.5876	0.8216,0.5819	0.8209,0.5616	0.8329,0.6162	0.8329,0.6001	0.8217,0.6351	0.8254,0.6255	0.8217,0.6265	0.8254,0.6230	0.8254,0.6155	0.8254,0.6024	0.8216,0.5876	0.8216,0.5819	0.8207,0.5660	0.8218,0.6351	0.8218,0.6403	
ITS2-SAG	-0.9761,-0.8783	-0.9761,-0.8783	-0.9761,-0.8783	-0.9761,-0.8783	-0.9761,-0.8783	-0.2969,0.0000	-1.0000,-1.0000	nan,0.0000	nan,0.0000	nan,0.0000	nan,0.0000	nan,0.0000	nan,0.0000	nan,0.0000	0.9953,0.8783	0.9128,0.8783	-0.9949,-0.8783	-0.9998,-0.8783	0.9998,0.8783	0.9957,0.8216	0.9957,0.8216	0.9958,0.8216	0.9981,0.8216	0.9998,0.8783	0.9998,0.8783	0.9750,0.8783	0.9254,0.8783	-0.9741,-0.8783	-0.9992,-0.8783	0.7380,0.7526	0.7380,0.7526	
L18S-1	0.8834,0.5000	0.8834,0.5000	0.8834,0.5000	0.8834,0.5000	0.8831,0.5000	0.8533,0.5000	-0.5695,-0.8660	1.0000,1.0000	1.0000,1.0000	1.0000,1.0000	1.0000,1.0000	1.0000,1.0000	1.0000,1.0000	1.0000,1.0000	1.0000,1.0000	1.0000,1.0000	1.0000,1.0000	0.9966,0.5000	1.0000,1.0000	1.0000,1.0000	1.0000,1.0000	1.0000,1.0000	1.0000,1.0000	1.0000,1.0000	1.0000,1.0000	1.0000,1.0000	1.0000,1.0000	1.0000,1.0000	0.9961,0.5000	0.8850,0.5000	0.8850,0.5000	
ITS1alpha	0.8345,0.8216	0.8345,0.8216	0.8345,0.8216	0.8345,0.8216	0.8345,0.8216	0.8339,0.8216	-1.0000,-1.0000	1.0000,0.6969	1.0000,0.7539	1.0000,0.8216	1.0000,0.8250	1.0000,0.8216	1.0000,0.8783	1.0000,0.8783	1.0000,0.8783	0.9999,0.8783	0.9999,0.8783	-0.9999,-0.8783	1.0000,0.6969	1.0000,0.8216	1.0000,0.8216	1.0000,0.8216	1.0000,0.8250	1.0000,0.8783	1.0000,0.8783	1.0000,0.8783	1.0000,0.8783	0.9993,0.8783	-0.9991,-0.8783	N/A	0.9436,0.7526	
ITS1filtered	0.9806,0.7773	0.9806,0.7773	0.9806,0.7773	0.9806,0.7773	0.9806,0.7773	0.9797,0.7773	-0.5521,-0.7746	0.9817,0.7320	0.9813,0.7966	0.9804,0.8571	0.9804,0.8571	0.9804,0.8571	0.9806,0.7773	0.9806,0.7773	0.9806,0.7773	0.9737,0.7773	0.8906,0.1943	-0.4277,-0.3887	0.9817,0.7320	0.9812,0.8192	0.9804,0.8571	0.9804,0.8571	0.9804,0.8571	0.9806,0.7773	0.9806,0.7773	0.9806,0.7773	0.9796,0.7773	0.8901,0.1943	-0.1077,-0.3887	N/A	0.9806,0.7773	
S16S-1	0.9948,0.9574	0.9948,0.9574	0.9948,0.9574	0.9948,0.9574	0.9948,0.9574	0.9948,0.9574	-0.4370,-0.6547	0.9951,0.9031	0.9951,0.9031	0.9950,0.9170	0.9945,0.9574	0.9945,0.9574	0.9942,0.9759	0.9941,0.9759	0.9940,0.9759	0.9939,0.9759	0.9856,0.8539	0.9633,0.8469	0.9951,0.9031	0.9951,0.9031	0.9948,0.9374	0.9946,0.9574	0.9945,0.9574	0.9942,0.9759	0.9942,0.9759	0.9941,0.9759	0.9939,0.9759	0.9857,0.8539	0.9618,0.8469	N/A	0.9950,0.9374	
S16S-2	0.9969,0.9910	0.9969,0.9910	0.9969,0.9910	0.9969,0.9910	0.9969,0.9910	0.9970,0.9910	-0.4370,-0.6547	0.9966,1.0000	0.9966,1.0000	0.9966,1.0000	0.9966,1.0000	0.9970,0.9910	0.9970,0.9910	0.9970,0.9910	0.9970,0.9910	0.9969,0.9910	0.9971,0.9759	0.9943,0.9759	0.9966,1.0000	0.9966,1.0000	0.9966,1.0000	0.9970,0.9910	0.9970,0.9910	0.9970,0.9910	0.9970,0.9910	0.9970,0.9910	0.9972,0.9759	0.9971,0.9759	0.9836,0.8539	0.9972,0.9759	0.9972,0.9759	
