#Taxon	pc0	pc1	pc2	pc3	pc4	pc5	pc6	pc7	pc8	pc9	pc10	pc11	pc12	pc13	pc14	pc15	pc16	pc17	pc18	pc19	pc20	pc21	pc22	pc23	pc24	pc25	pc26	pc27	pc28	pc29	pc30
Even1;k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides	-0.029492481285	-0.0040868943022	-0.00414344716254	0.0011485549073	-0.000594795312379	0.000253948374973	0.000121508735556	-0.000110836426527	0.000121551624172	3.01045903522e-05	5.55962169429e-05	-6.01731964016e-05	4.74006618016e-05	-1.31537322606e-06	-8.02178510896e-06	7.51706196679e-06	1.27349685027e-06	2.5625725079e-07	8.71088198386e-07	-2.18583828556e-06	-1.16766060745e-06	5.12805323935e-07	4.14177347124e-07	-2.02930886847e-08	-1.6003306438e-07	-6.52454730933e-08	-3.78906634711e-10	-1.09213568991e-09	1.71852376344e-10	3.13981369468e-10	1.55115795333e-10
Even2;k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides	-0.0309316327254	-0.00394627951581	-0.00411603566978	0.0010764748142	-0.000445164266233	0.000275523460608	9.47245940429e-05	-0.000108676624814	0.000128677028014	5.17664583915e-05	5.35573835769e-05	-6.27961434721e-05	5.54744466998e-05	1.99705887934e-07	-8.16789370128e-06	8.75815676119e-06	5.54296204765e-07	-6.02851119152e-07	1.38488984566e-06	-2.8830168751e-06	-1.44413815872e-06	7.97075322109e-07	4.97609454391e-07	1.92639057586e-08	-1.82977770625e-07	-7.31421855097e-08	-2.60981135466e-10	-1.09213568991e-09	1.71852376344e-10	3.13981369468e-10	1.55115795333e-10
Even3;k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides	-0.0302246477431	-0.00372116983889	-0.00342933036308	0.00101927873057	-0.000252680702636	0.000214794263852	2.27892269374e-05	-0.000116032588323	0.000152560186622	7.51780595683e-05	4.31930340078e-05	-6.18968947837e-05	6.55139649859e-05	6.46353157704e-06	-6.60441173768e-06	1.23501500517e-05	-1.54894838096e-06	-1.63491639463e-06	1.74087636768e-06	-3.44336700119e-06	-1.4555780884e-06	9.13889316392e-07	5.48804613558e-07	2.25991082979e-08	-2.16580542529e-07	-1.00452194995e-07	-3.97902236147e-10	-1.09213568991e-09	1.71852376344e-10	3.13981369468e-10	1.55115795333e-10
Even1;k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium	-0.0181024238388	-0.00478422872001	0.00408669774653	0.00228249335735	-0.000700866350118	-0.00122407176102	7.42809644009e-05	-5.53507586059e-05	5.10388910658e-05	-9.18208756632e-05	4.55669307687e-05	-6.10579890007e-06	-1.54633347216e-05	9.95610756596e-06	1.7720493057e-05	9.62111247982e-06	-1.23557402345e-05	-6.61790914645e-06	-2.72700454313e-07	7.87189980016e-07	1.3684441558e-06	-5.46964912079e-07	4.97292193478e-07	8.09055172235e-10	1.23820423727e-08	-7.28406467441e-08	-3.7186601471e-10	-1.09213568991e-09	1.71852376344e-10	3.13981369468e-10	1.55115795333e-10
Even3;k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium	-0.0181791334891	-0.00499267659525	0.00482947767962	0.00239314919891	-0.000611463169336	-0.00121627643186	4.84449471942e-05	-5.36795667686e-05	6.07971848807e-05	-8.73817389305e-05	4.40437274637e-05	-5.16502683541e-06	-1.50294129394e-05	1.04959271126e-05	1.69750455569e-05	1.00029186428e-05	-1.24118048797e-05	-6.4082059332e-06	-1.84380736405e-07	7.79148840087e-07	1.38271782224e-06	-4.5411585579e-07	5.13943672334e-07	-5.69875751547e-09	5.45817256317e-09	-7.41905676206e-08	-3.64785113261e-10	-1.09213568991e-09	1.71852376344e-10	3.13981369468e-10	1.55115795333e-10
Even2;k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium	-0.0186081861144	-0.00536390171055	0.00556125034597	0.00261028633649	-0.000602710498986	-0.00119661414878	4.57670541888e-05	-5.83332510389e-05	7.33387555822e-05	-8.52595282053e-05	4.63395079875e-05	-1.09506530452e-05	-1.27984996166e-05	1.08648156783e-05	1.60400034689e-05	1.17039843052e-05	-1.26519882312e-05	-6.59483845489e-06	-3.35867103985e-07	2.69210289095e-07	1.34071213148e-06	-4.58983295016e-07	5.52197941309e-07	-1.3377316668e-08	-3.08157354824e-08	-9.41574428924e-08	-4.68206948625e-10	-1.09213568991e-09	1.71852376344e-10	3.13981369468e-10	1.55115795333e-10
Even2;k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium	-0.0523356148799	-0.0186121923494	0.0195685855916	-0.00243484194343	-0.00385818661504	0.000901356351287	-0.000241834134462	-0.000298684404659	0.000226178396122	-5.11486270654e-06	8.42993629993e-05	0.000154006596446	9.91779427335e-05	4.61470622927e-05	6.56610949752e-05	-2.320908321e-05	2.117564313e-05	-2.72624319375e-06	3.66828731674e-06	7.02068914764e-06	2.49268093636e-06	6.55771226695e-07	-1.16279440504e-06	-6.21719871632e-07	2.49097616215e-07	1.59657052473e-07	-6.68032342486e-11	-1.09213568991e-09	1.71852376344e-10	3.13981369468e-10	1.55115795333e-10
Even2;k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Providencia	-0.0271614655068	-0.0550356796235	-0.0118366447583	-0.00367660009117	0.0010537712698	-9.48166559583e-05	-0.000226763194885	0.000206721165173	-4.23255780682e-05	0.00011894040637	-5.44285992848e-05	-6.33880629691e-05	-7.12112517338e-05	-1.26211747953e-05	-3.48117151245e-05	-1.04917354497e-06	1.59097922223e-05	-1.95817408034e-06	5.43623796764e-07	-6.81328170343e-06	-3.0937435027e-06	1.98606893071e-06	1.49840256059e-06	1.01683521858e-06	1.47506436173e-07	1.24139881781e-07	2.15050229121e-09	-1.09213568991e-09	1.71852376344e-10	3.13981369468e-10	1.55115795332e-10
Even1;k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Providencia	-0.0283674571983	-0.0539943368612	-0.0112966230612	-0.00420427807227	0.000733508677312	-5.89351926765e-05	-0.000308675620039	0.000151131082653	4.47211916793e-06	0.00010945380705	-5.89811657872e-05	-5.26804277238e-05	-7.06687663389e-05	-8.13713773404e-06	-3.03871685238e-05	-1.95847764006e-06	1.85401779001e-05	-2.79185521105e-06	9.33898001375e-07	-7.00066301801e-06	-2.92127139109e-06	2.03047716489e-06	1.48137555111e-06	1.04216013835e-06	1.9150216303e-07	1.41203439582e-07	2.2276918003e-09	-1.09213568991e-09	1.71852376344e-10	3.13981369468e-10	1.55115795332e-10
Even3;k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Providencia	-0.0271329108685	-0.0548483982806	-0.0115848119067	-0.00357080858022	0.00100574179257	-8.62340983037e-05	-0.000205653709256	0.000207745053977	-5.01599138022e-05	0.000117757739366	-5.50076387592e-05	-6.4652567829e-05	-6.75063568534e-05	-1.27762855708e-05	-3.48146165217e-05	-1.45926791392e-07	1.59896164315e-05	-2.38495424472e-06	5.09737622082e-07	-7.44967732262e-06	-3.12146129654e-06	1.95319189718e-06	1.3611189562e-06	9.61969698689e-07	1.01042130404e-07	1.0542821478e-07	1.9340797303e-09	-1.09213568991e-09	1.71852376344e-10	3.13981369468e-10	1.55115795332e-10
