Taxon	blast_100.0	blast_0.0001	blast_1e-06	blast_1.0	blast_1e-10	blast_1e-30	mothur_0.0	mothur_0.1	mothur_0.2	mothur_0.3	mothur_0.4	mothur_0.5	mothur_0.6	mothur_0.7	mothur_0.8	mothur_0.9	mothur_1.0	rdp_0.0	rdp_0.1	rdp_0.2	rdp_0.3	rdp_0.4	rdp_0.5	rdp_0.6	rdp_0.7	rdp_0.8	rdp_0.9	rdp_1.0	rtax_single	Expected
s__Nectria_cinnabarina	0	0	0	0	0	0	0.000470445915521	0.000470445915521	0.000470445915521	0.000403239356161	0	0	0	0	0	0	0	0.000470445915521	0.000470445915521	0.000470445915521	0.000436842635841	0	0	0	0	0	0	0	0	0	
s__Pezizomycotina_sp_11290	0.00010080983904	0.00010080983904	0.00010080983904	0.00010080983904	0.00010080983904	0	0.000772875432642	0.000772875432642	0.000772875432642	0.000571255754562	0.000470445915521	0.000336032796801	0.000336032796801	0.000302429517121	0.000302429517121	0.000302429517121	0	0.000772875432642	0.000772875432642	0.000772875432642	0.000672065593602	0.000369636076481	0.000336032796801	0.000336032796801	0.000302429517121	0.000302429517121	0.000302429517121	0	3.36032796801e-05	0	
s__Neonectria_punicea	0	0	0	0	0	0	0.000705668873282	0	0	0	0	0	0	0	0	0	0	0.000705668873282	0	0	0	0	0	0	0	0	0	0	0	0	
s__Debaryomyces_hansenii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0625	
Other	0	0	0	0	0	0	0	0	0.00010080983904	3.36032796801e-05	0.0831681172082	0.0599146476696	0.0599482509493	0.130380725159	0.0640142477906	0.155213548842	0	0	0.0	3.36032796801e-05	0.023320676098	0.0599146476696	0.0599146476696	0.0664336839276	0.0640478510703	0.0640142477906	0.0639806445109	0	0	0	
Other	0	0	0	0	0	0	0	3.36032796801e-05	3.36032796801e-05	0.0459692866024	6.72065593602e-05	0.0234550892167	0.0233542793777	0.0811855237071	0.0800094089183	0.0932827043919	0	0	3.36032796801e-05	3.36032796801e-05	0.0001680163984	0.000201619678081	0.0236903121745	0.0234550892167	0.147215968279	0.0800766154777	0.0810511105884	0.012399610202	0.0001680163984	0	
s__Issatchenkia_sp_YS16B	0	0	0	0	0	0	3.36032796801e-05	3.36032796801e-05	3.36032796801e-05	3.36032796801e-05	0	0	0	0	0	0	0	3.36032796801e-05	3.36032796801e-05	3.36032796801e-05	3.36032796801e-05	0	0	0	0	0	0	0	0	0	
Other	0	0	0	0	0	0	0	3.36032796801e-05	3.36032796801e-05	0	0	0	0	0	0	0	0	0	3.36032796801e-05	0	0	0	0	0	0	0	0	0	0	0	
Other	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.36032796801e-05	0	0	0	0	0	
s__Kluyveromyces_lactis	0.0656944117746	0.0656944117746	0.0656944117746	0.0656944117746	0.0656944117746	0.0656944117746	0.0656944117746	0.0656944117746	0.0656944117746	0.0656944117746	0.0656944117746	0.0656944117746	0.0656944117746	0.0656944117746	0.0656944117746	0.0656944117746	0	0.0656944117746	0.0656944117746	0.0656944117746	0.0656944117746	0.0656944117746	0.0656944117746	0.0656944117746	0.0656944117746	0.0656944117746	0.0656944117746	0.0656944117746	0.0656944117746	0.0625	
s__Zygosaccharomyces_rouxii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0625	
s__Sporobolomyces_gracilis	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	
s__Pichia_burtonii	0	0	0	0	0	0	0.0568567492187	0.0568567492187	0.0568567492187	0.0568567492187	0.0568567492187	0.0568567492187	0.0568567492187	0.0568567492187	0.0568567492187	0.0568567492187	0	0.0568567492187	0.0568567492187	0.0568567492187	0.0568567492187	0.0568567492187	0.0568567492187	0.0568567492187	0.0568567492187	0.0568567492187	0.0568567492187	0	0.0568567492187	0.0625	
s__Galactomyces_reessii	0	0	0	0	0	0	0.045902080043	0	0	0	0	0	0	0	0	0	0	0.045902080043	0.045902080043	0.0458348734837	0.0458348734837	0	0	0	0	0	0	0	0	0	
Other	0	0	0	0	0	0	0	0	0	6.72065593602e-05	0.0640814543499	0.0640814543499	0.0644174871467	0.0646191068248	0.0644510904264	0.0643838838671	0	0	0	0	0	6.72065593602e-05	0.0640814543499	0.0645182969858	0.0643502805874	0.0644510904264	0.0644846937061	0	0.000571255754562	0	
s__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0625	
Other	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.36032796801e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
s__Dothideomycetes_sp_11351	0.00010080983904	0.00010080983904	0.00010080983904	0.00010080983904	0.00010080983904	0	6.72065593602e-05	6.72065593602e-05	6.72065593602e-05	6.72065593602e-05	6.72065593602e-05	6.72065593602e-05	6.72065593602e-05	6.72065593602e-05	6.72065593602e-05	6.72065593602e-05	0	6.72065593602e-05	6.72065593602e-05	6.72065593602e-05	6.72065593602e-05	6.72065593602e-05	6.72065593602e-05	6.72065593602e-05	6.72065593602e-05	6.72065593602e-05	6.72065593602e-05	6.72065593602e-05	0.0001680163984	0	
Other	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0172720857556	0	0.0172720857556	0	
s__Debaryomyces_sp_R344	0	0	0	0	0	0	0.080043012198	0.0800094089183	0.0799758056386	0	0	0	0	0	0	0	0	0.080043012198	0.0800094089183	0.0800094089183	0.0799758056386	0.0799758056386	0	0	0	0	0	0	0	0	
s__Penicillium_corylophilum	3.36032796801e-05	3.36032796801e-05	3.36032796801e-05	3.36032796801e-05	3.36032796801e-05	3.36032796801e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Other	0	0	0	0	0	0	0	0	0	3.36032796801e-05	0	0	0	0	0	0.00685506905474	0	0	0	0	3.36032796801e-05	0	0	0	0	0	0	0	0	0	
s__unculturedfungus	0.257434725629	0.257434725629	0.257434725629	0.257434725629	0.257434725629	0.25740112235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0323935616116	0	
s__Geotrichum_sp_olrim943	0	0	0	0	0	0	3.36032796801e-05	3.36032796801e-05	3.36032796801e-05	0	0	0	0	0	0	0	0	3.36032796801e-05	3.36032796801e-05	3.36032796801e-05	0	0	0	0	0	0	0	0	0	0	
Other	0	0	0	0	0	0	0	0	0	0	0	0.0001680163984	0.0001680163984	0	0	0	0	0	0	0	0	0	0.0001680163984	0.0001680163984	0.0001680163984	0.0001680163984	0	0	0	0	
s__Aspergillus_versicolor	0.0001680163984	0.0001680163984	0.0001680163984	0.0001680163984	0.0001680163984	0.0001680163984	0.0001680163984	0.0001680163984	0.0001680163984	0.0001680163984	0.0001680163984	0	0	0	0	0	0	0.0001680163984	0.0001680163984	0.0001680163984	0.0001680163984	0.0001680163984	0	0	0	0	0	0	0.0001680163984	0	
s__Galactomyces_geotrichum	0.259820558487	0.259820558487	0.259820558487	0.259820558487	0.259820558487	0.259686145368	0.175341913371	0.175341913371	0.175241103532	0.151987633993	0.0921065896031	0.0919049699251	0.0207668268423	0.0133068987533	0	0	0	0.175341913371	0.175341913371	0.175308310091	0.151987633993	0.0920393830438	0.0919049699251	0.0847810746329	0.0133068987533	0	0	0	0.077623576061	0.25	
Other	0	0	0	0	0	0	0	0	0	0	0	0.0114251150912	0.0114251150912	0.0114587183709	0.0114587183709	0.0114587183709	3.36032796801e-05	0	0	0	0	0	0.0114251150912	0.0114251150912	0.0114251150912	0.0114587183709	0.0114587183709	0	0	0	
Other	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0001680163984	0.000336032796801	0.000436842635841	0.000369636076481	0	0	0	0	0	0	0	0.0001680163984	0.0001680163984	0.000336032796801	0.000470445915521	0	0	
Other	0	0	0	0	0	0	0	0.000705668873282	0.000705668873282	0.000873685271683	0.0011761147888	0.0011761147888	0.000235222957761	0.000235222957761	0	0	0	0	0.000705668873282	0.000806478712322	0.000840081992002	0.00120971806848	0.000436842635841	0.000369636076481	0	0	0	0	0	0	
Other	0	0	0	0	0	0	0	0.045902080043	0.0458348734837	0.0232534695386	0.0458348734837	0.0459692866024	0.0712053496421	0.00745992808898	0.0207668268423	0	0	0	0	6.72065593602e-05	0	0.069121946302	0.0459692866024	0.000739272152962	0.00745992808898	0.0207668268423	0	0	0	0	
