# QIIME v1.5.0 OTU table
#OTU ID	blast_100.0	blast_0.0001	blast_1e-06	blast_1.0	blast_1e-10	blast_1e-30	mothur_0.0	mothur_0.1	mothur_0.2	mothur_0.3	mothur_0.4	mothur_0.5	mothur_0.6	mothur_0.7	mothur_0.8	mothur_0.9	mothur_1.0	rdp_0.0	rdp_0.1	rdp_0.2	rdp_0.3	rdp_0.4	rdp_0.5	rdp_0.6	rdp_0.7	rdp_0.8	rdp_0.9	rdp_1.0	rtax_single	Expected	taxonomy
1	0	0	0	0	0	0	0.000470445915521	0.000470445915521	0.000470445915521	0.000403239356161	0	0	0	0	0	0	0	0.000470445915521	0.000470445915521	0.000470445915521	0.000436842635841	0	0	0	0	0	0	0	0	0	Mock.2;k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Nectria;s__Nectria_cinnabarina
2	0.00010080983904	0.00010080983904	0.00010080983904	0.00010080983904	0.00010080983904	0	0.000772875432642	0.000772875432642	0.000772875432642	0.000571255754562	0.000470445915521	0.000336032796801	0.000336032796801	0.000302429517121	0.000302429517121	0.000302429517121	0	0.000772875432642	0.000772875432642	0.000772875432642	0.000672065593602	0.000369636076481	0.000336032796801	0.000336032796801	0.000302429517121	0.000302429517121	0.000302429517121	0	3.36032796801e-05	0	Mock.2;k__Fungi;p__Ascomycota;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__Pezizomycotina_sp_11290
3	0	0	0	0	0	0	0.000705668873282	0	0	0	0	0	0	0	0	0	0	0.000705668873282	0	0	0	0	0	0	0	0	0	0	0	0	Mock.2;k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Neonectria;s__Neonectria_punicea
4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0625	Mock.2;k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Saccharomycetaceae;g__Debaryomyces;s__Debaryomyces_hansenii
5	0	0	0	0	0	0	0	0	0.00010080983904	3.36032796801e-05	0.0831681172082	0.0599146476696	0.0599482509493	0.130380725159	0.0640142477906	0.155213548842	0	0	0.0	3.36032796801e-05	0.023320676098	0.0599146476696	0.0599146476696	0.0664336839276	0.0640478510703	0.0640142477906	0.0639806445109	0	0	0	Mock.2;k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Dipodascaceae;Other;Other
6	0	0	0	0	0	0	0	3.36032796801e-05	3.36032796801e-05	0.0459692866024	6.72065593602e-05	0.0234550892167	0.0233542793777	0.0811855237071	0.0800094089183	0.0932827043919	0	0	3.36032796801e-05	3.36032796801e-05	0.0001680163984	0.000201619678081	0.0236903121745	0.0234550892167	0.147215968279	0.0800766154777	0.0810511105884	0.012399610202	0.0001680163984	0	Mock.2;k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;Other;Other;Other
7	0	0	0	0	0	0	3.36032796801e-05	3.36032796801e-05	3.36032796801e-05	3.36032796801e-05	0	0	0	0	0	0	0	3.36032796801e-05	3.36032796801e-05	3.36032796801e-05	3.36032796801e-05	0	0	0	0	0	0	0	0	0	Mock.2;k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Pichiaceae;g__Issatchenkia;s__Issatchenkia_sp_YS16B
8	0	0	0	0	0	0	0	3.36032796801e-05	3.36032796801e-05	0	0	0	0	0	0	0	0	0	3.36032796801e-05	0	0	0	0	0	0	0	0	0	0	0	Mock.2;k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Nectria;Other
9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.36032796801e-05	0	0	0	0	0	Mock.2;k__Fungi;p__Ascomycota;c__unidentified;o__unidentified;f__unidentified;g__unidentified;Other
10	0.0656944117746	0.0656944117746	0.0656944117746	0.0656944117746	0.0656944117746	0.0656944117746	0.0656944117746	0.0656944117746	0.0656944117746	0.0656944117746	0.0656944117746	0.0656944117746	0.0656944117746	0.0656944117746	0.0656944117746	0.0656944117746	0	0.0656944117746	0.0656944117746	0.0656944117746	0.0656944117746	0.0656944117746	0.0656944117746	0.0656944117746	0.0656944117746	0.0656944117746	0.0656944117746	0.0656944117746	0.0656944117746	0.0625	Mock.2;k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Saccharomycetaceae;g__Kluyveromyces;s__Kluyveromyces_lactis
11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0625	Mock.2;k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Saccharomycetaceae;g__Zygosaccharomyces;s__Zygosaccharomyces_rouxii
12	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	Mock.2;k__Fungi;p__Basidiomycota;c__Microbotryomycetes;o__Sporidiobolales;f__Incertae_sedis;g__Sporobolomyces;s__Sporobolomyces_gracilis
13	0	0	0	0	0	0	0.0568567492187	0.0568567492187	0.0568567492187	0.0568567492187	0.0568567492187	0.0568567492187	0.0568567492187	0.0568567492187	0.0568567492187	0.0568567492187	0	0.0568567492187	0.0568567492187	0.0568567492187	0.0568567492187	0.0568567492187	0.0568567492187	0.0568567492187	0.0568567492187	0.0568567492187	0.0568567492187	0	0.0568567492187	0.0625	Mock.2;k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Pichiaceae;g__Pichia;s__Pichia_burtonii
14	0	0	0	0	0	0	0.045902080043	0	0	0	0	0	0	0	0	0	0	0.045902080043	0.045902080043	0.0458348734837	0.0458348734837	0	0	0	0	0	0	0	0	0	Mock.2;k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Dipodascaceae;g__Galactomyces;s__Galactomyces_reessii
15	0	0	0	0	0	0	0	0	0	6.72065593602e-05	0.0640814543499	0.0640814543499	0.0644174871467	0.0646191068248	0.0644510904264	0.0643838838671	0	0	0	0	0	6.72065593602e-05	0.0640814543499	0.0645182969858	0.0643502805874	0.0644510904264	0.0644846937061	0	0.000571255754562	0	Mock.2;k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Trichocomaceae;g__Penicillium;Other
16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0625	Mock.2;k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Fusarium;s__
17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.36032796801e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Mock.2;k__Fungi;p__Ascomycota;c__Saccharomycetes;Other;Other;Other;Other
