pc vector number	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31
blast_100.0	-0.43061307733	0.211598211923	0.040795612206	0.0148829689463	-0.0232971167387	-0.0155686829177	0.0495899620983	0.0126152925008	-0.0139669977319	-0.00697786801304	0.000217879446957	0.00692489536797	-0.00701509712373	-0.000715454607373	0.00584932623556	0.0105585578492	0.00575605279497	0.0050970291381	0.000943987335093	-8.30072498032e-05	0.000262243686177	5.61111164368e-07	-5.80355780536e-06	3.21294612457e-05	-5.44126141838e-06	-2.40126379181e-06	-4.87636584298e-05	-3.093099339e-08	0.0	0.0	0.0
blast_0.0001	-0.43061307733	0.211598211923	0.040795612206	0.0148829689463	-0.0232971167387	-0.0155686829177	0.0495899620983	0.0126152925008	-0.0139669977319	-0.00697786801304	0.000217879446957	0.00692489536797	-0.00701509712372	-0.000715454607374	0.00584932623557	0.0105585578492	0.00575605279497	0.0050970291381	0.000943987335094	-8.30072498009e-05	0.000262243686181	5.61111152672e-07	-5.80355780996e-06	3.21294612517e-05	-5.44126143097e-06	-2.40126382103e-06	-4.87636574789e-05	8.60965785166e-09	-8.06193874218e-09	1.27336208891e-08	-2.90717734311e-09
blast_1e-06	-0.43061307733	0.211598211923	0.040795612206	0.0148829689463	-0.0232971167387	-0.0155686829177	0.0495899620983	0.0126152925008	-0.0139669977319	-0.00697786801304	0.000217879446956	0.00692489536797	-0.00701509712373	-0.000715454607372	0.00584932623556	0.0105585578492	0.00575605279497	0.0050970291381	0.000943987335092	-8.30072498022e-05	0.000262243686173	5.61111162965e-07	-5.80355780609e-06	3.21294612464e-05	-5.44126142255e-06	-2.40126379459e-06	-4.87636591526e-05	8.60965791951e-09	-6.32245782581e-09	-1.12190406945e-08	-4.69331462756e-09
blast_1.0	-0.43061307733	0.211598211923	0.040795612206	0.0148829689463	-0.0232971167387	-0.0155686829177	0.0495899620983	0.0126152925008	-0.0139669977319	-0.00697786801304	0.000217879446957	0.00692489536797	-0.00701509712372	-0.000715454607374	0.00584932623557	0.0105585578492	0.00575605279497	0.0050970291381	0.000943987335094	-8.3007249802e-05	0.000262243686178	5.6111116181e-07	-5.8035578067e-06	3.21294612479e-05	-5.44126142024e-06	-2.40126379667e-06	-4.87636589695e-05	8.60965791209e-09	-6.61019577583e-09	-2.03110788146e-09	7.66876329903e-09
blast_1e-10	-0.430613810514	0.211599149067	0.0407960354983	0.0148834013073	-0.0232971748931	-0.0155672445856	0.0495945405624	0.0126156293046	-0.0139663169676	-0.00698431290852	0.000218201373753	0.00692142842157	-0.00700642315765	-0.000716316610445	0.00581991594666	0.0105974632826	0.00578974974896	0.00505998568494	0.000946569152589	-8.68990110738e-05	0.000220787726227	1.43734899357e-06	-1.6069002867e-06	3.44055194431e-05	2.69578213191e-05	2.26224633862e-07	0.000195050520554	-1.27550480209e-09	-5.24864763226e-09	-1.29132019762e-10	1.70678486059e-11
blast_1e-30	-0.428535843727	0.217302173968	0.0429708429597	0.0153919637393	-0.00154622059468	-0.0201214169418	0.0615013626448	-0.00362775221999	-0.00419908447983	-0.0308674026923	0.00139283817366	-0.0100646657063	0.0199687362487	0.00153829166741	-0.0316627920718	-0.0416715572924	-0.0305869245437	-0.0331280651739	0.00107145259076	0.000216927344738	-0.00205305888278	1.78556944656e-05	-7.65189210505e-05	2.19695403901e-05	-0.000159675706745	-3.4078848239e-06	-1.15249546536e-08	-1.27550490178e-09	-5.24864799524e-09	-1.29131941321e-10	1.70678353935e-11
mothur_0.0	-0.201020324355	-0.25279957932	-0.0564129204957	0.0171241774413	-0.192119420377	-0.0278478507159	-0.0509603308223	-0.0510936938762	0.00188517850879	0.0311806996494	0.116397281381	0.00745009495973	-0.000580753679193	0.00875927111284	-0.00171183010638	-0.00818423339962	0.00539858684715	-0.00227307926254	-0.00317940494865	0.00012817839624	0.000135860926807	-4.24168317475e-05	8.45664870566e-06	-7.84671394214e-05	3.58616830066e-05	8.06321315404e-06	-1.99053690404e-09	-1.27550490177e-09	-5.24864799522e-09	-1.29131941324e-10	1.70678353934e-11
mothur_0.1	-0.175402660359	-0.291044281608	-0.0595233239849	-0.0448501395958	0.0763687540823	-0.00391462592096	-0.0053300174071	-0.00589587079602	-0.00058596280659	0.0123739032388	4.87240020366e-05	0.0139375170269	-0.0145655230621	-0.00289308582463	-0.00917354698495	0.0167332861681	0.00533059265821	-0.0121178301931	-0.00241595064417	-0.00243879435229	-0.0110200308348	0.00353579453465	0.00147629508822	-0.000423772034349	0.00195580656909	-0.000831893790923	-6.84994695699e-07	-1.27550490213e-09	-5.24864799647e-09	-1.29131941069e-10	1.70678353508e-11
mothur_0.2	-0.170567958805	-0.28972735929	-0.0559411865817	-0.0442648676895	0.0823318664547	-0.0127686120869	-0.00183229608403	-0.0111600843609	-0.00734454552761	0.00527559969733	0.000291204011604	0.00903320031366	-0.00300979828513	0.00157365178382	-0.00905216276438	0.00968856833221	0.00689287091881	-0.00884273472882	-0.00478043625547	0.00621538635234	0.000623757511293	0.000749766588691	0.00372132333422	0.00374549197394	-0.00305460284609	0.000241404277529	5.39328411e-07	-1.2755049015e-09	-5.2486479942e-09	-1.29131941545e-10	1.70678354325e-11
mothur_0.3	-0.0923396672831	-0.252128496692	-0.0154144417937	-0.040919304954	0.0888004783492	-0.0651970202992	0.0588691962539	-0.0695848832125	-0.0119689005881	-0.0181122068773	0.00255247118981	-0.0522198397766	0.0554073011017	0.0117893122	0.011878976183	-0.0174134000892	0.0147850933312	0.0272254802228	-0.010956824369	0.00193574188668	-0.000674251248309	0.000249410873928	-0.00041998336282	-0.000972237188521	0.000528326417423	7.4324329326e-05	-7.45424434427e-08	-1.2755049018e-09	-5.24864799536e-09	-1.2913194129e-10	1.70678353872e-11
