	blast_100.0	blast_0.0001	blast_1e-06	blast_1.0	blast_1e-10	blast_1e-30	mothur_0.0	mothur_0.1	mothur_0.2	mothur_0.3	mothur_0.4	mothur_0.5	mothur_0.6	mothur_0.7	mothur_0.8	mothur_0.9	mothur_1.0	rdp_0.0	rdp_0.1	rdp_0.2	rdp_0.3	rdp_0.4	rdp_0.5	rdp_0.6	rdp_0.7	rdp_0.8	rdp_0.9	rdp_1.0	rtax_single	rtax_paired	Expected
blast_100.0	0.0	0.0	0.0	0.0	0.000244588479984	0.026180374597	0.57154683399	0.587200496703	0.58784018965	0.588508104345	0.649147232857	0.654669288153	0.660116085456	0.901252104872	0.937714602873	0.951214005513	0.996952051251	0.570718996058	0.571697349978	0.589712232246	0.591706569082	0.593127063715	0.689786549515	0.693201380984	0.934741912118	0.936162406751	0.966839446477	0.996952051251	0.304860725675	0.246639260213	0.796987635238
blast_0.0001	0.0	0.0	0.0	0.0	0.000244588479984	0.026180374597	0.57154683399	0.587200496703	0.58784018965	0.588508104345	0.649147232857	0.654669288153	0.660116085456	0.901252104872	0.937714602873	0.951214005513	0.996952051251	0.570718996058	0.571697349978	0.589712232246	0.591706569082	0.593127063715	0.689786549515	0.693201380984	0.934741912118	0.936162406751	0.966839446477	0.996952051251	0.304860725675	0.246639260213	0.796987635238
blast_1e-06	0.0	0.0	0.0	0.0	0.000244588479984	0.026180374597	0.57154683399	0.587200496703	0.58784018965	0.588508104345	0.649147232857	0.654669288153	0.660116085456	0.901252104872	0.937714602873	0.951214005513	0.996952051251	0.570718996058	0.571697349978	0.589712232246	0.591706569082	0.593127063715	0.689786549515	0.693201380984	0.934741912118	0.936162406751	0.966839446477	0.996952051251	0.304860725675	0.246639260213	0.796987635238
blast_1.0	0.0	0.0	0.0	0.0	0.000244588479984	0.026180374597	0.57154683399	0.587200496703	0.58784018965	0.588508104345	0.649147232857	0.654669288153	0.660116085456	0.901252104872	0.937714602873	0.951214005513	0.996952051251	0.570718996058	0.571697349978	0.589712232246	0.591706569082	0.593127063715	0.689786549515	0.693201380984	0.934741912118	0.936162406751	0.966839446477	0.996952051251	0.304860725675	0.246639260213	0.796987635238
blast_1e-10	0.000244588479984	0.000244588479984	0.000244588479984	0.000244588479984	0.0	0.025935786117	0.57154683399	0.587200496703	0.58784018965	0.588508104345	0.649147232857	0.654669288153	0.660116085456	0.901252104872	0.937714602873	0.951214005513	0.996952051251	0.570718996058	0.571697349978	0.589712232246	0.591706569082	0.593127063715	0.689786549515	0.693201380984	0.934741912118	0.936162406751	0.966839446477	0.996952051251	0.304860725675	0.246639260213	0.796987635238
blast_1e-30	0.026180374597	0.026180374597	0.026180374597	0.026180374597	0.025935786117	0.0	0.588611584086	0.58893143056	0.589194833539	0.589768675741	0.650276102764	0.655459497088	0.660285415942	0.901383806361	0.937714602873	0.951214005513	0.996952051251	0.587755524407	0.588282330364	0.591132726879	0.592957733229	0.594293562619	0.690388613465	0.69337071147	0.934854799108	0.936162406751	0.966839446477	0.996952051251	0.30965842278	0.251596880555	0.79737333247
mothur_0.0	0.57154683399	0.57154683399	0.57154683399	0.57154683399	0.57154683399	0.588611584086	0.0	0.301935071166	0.309404427051	0.359065295717	0.435470973933	0.446580935269	0.454530060866	0.704254898825	0.743605422338	0.7604914347	0.996914422254	0.234579166706	0.28644133169	0.307729936689	0.319366703982	0.376111231314	0.479976670022	0.485338802082	0.729917874714	0.742072040715	0.965494209838	0.996952051251	0.647933697707	0.584124326206	0.882842114036
mothur_0.1	0.587200496703	0.587200496703	0.587200496703	0.587200496703	0.587200496703	0.58893143056	0.301935071166	0.0	0.0118813557728	0.132679843087	0.399939793606	0.412902983039	0.421614095823	0.673502601104	0.71319178559	0.730228313939	0.966585450748	0.302951054082	0.0424549157581	0.0107336713673	0.0228784301179	0.333609279311	0.446392790285	0.452441651538	0.699438387221	0.711658403966	0.935061758591	0.966585450748	0.631217015832	0.579881656805	0.88296440828
mothur_0.2	0.58784018965	0.58784018965	0.58784018965	0.58784018965	0.58784018965	0.589194833539	0.309404427051	0.0118813557728	0.0	0.123686512827	0.391087572084	0.404342386243	0.413580304984	0.668996528725	0.70868571321	0.726380749006	0.962737885815	0.31027930123	0.0519092012305	0.0106395988748	0.0121165370037	0.324785279536	0.438330777698	0.444407860698	0.694932314842	0.707152331587	0.93058390796	0.962737885815	0.628959276018	0.580361426515	0.883011444528
mothur_0.3	0.588508104345	0.588508104345	0.588508104345	0.588508104345	0.588508104345	0.589768675741	0.359065295717	0.132679843087	0.123686512827	0.0	0.270665374738	0.284456402103	0.297118559563	0.588498697096	0.628187881581	0.648865015381	0.885240966689	0.359648545169	0.149716371436	0.129453156602	0.124260355029	0.206912446731	0.321690294541	0.328736324212	0.614434483213	0.626654499958	0.85008607633	0.885240966689	0.626456947724	0.582242876361	0.883105517023
