,Dataset,Iteration,Taxonomic level,All taxonomic ids,Partial reference taxonomic ids,Fraction of taxonomic ids not represented in reference
0,B1,iter0,1,2,2,0.0
1,B2,iter0,1,2,2,0.0
2,F1,iter0,1,1,1,0.0
3,F2,iter0,1,1,1,0.0
4,B1,iter1,1,2,2,0.0
5,B2,iter1,1,2,2,0.0
6,F1,iter1,1,1,1,0.0
7,F2,iter1,1,1,1,0.0
8,B1,iter2,1,2,2,0.0
9,B2,iter2,1,2,2,0.0
10,F1,iter2,1,1,1,0.0
11,F2,iter2,1,1,1,0.0
12,B1,iter3,1,2,2,0.0
13,B2,iter3,1,2,2,0.0
14,F1,iter3,1,1,1,0.0
15,F2,iter3,1,1,1,0.0
16,B1,iter4,1,2,2,0.0
17,B2,iter4,1,2,2,0.0
18,F1,iter4,1,1,1,0.0
19,F2,iter4,1,1,1,0.0
20,B1,iter0,2,91,91,0.0
21,B2,iter0,2,91,90,0.010989010989
22,F1,iter0,2,9,9,0.0
23,F2,iter0,2,9,9,0.0
24,B1,iter1,2,91,91,0.0
25,B2,iter1,2,91,90,0.010989010989
26,F1,iter1,2,9,9,0.0
27,F2,iter1,2,9,9,0.0
28,B1,iter2,2,91,91,0.0
29,B2,iter2,2,91,91,0.0
30,F1,iter2,2,9,9,0.0
31,F2,iter2,2,9,9,0.0
32,B1,iter3,2,91,91,0.0
33,B2,iter3,2,91,91,0.0
34,F1,iter3,2,9,9,0.0
35,F2,iter3,2,9,9,0.0
36,B1,iter4,2,91,91,0.0
37,B2,iter4,2,91,91,0.0
38,F1,iter4,2,9,9,0.0
39,F2,iter4,2,9,9,0.0
40,B1,iter0,3,319,319,0.0
41,B2,iter0,3,319,316,0.00940438871473
42,F1,iter0,3,43,42,0.0232558139535
43,F2,iter0,3,43,43,0.0
44,B1,iter1,3,319,319,0.0
45,B2,iter1,3,319,318,0.00313479623824
46,F1,iter1,3,43,43,0.0
47,F2,iter1,3,43,43,0.0
48,B1,iter2,3,319,319,0.0
49,B2,iter2,3,319,319,0.0
50,F1,iter2,3,43,41,0.046511627907
51,F2,iter2,3,43,42,0.0232558139535
52,B1,iter3,3,319,318,0.00313479623824
53,B2,iter3,3,319,318,0.00313479623824
54,F1,iter3,3,43,43,0.0
55,F2,iter3,3,43,42,0.0232558139535
56,B1,iter4,3,319,319,0.0
57,B2,iter4,3,319,319,0.0
58,F1,iter4,3,43,41,0.046511627907
59,F2,iter4,3,43,43,0.0
60,B1,iter0,4,664,664,0.0
61,B2,iter0,4,664,661,0.00451807228916
62,F1,iter0,4,158,155,0.0189873417722
63,F2,iter0,4,158,158,0.0
64,B1,iter1,4,664,663,0.00150602409639
65,B2,iter1,4,664,663,0.00150602409639
66,F1,iter1,4,158,156,0.0126582278481
67,F2,iter1,4,158,158,0.0
68,B1,iter2,4,664,663,0.00150602409639
69,B2,iter2,4,664,662,0.00301204819277
70,F1,iter2,4,158,154,0.0253164556962
71,F2,iter2,4,158,156,0.0126582278481
72,B1,iter3,4,664,660,0.00602409638554
73,B2,iter3,4,664,663,0.00150602409639
74,F1,iter3,4,158,158,0.0
75,F2,iter3,4,158,157,0.00632911392405
76,B1,iter4,4,664,661,0.00451807228916
77,B2,iter4,4,664,662,0.00301204819277
78,F1,iter4,4,158,155,0.0189873417722
79,F2,iter4,4,158,158,0.0
80,B1,iter0,5,1116,1114,0.00179211469534
81,B2,iter0,5,1116,1110,0.00537634408602
82,F1,iter0,5,540,528,0.0222222222222
83,F2,iter0,5,540,533,0.012962962963
84,B1,iter1,5,1116,1115,0.00089605734767
85,B2,iter1,5,1116,1112,0.00358422939068
86,F1,iter1,5,540,534,0.0111111111111
87,F2,iter1,5,540,534,0.0111111111111
88,B1,iter2,5,1116,1113,0.00268817204301
89,B2,iter2,5,1116,1111,0.00448028673835
90,F1,iter2,5,540,526,0.0259259259259
91,F2,iter2,5,540,533,0.012962962963
92,B1,iter3,5,1116,1109,0.00627240143369
93,B2,iter3,5,1116,1113,0.00268817204301
94,F1,iter3,5,540,532,0.0148148148148
95,F2,iter3,5,540,531,0.0166666666667
96,B1,iter4,5,1116,1109,0.00627240143369
97,B2,iter4,5,1116,1113,0.00268817204301
98,F1,iter4,5,540,527,0.0240740740741
99,F2,iter4,5,540,535,0.00925925925926
100,B1,iter0,6,2930,2863,0.022866894198
101,B2,iter0,6,2930,2869,0.020819112628
102,F1,iter0,6,2771,2671,0.0360880548538
103,F2,iter0,6,2771,2697,0.0267051605918
104,B1,iter1,6,2930,2869,0.020819112628
105,B2,iter1,6,2930,2858,0.0245733788396
106,F1,iter1,6,2771,2688,0.0299530855287
107,F2,iter1,6,2771,2693,0.028148682786
108,B1,iter2,6,2930,2853,0.0262798634812
109,B2,iter2,6,2930,2864,0.0225255972696
110,F1,iter2,6,2771,2703,0.0245398773006
111,F2,iter2,6,2771,2690,0.0292313244316
112,B1,iter3,6,2930,2867,0.0215017064846
113,B2,iter3,6,2930,2871,0.0201365187713
114,F1,iter3,6,2771,2700,0.0256225189462
115,F2,iter3,6,2771,2693,0.028148682786
116,B1,iter4,6,2930,2861,0.0235494880546
117,B2,iter4,6,2930,2860,0.0238907849829
118,F1,iter4,6,2771,2687,0.0303139660772
119,F2,iter4,6,2771,2692,0.0285095633345
120,B1,iter0,7,4163,4008,0.0372327648331
121,B2,iter0,7,4163,4004,0.0381936103771
122,F1,iter0,7,19611,18442,0.0596094028861
123,F2,iter0,7,19611,18451,0.0591504767732
124,B1,iter1,7,4163,4014,0.0357914965169
125,B2,iter1,7,4163,3987,0.0422772039395
126,F1,iter1,7,19611,18447,0.0593544439345
127,F2,iter1,7,19611,18432,0.0601193207894
128,B1,iter2,7,4163,4010,0.036752342061
129,B2,iter2,7,4163,4011,0.036512130675
130,F1,iter2,7,19611,18519,0.0556830350314
131,F2,iter2,7,19611,18519,0.0556830350314
132,B1,iter3,7,4163,4003,0.0384338217632
133,B2,iter3,7,4163,4020,0.0343502282008
134,F1,iter3,7,19611,18459,0.0587425424507
135,F2,iter3,7,19611,18487,0.0573147723217
136,B1,iter4,7,4163,3995,0.0403555128513
137,B2,iter4,7,4163,4019,0.0345904395868
138,F1,iter4,7,19611,18458,0.058793534241
139,F2,iter4,7,19611,18509,0.0561929529346
