#SampleID	k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Saccharomycetaceae;g__Saccharomyces;s__Saccharomyces_cerevisiae	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Sclerotiniaceae;g__Botrytis;s__Botrytis_cinerea	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Davidiellaceae;g__Cladosporium	k__Fungi;p__Basidiomycota;c__Microbotryomycetes;o__Sporidiobolales;f__Sporidiobolales_fam_Incertae_sedis;g__Sporobolomyces	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Tremellales_fam_Incertae_sedis;g__Cryptococcus	k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Saccharomycetales_fam_Incertae_sedis;g__Candida	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__Alternaria
bits.2.695	0.280254777	0.044585987	0.038216561	0.25477707	0.382165605	0	0
bits.2.696	0.545479989	0.047858942	0.339210748	0.053736356	0.012874335	0.000279877	0.000559754
bits.2.698	0.84079602	0.099502488	0.044776119	0.014925373	0	0	0
bits.2.351	0.004918033	0.075409836	0.692622951	0.066393443	0.132786885	0	0.027868852
bits.2.357	0.001883239	0.060263653	0.745762712	0.073446328	0.100753296	0	0.017890772
bits.2.366	0	0.128440367	0.752293578	0.055045872	0.064220184	0	0
bits.2.370	0.002173913	0.058695652	0.456521739	0.032608696	0.445652174	0	0.004347826
bits.2.372	0.001410437	0.090267983	0.779971792	0.049365303	0.074753174	0	0.004231312
bits.2.374	0	0.133333333	0.755555556	0.034567901	0.064197531	0	0.012345679
bits.2.375	0.002028398	0.059837728	0.796146045	0.047667343	0.078093307	0.001014199	0.015212982
bits.2.376	0	0.048092869	0.84411277	0.028192371	0.068822554	0	0.010779436
bits.2.584	0.000443656	0.692546584	0.18566992	0.030168589	0.034605146	0.000221828	0.056344277
bits.2.585	0.000433566	0.505616649	0.369358717	0.043277758	0.056087659	7.88E-05	0.025146821
bits.2.586	0.003189793	0.64784689	0.21722488	0.031578947	0.041786283	0	0.058373206
bits.2.587	0.000223254	0.540721557	0.352607609	0.033443472	0.045231292	4.47E-05	0.027728166
bits.2.588	0.000260055	0.580010402	0.286321082	0.038054785	0.060722955	0.00017337	0.034457351
bits.2.589	0.000123655	0.802398912	0.099047854	0.032150365	0.043773958	0.000741931	0.021763324
