#SampleID	Winery	Vineyard	Region
bits.2.695	FN	1	Coombsville
bits.2.696	FN	1	Coombsville
bits.2.698	FN	1	Coombsville
bits.2.351	FN	8	Coombsville
bits.2.357	FN	8	Coombsville
bits.2.366	FN	8	Coombsville
bits.2.370	FN	8	Coombsville
bits.2.372	FN	8	Coombsville
bits.2.374	FN	8	Coombsville
bits.2.375	FN	8	Coombsville
bits.2.376	FN	8	Coombsville
bits.2.584	NN	11	Russian_River
bits.2.585	NN	11	Russian_River
bits.2.586	NN	11	Russian_River
bits.2.587	NN	11	Russian_River
bits.2.588	NN	11	Russian_River
bits.2.589	NN	11	Russian_River
