Taxon	Even3
Root;Other;Other;Other;Other	0.0013325149807
Root;k__Archaea;Other;Other;Other	0.0
Root;k__Archaea;p__Crenarchaeota;Other;Other	0.0
Root;k__Archaea;p__Crenarchaeota;c__;o__	0.0
Root;k__Archaea;p__Crenarchaeota;c__C2;Other	0.0
Root;k__Archaea;p__Crenarchaeota;c__C2;o__B10	0.0
Root;k__Archaea;p__Crenarchaeota;c__C2;o__pGrfC26	0.0
Root;k__Archaea;p__Crenarchaeota;c__Sd-NA;Other	0.0
Root;k__Archaea;p__Crenarchaeota;c__Sd-NA;o__	0.0
Root;k__Archaea;p__Crenarchaeota;c__Sd-NA;o__NRP-J	0.0
Root;k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;Other	0.0
Root;k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Cenarchaeales	0.0
Root;k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Nitrososphaerales	0.0
Root;k__Archaea;p__Crenarchaeota;c__Thermoprotei;Other	0.0
Root;k__Archaea;p__Crenarchaeota;c__Thermoprotei;o__	0.0
Root;k__Archaea;p__Crenarchaeota;c__pMC2A209;o__	0.0
Root;k__Archaea;p__Euryarchaeota;Other;Other	0.0
Root;k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales	0.0
Root;k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales	0.0
Root;k__Archaea;p__Euryarchaeota;c__Methanomicrobia;Other	0.0
Root;k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanomicrobiales	0.0
Root;k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales	0.0
Root;k__Archaea;p__Euryarchaeota;c__Thermoplasmata;Other	0.0
Root;k__Archaea;p__Euryarchaeota;c__Thermoplasmata;o__E2	0.0
Root;k__Bacteria;Other;Other;Other	0.0616510264403
Root;k__Bacteria;p__ABY1_OD1;c__;o__	0.0
Root;k__Bacteria;p__AC1;c__SHA-114;o__	0.0
Root;k__Bacteria;p__AD3;c__ABS-6;o__	0.0
Root;k__Bacteria;p__AD3;c__JG37-AG-4;o__	0.0
Root;k__Bacteria;p__Acidobacteria;Other;Other	0.0
Root;k__Bacteria;p__Acidobacteria;c__;o__	0.0
Root;k__Bacteria;p__Acidobacteria;c__Acidobacteria;o__Acidobacteriales	2.42275451036e-05
Root;k__Bacteria;p__Acidobacteria;c__Acidobacteria-5;o__	0.0
Root;k__Bacteria;p__Acidobacteria;c__BPC102;o__	0.0
Root;k__Bacteria;p__Acidobacteria;c__Chloracidobacteria;o__	0.0
