Taxon	Mock.even.phasedmiseq
k__Bacteria;Other;Other	0.000666523840129
k__Bacteria;p__Actinobacteria;c__Actinobacteria_(class)	0.0338736937323
k__Bacteria;p__Bacteroidetes;c__Bacteroidia	0.31671189507
k__Bacteria;p__Firmicutes;Other	0.000309457497203
k__Bacteria;p__Firmicutes;c__Bacilli	0.0970268275846
k__Bacteria;p__Firmicutes;c__Clostridia	0.424992263563
k__Bacteria;p__Lentisphaerae;c__Lentisphaerae_(class)	0.000434430717227
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria	0.121325192221
k__Bacteria;p__Tenericutes;c__Erysipelotrichi	0.00255897545764
k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae	0.00210074031755
