#NodeID	NodeType	Abundance	mock	k	p	c	o	f	g
1	otu	3.04397787028e-05	MockHiSeq.even	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Carnobacteriaceae	g__Granulicatella
2	otu	3.80497233785e-05	MockHiSeq.even	k__Bacteria	p__Chlamydiae	c__Chlamydiia	o__Chlamydiales	f__Parachlamydiaceae	g__Parachlamydia
3	otu	0.000517476237948	MockHiSeq.even	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__[Marinicellales]	f__[Marinicellaceae]	g__
4	otu	0.0010958320333	MockHiSeq.even	k__Bacteria	p__Firmicutes	c__Bacilli	o__Turicibacterales	f__Turicibacteraceae	g__Turicibacter
5	otu	0.000152198893514	MockHiSeq.even	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Neisseriales	f__Neisseriaceae	g__Aquitalea
6	otu	0.574175240204	MockHiSeq.even	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium
7	otu	0.00148901250821	MockHiSeq.even	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	Other
8	otu	0.102574444284	MockHiSeq.even	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Aeromonadales	f__Aeromonadaceae	g__
9	otu	2.02931858019e-05	MockHiSeq.even	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Alteromonadales	Other	Other
10	otu	0.00010653922546	MockHiSeq.even	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Christensenellaceae	g__
11	otu	1.21115782447	MockHiSeq.even	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Bifidobacteriales	f__Bifidobacteriaceae	g__Bifidobacterium
12	otu	0.000114149170135	MockHiSeq.even	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Burkholderia
13	otu	0.158451572516	MockHiSeq.even	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacteriales	f__Enterobacteriaceae	g__Edwardsiella
14	otu	0.000344984158632	MockHiSeq.even	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Chromatiales	f__Halothiobacillaceae	g__Halothiobacillus
15	otu	4.3123019829e-05	MockHiSeq.even	k__Bacteria	p__Actinobacteria	Other	Other	Other	Other
16	otu	0.410274947301	MockHiSeq.even	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	g__
17	otu	0.000129369059487	MockHiSeq.even	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	Other	Other	Other
18	otu	5.07329645047e-06	MockHiSeq.even	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__BF311
19	otu	0.00237683938705	MockHiSeq.even	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacteriales	f__Enterobacteriaceae	g__Plesiomonas
20	otu	0.00010653922546	MockHiSeq.even	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Comamonadaceae	g__
21	otu	0.000410937012488	MockHiSeq.even	k__Bacteria	p__Bacteroidetes	c__Flavobacteriia	o__Flavobacteriales	f__[Weeksellaceae]	g__Cloacibacterium
22	otu	0.000126832411262	MockHiSeq.even	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	Other	Other
23	otu	0.000129369059487	MockHiSeq.even	k__Bacteria	p__Verrucomicrobia	c__Verrucomicrobiae	o__Verrucomicrobiales	f__Verrucomicrobiaceae	g__Prosthecobacter
24	otu	0.000958853029141	MockHiSeq.even	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__02d06
25	otu	0.00043123019829	MockHiSeq.even	k__Bacteria	p__Firmicutes	c__Bacilli	Other	Other	Other
