#Sample	OTU	Abundance
blast_100.0	3	8.6246039658e-05
blast_100.0	4	4.05863716037e-05
blast_100.0	6	0.0312083831151
blast_100.0	8	0.0170944723899
blast_100.0	10	1.77565375766e-05
blast_100.0	11	0.0404899789712
blast_100.0	16	0.0468518927201
blast_100.0	20	1.77565375766e-05
blast_100.0	21	1.52198893514e-05
blast_100.0	23	7.6099446757e-06
blast_100.0	24	0.000136979004163
blast_100.0	27	0.000276494656551
blast_100.0	28	0.000766067764021
blast_100.0	30	1.52198893514e-05
blast_100.0	31	5.07329645047e-06
blast_100.0	33	0.0388589141624
blast_100.0	35	0.000152198893514
blast_100.0	36	0.000172492079316
blast_100.0	37	0.00638220693469
blast_100.0	39	1.01465929009e-05
blast_100.0	41	2.79031304776e-05
blast_100.0	42	0.00507836974692
blast_100.0	43	1.01465929009e-05
blast_100.0	47	4.3123019829e-05
blast_100.0	48	0.0236136583287
blast_100.0	52	1.01465929009e-05
blast_100.0	54	0.000388107178461
blast_100.0	55	1.26832411262e-05
blast_100.0	57	2.79031304776e-05
blast_100.0	58	0.00010653922546
blast_100.0	59	1.01465929009e-05
blast_100.0	60	0.00589263382722
blast_100.0	62	1.52198893514e-05
blast_100.0	65	1.26832411262e-05
blast_100.0	67	5.07329645047e-06
blast_100.0	68	7.10261503066e-05
blast_100.0	71	2.28298340271e-05
blast_100.0	76	1.01465929009e-05
blast_100.0	84	1.26832411262e-05
blast_100.0	86	9.63926325589e-05
blast_100.0	90	0.0855154849691
blast_100.0	93	0.317471671981
blast_100.0	95	0.0279665466832
blast_100.0	98	0.0144005519747
blast_100.0	99	0.000319617676379
blast_100.0	102	3.80497233785e-05
blast_100.0	104	5.07329645047e-06
blast_100.0	105	0.018943688946
blast_100.0	107	0.000448986735866
blast_100.0	109	5.07329645047e-06
blast_100.0	120	4.3123019829e-05
blast_100.0	121	0.104474393804
blast_100.0	123	0.00174775062719
blast_100.0	125	1.52198893514e-05
blast_100.0	129	1.26832411262e-05
blast_100.0	130	5.07329645047e-06
blast_100.0	133	0.081606510054
blast_100.0	135	0.00385316865413
blast_100.0	137	4.05863716037e-05
blast_100.0	138	5.07329645047e-06
blast_100.0	139	0.00473845888474
blast_100.0	141	2.79031304776e-05
blast_100.0	143	5.07329645047e-06
blast_100.0	146	5.07329645047e-06
blast_100.0	147	9.63926325589e-05
blast_100.0	148	0.00532442462477
blast_100.0	154	5.07329645047e-06
blast_100.0	155	7.6099446757e-06
blast_100.0	156	0.000279031304776
blast_100.0	157	5.32696127299e-05
blast_100.0	158	0.0226091456315
blast_100.0	161	7.6099446757e-06
blast_100.0	163	0.0648646317675
blast_100.0	169	2.53664822523e-05
blast_100.0	170	0.0218735176462
blast_100.0	173	2.79031304776e-05
blast_100.0	175	0.00505807656112
blast_0.0001	3	8.6246039658e-05
blast_0.0001	4	4.05863716037e-05
blast_0.0001	6	0.0312083831151
blast_0.0001	8	0.0170944723899
blast_0.0001	10	1.77565375766e-05
blast_0.0001	11	0.0404899789712
blast_0.0001	16	0.0468518927201
blast_0.0001	20	1.77565375766e-05
