#NodeID	NodeType	Abundance	Color	Size	Shape
blast_1.0	sample	2.99464876908	blast	2.99464876908	blast_1.0
rtax_single	sample	3.0	rtax	3.0	rtax_single
rdp_0.6	sample	3.0	rdp	3.0	rdp_0.6
rdp_0.7	sample	3.0	rdp	3.0	rdp_0.7
rdp_0.4	sample	3.0	rdp	3.0	rdp_0.4
rdp_0.5	sample	3.0	rdp	3.0	rdp_0.5
rdp_0.2	sample	3.0	rdp	3.0	rdp_0.2
rdp_0.3	sample	3.0	rdp	3.0	rdp_0.3
rdp_0.0	sample	3.0	rdp	3.0	rdp_0.0
rdp_0.1	sample	3.0	rdp	3.0	rdp_0.1
Expected	sample	2.9547	Expected	2.9547	Expected
blast_1e-06	sample	2.99464876908	blast	2.99464876908	blast_1e-06
rdp_0.8	sample	3.0	rdp	3.0	rdp_0.8
rdp_0.9	sample	3.0	rdp	3.0	rdp_0.9
mothur_1.0	sample	3.0	mothur	3.0	mothur_1.0
rtax_paired	sample	3.0	rtax	3.0	rtax_paired
blast_1e-30	sample	2.96403383834	blast	2.96403383834	blast_1e-30
blast_100.0	sample	2.99464876908	blast	2.99464876908	blast_100.0
blast_1e-10	sample	2.99436652039	blast	2.99436652039	blast_1e-10
blast_0.0001	sample	2.99464876908	blast	2.99464876908	blast_0.0001
rdp_1.0	sample	3.0	rdp	3.0	rdp_1.0
mothur_0.8	sample	3.0	mothur	3.0	mothur_0.8
mothur_0.9	sample	3.0	mothur	3.0	mothur_0.9
mothur_0.4	sample	3.0	mothur	3.0	mothur_0.4
mothur_0.5	sample	3.0	mothur	3.0	mothur_0.5
mothur_0.6	sample	3.0	mothur	3.0	mothur_0.6
mothur_0.7	sample	3.0	mothur	3.0	mothur_0.7
mothur_0.0	sample	3.0	mothur	3.0	mothur_0.0
mothur_0.1	sample	3.0	mothur	3.0	mothur_0.1
mothur_0.2	sample	3.0	mothur	3.0	mothur_0.2
mothur_0.3	sample	3.0	mothur	3.0	mothur_0.3
643	otu	0.000631899208176	p__Proteobacteria	0.000631899208176	f__Comamonadaceae_Other
592	otu	0.000187229395015	p__Proteobacteria	0.000187229395015	f__OM60_g__Congregibacter
344	otu	0.0	p__Proteobacteria	0.0	f__Sinobacteraceae_Other
345	otu	1.56024495846e-05	p__Proteobacteria	1.56024495846e-05	f__Alteromonadaceae_g__ND137
346	otu	0.000514880836292	p__Proteobacteria	0.000514880836292	Other_Other
347	otu	9.36146975076e-05	p__Proteobacteria	9.36146975076e-05	f__Comamonadaceae_g__Hydrogenophaga
340	otu	0.0	p__Planctomycetes	0.0	f___g__
341	otu	0.13125560713	p__Firmicutes	0.13125560713	Other_Other
342	otu	0.00220774661622	p__Proteobacteria	0.00220774661622	f__Xanthomonadaceae_g__Luteimonas
343	otu	0.0	p__Proteobacteria	0.0	f___g__
348	otu	0.0002028318446	p__Actinobacteria	0.0002028318446	f___g__
349	otu	0.00131060576511	p__Tenericutes	0.00131060576511	f___g__
594	otu	4.68073487538e-05	p__Proteobacteria	4.68073487538e-05	f__Pasteurellaceae_g__Bibersteinia
