	Dataset	Level	SampleID	Reference	Method	Parameters	Precision	Recall	F-measure	Taxon Accuracy Rate	Taxon Detection Rate
0	mock-12	2	Extreme.1	gg_13_8_otus_amplicon	naive-bayes	False:0.0	0.5852384926948936	0.9999668870769396	0.7383511577811407	0.3333333333333333	1.0
1	mock-12	3	Extreme.1	gg_13_8_otus_amplicon	naive-bayes	False:0.0	0.5852384926948936	0.9999668870769396	0.7383511577811407	0.3333333333333333	1.0
2	mock-12	4	Extreme.1	gg_13_8_otus_amplicon	naive-bayes	False:0.0	0.5852384926948936	0.9999668870769396	0.7383511577811407	0.35	0.7777777777777778
3	mock-12	5	Extreme.1	gg_13_8_otus_amplicon	naive-bayes	False:0.0	0.4455536851643824	0.7612946467821661	0.5621213973467779	0.20689655172413796	0.42857142857142855
4	mock-12	6	Extreme.1	gg_13_8_otus_amplicon	naive-bayes	False:0.0	0.4455336373034558	0.7612603920341725	0.5620961044764166	0.2894736842105263	0.5238095238095238
5	mock-12	2	Extreme.1	gg_13_8_otus_amplicon	naive-bayes	False:0.1	0.5852384926948936	0.9999668870769396	0.7383511577811407	0.3333333333333333	1.0
6	mock-12	3	Extreme.1	gg_13_8_otus_amplicon	naive-bayes	False:0.1	0.5852384926948936	0.9999668870769396	0.7383511577811407	0.3333333333333333	1.0
7	mock-12	4	Extreme.1	gg_13_8_otus_amplicon	naive-bayes	False:0.1	0.5852384926948936	0.9999668870769396	0.7383511577811407	0.35	0.7777777777777778
8	mock-12	5	Extreme.1	gg_13_8_otus_amplicon	naive-bayes	False:0.1	0.4455536851643824	0.7612946467821661	0.5621213973467779	0.20689655172413796	0.42857142857142855
9	mock-12	6	Extreme.1	gg_13_8_otus_amplicon	naive-bayes	False:0.1	0.4455336373034558	0.7612603920341725	0.5620961044764166	0.2894736842105263	0.5238095238095238
10	mock-12	2	Extreme.1	gg_13_8_otus_amplicon	naive-bayes	False:0.2	0.5852384926948936	0.9999668870769396	0.7383511577811407	0.3333333333333333	1.0
11	mock-12	3	Extreme.1	gg_13_8_otus_amplicon	naive-bayes	False:0.2	0.5852384926948936	0.9999668870769396	0.7383511577811407	0.3333333333333333	1.0
12	mock-12	4	Extreme.1	gg_13_8_otus_amplicon	naive-bayes	False:0.2	0.5852384926948936	0.9999668870769396	0.7383511577811407	0.35	0.7777777777777778
13	mock-12	5	Extreme.1	gg_13_8_otus_amplicon	naive-bayes	False:0.2	0.4455536851643824	0.7612946467821661	0.5621213973467779	0.20689655172413796	0.42857142857142855
14	mock-12	6	Extreme.1	gg_13_8_otus_amplicon	naive-bayes	False:0.2	0.4455336373034558	0.7612603920341725	0.5620961044764166	0.2894736842105263	0.5238095238095238
15	mock-12	2	Extreme.1	gg_13_8_otus_amplicon	naive-bayes	False:0.3	0.5852384926948936	0.9999668870769396	0.7383511577811407	0.3333333333333333	1.0
16	mock-12	3	Extreme.1	gg_13_8_otus_amplicon	naive-bayes	False:0.3	0.5852384926948936	0.9999668870769396	0.7383511577811407	0.3333333333333333	1.0
17	mock-12	4	Extreme.1	gg_13_8_otus_amplicon	naive-bayes	False:0.3	0.5852384926948936	0.9999668870769396	0.7383511577811407	0.35	0.7777777777777778
18	mock-12	5	Extreme.1	gg_13_8_otus_amplicon	naive-bayes	False:0.3	0.44555576940040575	0.7612946467821661	0.5621230560790962	0.20689655172413796	0.42857142857142855
19	mock-12	6	Extreme.1	gg_13_8_otus_amplicon	naive-bayes	False:0.3	0.4455357214456981	0.7612603920341725	0.5620977631340993	0.2894736842105263	0.5238095238095238
20	mock-12	2	Extreme.1	gg_13_8_otus_amplicon	naive-bayes	False:0.4	0.5852384926948936	0.9999668870769396	0.7383511577811407	0.3333333333333333	1.0
