	Dataset	Level	SampleID	Reference	Method	Parameters	Precision	Recall	F-measure	Pearson r	Pearson p	Spearman r	Spearman p	best N alignments	confidence	coverage	e value	max accepts	min consensus fraction	similarity
0	mock-1	2	MockHiSeq.even	gg_13_8_otus	rdp	0.0	0.6666666666666666	1.0	0.8	0.7348134668460391	0.0064828995012916205	0.7435371688639433	0.005573570986881261		[0.0, '.', 0.0]					
1	mock-1	3	MockHiSeq.even	gg_13_8_otus	rdp	0.0	0.5333333333333333	1.0	0.6956521739130436	0.6883755979993877	0.004548357538612141	0.7289614345931241	0.0020481261728295093		[0.0, '.', 0.0]					
2	mock-1	4	MockHiSeq.even	gg_13_8_otus	rdp	0.0	0.5217391304347826	0.9230769230769231	0.6666666666666667	0.49812403415448575	0.013241231110663308	0.6652042999390447	0.00038995689974371476		[0.0, '.', 0.0]					
3	mock-1	5	MockHiSeq.even	gg_13_8_otus	rdp	0.0	0.5555555555555556	0.8	0.6557377049180328	0.2797604670706555	0.076476579767399	0.28956965739679813	0.06630224361572133		[0.0, '.', 0.0]					
4	mock-1	6	MockHiSeq.even	gg_13_8_otus	rdp	0.0	0.3125	0.42857142857142855	0.3614457831325301	-0.07350990448700911	0.5513444897076197	-0.3453315538653193	0.003924356368819596		[0.0, '.', 0.0]					
325	mock-10	2	Mock.1	unite_20.11.2016	rdp	0.0	0.75	1.0	0.8571428571428571	0.7622384563625363	0.2377615436374638	0.632455532033676	0.367544467966324		[0.0, '.', 0.0]					
326	mock-10	2	Mock.2	unite_20.11.2016	rdp	0.0	0.75	1.0	0.8571428571428571	0.793955701129968	0.206044298870032	0.9486832980505139	0.051316701949486114		[0.0, '.', 0.0]					
327	mock-10	2	Mock.3	unite_20.11.2016	rdp	0.0	0.75	1.0	0.8571428571428571	0.7255648095667738	0.2744351904332263	0.632455532033676	0.367544467966324		[0.0, '.', 0.0]					
328	mock-10	3	Mock.1	unite_20.11.2016	rdp	0.0	0.8	1.0	0.888888888888889	0.4155539837356587	0.4865492188473486	0.44721359549995787	0.45018485575210093		[0.0, '.', 0.0]					
329	mock-10	3	Mock.2	unite_20.11.2016	rdp	0.0	0.8	1.0	0.888888888888889	0.45865762757923106	0.4371942967224358	0.44721359549995787	0.45018485575210093		[0.0, '.', 0.0]					
330	mock-10	3	Mock.3	unite_20.11.2016	rdp	0.0	0.8	1.0	0.888888888888889	0.3970349632913057	0.5080940407134815	0.6708203932499368	0.21516994256955005		[0.0, '.', 0.0]					
331	mock-10	4	Mock.1	unite_20.11.2016	rdp	0.0	0.875	1.0	0.9333333333333333	0.45234621281228127	0.26044597349175697	0.600099198148979	0.11576382999147901		[0.0, '.', 0.0]					
332	mock-10	4	Mock.2	unite_20.11.2016	rdp	0.0	0.875	1.0	0.9333333333333333	0.3754839434198852	0.3593422041129819	0.4637130167514838	0.2471378171839996		[0.0, '.', 0.0]					
333	mock-10	4	Mock.3	unite_20.11.2016	rdp	0.0	0.875	1.0	0.9333333333333333	0.29692793548307983	0.47511834139156656	0.5455447255899809	0.16193822846628417		[0.0, '.', 0.0]					
334	mock-10	5	Mock.1	unite_20.11.2016	rdp	0.0	0.5454545454545454	0.6666666666666666	0.6	0.4596013743670025	0.09825273501147781	0.3797447483072376	0.18049580968987664		[0.0, '.', 0.0]					
335	mock-10	5	Mock.2	unite_20.11.2016	rdp	0.0	0.5454545454545454	0.6666666666666666	0.6	0.3933386730208259	0.16411090382736035	0.2975070321133135	0.301596050241368		[0.0, '.', 0.0]					
336	mock-10	5	Mock.3	unite_20.11.2016	rdp	0.0	0.5454545454545454	0.6666666666666666	0.6	0.35072810678779404	0.2188913149822301	0.26848195580957557	0.3533511025712063		[0.0, '.', 0.0]					
337	mock-10	6	Mock.1	unite_20.11.2016	rdp	0.0	0.16666666666666666	0.16666666666666666	0.16666666666666666	0.016502948083042708	0.941892068335764	-0.5097732486428586	0.015368016171250788		[0.0, '.', 0.0]					
338	mock-10	6	Mock.2	unite_20.11.2016	rdp	0.0	0.16666666666666666	0.16666666666666666	0.16666666666666666	-0.01925868839869373	0.9322089648368973	-0.5531582059741657	0.007578555296190598		[0.0, '.', 0.0]					
339	mock-10	6	Mock.3	unite_20.11.2016	rdp	0.0	0.16666666666666666	0.16666666666666666	0.16666666666666666	-0.048920486322520246	0.8288377290848139	-0.5531582059741657	0.007578555296190598		[0.0, '.', 0.0]					
1300	mock-12	2	Extreme.1	gg_13_8_otus	rdp	0.0	0.3	1.0	0.4615384615384615	0.6944747873409405	0.02584636508848779	0.812776759390954	0.004259472986524341		[0.0, '.', 0.0]					
1301	mock-12	3	Extreme.1	gg_13_8_otus	rdp	0.0	0.2727272727272727	1.0	0.42857142857142855	0.6983713655734057	0.016833001571037943	0.7862453931068967	0.004107170978877596		[0.0, '.', 0.0]					
1302	mock-12	4	Extreme.1	gg_13_8_otus	rdp	0.0	0.4	0.8888888888888888	0.5517241379310346	0.4330931269497141	0.04986152482419779	0.31729892118467873	0.16105332136048653		[0.0, '.', 0.0]					
1303	mock-12	5	Extreme.1	gg_13_8_otus	rdp	0.0	0.3235294117647059	0.7857142857142857	0.45833333333333326	0.3935780698889525	0.01595070136045299	0.17364635046658192	0.3040292961251597		[0.0, '.', 0.0]					
1304	mock-12	6	Extreme.1	gg_13_8_otus	rdp	0.0	0.24489795918367346	0.5714285714285714	0.3428571428571428	0.15707467756607146	0.2389837053805176	-0.20353471938847664	0.12541854238812478		[0.0, '.', 0.0]					
1625	mock-13	2	mock.1	gg_13_8_otus_full16S	rdp	0.0	0.4090909090909091	0.9	0.5625000000000001	0.6497994357750517	0.0007910885129086308	0.6991282607391939	0.00020580637732644895		[0.0, '.', 0.0]					
1626	mock-13	3	mock.1	gg_13_8_otus_full16S	rdp	0.0	0.3142857142857143	0.9166666666666666	0.4680851063829787	0.7429175046913349	2.1168213342082244e-07	0.6833926944640294	4.359940961216247e-06		[0.0, '.', 0.0]					
1627	mock-13	4	mock.1	gg_13_8_otus_full16S	rdp	0.0	0.3148148148148148	0.9444444444444444	0.4722222222222222	0.7406810308992333	1.0174451269141044e-10	0.7127175089565114	1.0359805835420441e-09		[0.0, '.', 0.0]					
1628	mock-13	5	mock.1	gg_13_8_otus_full16S	rdp	0.0	0.2361111111111111	0.9444444444444444	0.37777777777777777	0.7510903498047435	1.9567737732974716e-14	0.6521974434096839	4.085170795168474e-10		[0.0, '.', 0.0]					
1629	mock-13	6	mock.1	gg_13_8_otus_full16S	rdp	0.0	0.10989010989010989	0.5	0.18018018018018017	0.2165359836973744	0.02963414334247131	-0.05207083104190843	0.6050565569913264		[0.0, '.', 0.0]					
1950	mock-14	2	mock.1	gg_13_8_otus_full16S	rdp	0.0	0.4090909090909091	0.9	0.5625000000000001	0.6437125279010405	0.0009190892821340758	0.7047938058019102	0.00017336674700757512		[0.0, '.', 0.0]					
1951	mock-14	3	mock.1	gg_13_8_otus_full16S	rdp	0.0	0.34375	0.9166666666666666	0.5	0.7048386911446807	4.668685314912324e-06	0.7012764641115016	5.46805535580063e-06		[0.0, '.', 0.0]					
1952	mock-14	4	mock.1	gg_13_8_otus_full16S	rdp	0.0	0.2698412698412698	0.9444444444444444	0.41975308641975306	0.723603432860932	1.4308265227898245e-11	0.6830095411398112	5.04929915446277e-10		[0.0, '.', 0.0]					
1953	mock-14	5	mock.1	gg_13_8_otus_full16S	rdp	0.0	0.19318181818181818	0.9444444444444444	0.3207547169811321	0.7476136626117789	3.8879856374243476e-17	0.6092587025143026	2.3638906383433886e-10		[0.0, '.', 0.0]					
1954	mock-14	6	mock.1	gg_13_8_otus_full16S	rdp	0.0	0.09090909090909091	0.5	0.15384615384615385	0.22872586617468368	0.011979621545413807	-0.04404592298977779	0.6328775791349415		[0.0, '.', 0.0]					
2275	mock-15	2	mock.1	gg_13_8_otus_full16S	rdp	0.0	0.4090909090909091	0.9	0.5625000000000001	0.6264233237019813	0.0013836736748805193	0.7046196751492707	0.0001742932302196249		[0.0, '.', 0.0]					
2276	mock-15	3	mock.1	gg_13_8_otus_full16S	rdp	0.0	0.2894736842105263	0.9166666666666666	0.43999999999999995	0.6680018812199872	3.3795982458406693e-06	0.6696401790531662	3.133647695989483e-06		[0.0, '.', 0.0]					
2277	mock-15	4	mock.1	gg_13_8_otus_full16S	rdp	0.0	0.25757575757575757	0.9444444444444444	0.4047619047619047	0.714155688560317	1.1610189137145819e-11	0.6771813486165403	3.1315723723775534e-10		[0.0, '.', 0.0]					
2278	mock-15	5	mock.1	gg_13_8_otus_full16S	rdp	0.0	0.18085106382978725	0.9444444444444444	0.30357142857142855	0.7438066273367574	5.882096817998365e-18	0.5974845422887598	1.6387572902494396e-10		[0.0, '.', 0.0]					
2279	mock-15	6	mock.1	gg_13_8_otus_full16S	rdp	0.0	0.08695652173913043	0.5	0.14814814814814817	0.22906127506414722	0.010184146979363906	-0.06927843718179214	0.4426665976699078		[0.0, '.', 0.0]					
2600	mock-16	2	mock.1	gg_13_8_otus	rdp	0.0	0.8928571428571429	0.9615384615384616	0.9259259259259259	0.28951506487128825	0.12767272221022527	0.3592915585629741	0.0555933137450286		[0.0, '.', 0.0]					
