	Dataset	SampleID	Reference	Method	Parameters	Precision	Recall	F-measure	Pearson r	Pearson p	Spearman r	Spearman p	best N alignments	confidence	coverage	e value	max accepts	min consensus fraction	similarity
0	mock-1	MockHiSeq.even	gg_13_8_otus	rdp	0.0	0.25	0.36363636363636365	0.2962962962962963	-0.21444788769829687	0.05454757152134739	-0.8491894138626064	1.3017275348424648e-23		[0.0, '.', 0.0]					
65	mock-10	Mock.1	unite_20.11.2016	rdp	0.0	0.16666666666666666	0.16666666666666666	0.16666666666666666	0.04881717246640095	0.8291940501891762	-0.5538155538125187	0.007492435809699826		[0.0, '.', 0.0]					
66	mock-10	Mock.2	unite_20.11.2016	rdp	0.0	0.16666666666666666	0.16666666666666666	0.16666666666666666	-0.08082496994885037	0.7206729584180718	-0.5755080324781724	0.005071289832725561		[0.0, '.', 0.0]					
67	mock-10	Mock.3	unite_20.11.2016	rdp	0.0	0.16666666666666666	0.16666666666666666	0.16666666666666666	-0.1156921043207277	0.6081639900737347	-0.5886549892452351	0.003950948369128925		[0.0, '.', 0.0]					
260	mock-2	MockMiSeq.even	gg_13_8_otus	rdp	0.0	0.26666666666666666	0.36363636363636365	0.30769230769230765	-0.25615151684083876	0.02359541737316918	-0.8542404193705228	2.722735555722554e-23		[0.0, '.', 0.0]					
325	mock-3	HMPMockV1.1.Even1	gg_13_8_otus	rdp	0.0	0.21052631578947367	0.2	0.20512820512820512	-0.27977997687944783	0.08452440598095773	-0.9003063693837767	6.187739483608166e-15		[0.0, '.', 0.0]					
326	mock-3	HMPMockV1.1.Even2	gg_13_8_otus	rdp	0.0	0.23809523809523808	0.25	0.24390243902439024	-0.24407148310107876	0.12408485095668495	-0.894749146722136	3.1259304698048143e-15		[0.0, '.', 0.0]					
327	mock-3	HMPMockV1.2.Staggered1	gg_13_8_otus	rdp	0.0	0.3076923076923077	0.2	0.24242424242424246	-0.11752418340323352	0.5148163773976928	-0.8426660435819805	7.709866309738252e-10		[0.0, '.', 0.0]					
328	mock-3	HMPMockV1.2.Staggered2	gg_13_8_otus	rdp	0.0	0.21428571428571427	0.15	0.1764705882352941	-0.11036629430382422	0.5343547202284039	-0.8481980731426231	2.404551103792653e-10		[0.0, '.', 0.0]					
585	mock-3	HMPMockV1.1.Even1	gg_13_8_otus_trim150	rdp	0.0	0.2631578947368421	0.25	0.25641025641025644	0.013505071360455884	0.9395740294785488	-0.6533216879547433	2.802827525978563e-05		[0.0, '.', 0.0]					
586	mock-3	HMPMockV1.1.Even2	gg_13_8_otus_trim150	rdp	0.0	0.2857142857142857	0.3	0.2926829268292683	0.04641726339600674	0.7911806090798573	-0.609904123030017	0.00010038816672914898		[0.0, '.', 0.0]					
587	mock-3	HMPMockV1.2.Staggered1	gg_13_8_otus_trim150	rdp	0.0	0.38461538461538464	0.25	0.30303030303030304	0.4364633856734631	0.02022887564739297	-0.25726850233583975	0.18628591643330042		[0.0, '.', 0.0]					
