Taxon	EUK.Mock.1
Root;k__Eukaryota;p__Environmental_samples;c__Uncultured_eukaryote;g__Environmental_samples	0.0118249122774
Root;k__Eukaryota;p__Fungi;c__Chytridiomycota;g__Batrachochytrium	0.0156724772109
Root;k__Eukaryota;p__Fungi;c__Dikarya;Other	0.134062708723
Root;k__Eukaryota;p__Fungi;c__Dikarya;g__Ajellomyces	2.82217476788e-05
Root;k__Eukaryota;p__Fungi;c__Dikarya;g__Candida	6.58507445838e-05
Root;k__Eukaryota;p__Fungi;c__Dikarya;g__Clavispora	0.0170365283487
Root;k__Eukaryota;p__Fungi;c__Dikarya;g__Coccidioides	0.000545620455123
Root;k__Eukaryota;p__Fungi;c__Dikarya;g__Filobasidiella/cryptococcus_neoformans_species_complex	0.000310439224466
Root;k__Eukaryota;p__Fungi;c__Dikarya;g__Papiliotrema	3.7628996905e-05
Root;k__Eukaryota;p__Fungi;c__Dikarya;g__Rhodotorula	3.7628996905e-05
Root;k__Eukaryota;p__Fungi;c__Dikarya;g__Saccharomyces	0.247401247401
Root;k__Eukaryota;p__Fungi;c__Dikarya;g__Tremella	7.525799381e-05
Root;k__Eukaryota;p__Fungi;c__Dikarya;g__Trichophyton	0.000169330486073
Root;k__Eukaryota;p__Fungi;c__Dikarya;g__Vanderwaltozyma	1.88144984525e-05
Root;k__Eukaryota;p__Fungi;c__Dikarya;g__Zygosaccharomyces	0.00144871638084
Root;k__Eukaryota;p__Fungi;c__Fungi_incertae_sedis;g__Rhizopus	0.205755355077
Root;k__Eukaryota;p__Metazoa;c__Chordata;Other	0.00760105737481
Root;k__Eukaryota;p__Metazoa;c__Chordata;g__Equus	0.000395104467503
Root;k__Eukaryota;p__Metazoa;c__Chordata;g__Homo	0.000846652430363
Root;k__Eukaryota;p__Metazoa;c__Chordata;g__Monodelphis	3.7628996905e-05
Root;k__Eukaryota;p__Viridiplantae;c__Streptophyta;g__Oryza	0.000865466928815
Root;k__Eukaryota;p__Viridiplantae;c__Streptophyta;g__Solanum	1.88144984525e-05
Unassigned;Other;Other;Other;Other	0.35574453674
