id	taxonomy
e4ba0c5f6faa5603a3fd9864c74b9c6a	other
c78d04a72913f63c39d9acc4784a9c32	other
de6fbc09238ebf79cc946a59886540a5	k__Bacteria; p__Firmicutes; c__Erysipelotrichi; o__Erysipelotrichales; f__Erysipelotrichaceae; g__[Eubacterium]; s__biforme
233710b586fd6018adaa617c73ef9470	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Bifidobacteriales; f__Bifidobacteriaceae; g__Bifidobacterium; s__bifidum
374cc1e99575d9458ae00a49098705e3	other
b1db5c9ac20466711e0a4f822344c0be	other
5cf7a981fa56343ce6cc69cb0508179e	other
f14677bcbc79b5f4afa9de8aba20ae29	other
7a0047502b6036ea9b2b051d8d8abc49	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Roseburia; s__
ac33370cda96ee5272a29682c1d9b992	other
b64fb900273bc7470be11b73e1a45bd7	other
67c56b14d5b0729c38834fa264f3db12	other
fcfd2fc467a1c694014adc61c8fe0115	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Bifidobacteriales; f__Bifidobacteriaceae; g__Bifidobacterium; s__bifidum
c60f96cb55544a94afb9c1579138434c	other
e6acb2b2b9c86da298a1b13aaaf42bc6	other
b2f7bd12ad96fb155abaed142a61d0be	other
d6b2e1751aaf2e39587f9b501bfc2610	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__uniformis
0f2d311381a48cc00eb7e95959a19387	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__ovatus
361c8ef599dad4ef9a4aabbaf86c3055	other
6ba7f11030b55866b1d2e3bcd871a788	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__eggerthii
e4e5f8936126f01baa9c7ca2b24b866d	other
fe07a3d4d3115adbefabb2c779200552	k__Bacteria; p__Verrucomicrobia; c__Verrucomicrobiae; o__Verrucomicrobiales; f__Verrucomicrobiaceae; g__Akkermansia; s__muciniphila
42225f360c8cd61fda2da09371b8140c	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__Edwardsiella; s__
51ea89cacc9a5bb9774f1fa41b262452	other
7db1817b2040080b58a1a9b4c7bd9c10	other
569cf498e9fd1ef4cd5138ea717516d7	other
a81d35ecbebc06d41a9c0f512df39e3c	k__Bacteria; p__Verrucomicrobia; c__Verrucomicrobiae; o__Verrucomicrobiales; f__Verrucomicrobiaceae; g__Akkermansia; s__muciniphila
dc72a92c1049a90717cacd197f966aad	other
ec0034ebee5c0c1f14a758b15c595717	other
7de8f2d334d87defab5bbdd19bd42111	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae; g__Alistipes; s__indistinctus
e5a41136373411569008d12c6f296726	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Ruminococcus; s__lactaris
954394ea3285bf4caeade0f71f081dcd	other
6247c98849d2f2864133fe9371a9a71c	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Faecalibacterium; s__prausnitzii
6837e9c13695169a751dfa6b4cd7aefe	other
c9127c08726c23f9a109676a6b1b3326	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__[Ruminococcus]; s__torques
7b31b62c5c0f494b93e9b79336ad9e26	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Subdoligranulum; s__variabile
4c164ca916ff87ed8ae30a1c47a16413	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__ovatus
bf8c00a77905975f57ccd6e4c1376324	other
991001919b92e5e87fe490ce7b2a513f	k__Bacteria; p__Verrucomicrobia; c__Verrucomicrobiae; o__Verrucomicrobiales; f__Verrucomicrobiaceae; g__Akkermansia; s__muciniphila
58f36fe6ffe4f713f5b33663adbad70b	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Anaerotruncus; s__
b34e721572bc5b141f03bb818da8d49e	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Dorea; s__longicatena
c06a769d3868cc10c215d9fb5fd3a215	other
fc1a0da5852ea67928158be959c9e57a	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Clostridium; s__hathewayi
3079c822c58713cf38bb9577db2684c5	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__Proteus; s__
1b71d1483b3e56eb14b1ca81b8e78469	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__Escherichia; s__coli
e6638c11ac9c25df66fe52d525f02849	other
9ed522c01a03b6cc904e61e8079d5549	other
512bf29dfb66e7d8efa560a135366c23	other
3352f43e29849664c31c9afc46f4e3a5	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__Enterobacter; s__cancerogenus
b1d06c851a3938e7a6aafa9fa865a2ff	other
ef917e02c17f23ab6c33e39226bad50e	other
f401596feaf31328caf1db2cac3fff5a	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__[Ruminococcus]; s__torques
fbf3d77ec3a53406bc6d0883b53ff1ca	other
ef2d819264fcf190b2ac2ce790cc6e08	other
f571016e70e05cf54d492018f29c4b74	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Dorea; s__formicigenerans
6f1e8b2a81445bac4bfac63151040b65	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Porphyromonadaceae; g__Parabacteroides; s__
a58eda516ec76617bae88555d8eb336d	other
761674a283aa0a8a1768657e22f3766f	other
9d881f5dca06a636e9a17885f2a2101f	other
