Taxon	blast_100.0	blast_0.0001	blast_1e-06	blast_1.0	blast_1e-10	blast_1e-30	mothur_0.0	mothur_0.1	mothur_0.2	mothur_0.3	mothur_0.4	mothur_0.5	mothur_0.6	mothur_0.7	mothur_0.8	mothur_0.9	mothur_1.0	rdp_0.0	rdp_0.1	rdp_0.2	rdp_0.3	rdp_0.4	rdp_0.5	rdp_0.6	rdp_0.7	rdp_0.8	rdp_0.9	rdp_1.0	rtax_single	rtax_paired	Expected
g__Granulicatella	0.000337394512361	0.000337394512361	0.000337394512361	0.000337394512361	0.000337394512361	0.000337394512361	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.76552878985e-05	4.56312250325e-05	0	
g__	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	
Other	0	0	0	0	0	0	0	0	1.38276439492e-06	1.38276439492e-06	5.53105757969e-06	0.0	8.29658636954e-06	8.29658636954e-06	4.14829318477e-06	2.07414659238e-05	1.93587015289e-05	0	0	0	1.38276439492e-06	0.0	4.14829318477e-06	5.53105757969e-06	9.67935076446e-06	5.53105757969e-06	6.91382197462e-06	2.21242303188e-05	0	0	0	
g__	0	0	0	0	0	0	2.76552878985e-06	2.76552878985e-06	0	0	0	0	0	0	0	0	0	2.76552878985e-06	2.76552878985e-06	0	0	0	0	0	0	0	0	0	0	0	0	
Other	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	
g__Hydrogenophaga	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	
g__Piscirickettsia	0	0	0	0	0	0	1.38276439492e-06	1.38276439492e-06	0.0	0	0	0	0	0	0	0	0	1.38276439492e-06	1.38276439492e-06	1.38276439492e-06	0	0	0	0	0	0	0	0	0	0	0	
g__Burkholderia	0	0	0	0	0	0	1.38276439492e-06	0.0	0.0	0.0	0	0	0	0	0	0	0	1.38276439492e-06	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	
g__Maricaulis	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
g__	2.35069947137e-05	2.35069947137e-05	2.35069947137e-05	2.35069947137e-05	2.35069947137e-05	2.35069947137e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.93587015289e-05	2.07414659238e-05	0	
g__	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Other	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.38276439492e-06	0	0	0	0	0	0	0	0.0	0	0	0	
Other	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	
g__	0	0	0	0	0	0	8.29658636954e-06	6.91382197462e-06	4.14829318477e-06	2.76552878985e-06	0	0	0	0	0	0	0	8.29658636954e-06	6.91382197462e-06	5.53105757969e-06	0	0	0	0	0	0	0	0	0	0	0	
