	blast_100.0	blast_0.0001	blast_1e-06	blast_1.0	blast_1e-10	blast_1e-30	mothur_0.0	mothur_0.1	mothur_0.2	mothur_0.3	mothur_0.4	mothur_0.5	mothur_0.6	mothur_0.7	mothur_0.8	mothur_0.9	mothur_1.0	rdp_0.0	rdp_0.1	rdp_0.2	rdp_0.3	rdp_0.4	rdp_0.5	rdp_0.6	rdp_0.7	rdp_0.8	rdp_0.9	rdp_1.0	rtax_single	rtax_paired	Expected
blast_100.0	0.0	0.0	0.0	0.0	6.73024504822e-07	0.000124805651741	0.0367636263613	0.0368506357893	0.0369851892692	0.0374927407084	0.0392912740728	0.04035383139	0.0421314083762	0.0437234446212	0.0463180486018	0.0985018297408	0.206489980302	0.0367633487378	0.0367842194276	0.0369703775	0.0374893847907	0.0379775486076	0.0404722296707	0.0421065755506	0.0438172568245	0.0473554261976	0.102668275307	0.719413133677	0.0266180744233	0.10741551825	0.713019110944
blast_0.0001	0.0	0.0	0.0	0.0	6.73024504822e-07	0.000124805651741	0.0367636263613	0.0368506357893	0.0369851892692	0.0374927407084	0.0392912740728	0.04035383139	0.0421314083762	0.0437234446212	0.0463180486018	0.0985018297408	0.206489980302	0.0367633487378	0.0367842194276	0.0369703775	0.0374893847907	0.0379775486076	0.0404722296707	0.0421065755506	0.0438172568245	0.0473554261976	0.102668275307	0.719413133677	0.0266180744233	0.10741551825	0.713019110944
blast_1e-06	0.0	0.0	0.0	0.0	6.73024504822e-07	0.000124805651741	0.0367636263613	0.0368506357893	0.0369851892692	0.0374927407084	0.0392912740728	0.04035383139	0.0421314083762	0.0437234446212	0.0463180486018	0.0985018297408	0.206489980302	0.0367633487378	0.0367842194276	0.0369703775	0.0374893847907	0.0379775486076	0.0404722296707	0.0421065755506	0.0438172568245	0.0473554261976	0.102668275307	0.719413133677	0.0266180744233	0.10741551825	0.713019110944
blast_1.0	0.0	0.0	0.0	0.0	6.73024504822e-07	0.000124805651741	0.0367636263613	0.0368506357893	0.0369851892692	0.0374927407084	0.0392912740728	0.04035383139	0.0421314083762	0.0437234446212	0.0463180486018	0.0985018297408	0.206489980302	0.0367633487378	0.0367842194276	0.0369703775	0.0374893847907	0.0379775486076	0.0404722296707	0.0421065755506	0.0438172568245	0.0473554261976	0.102668275307	0.719413133677	0.0266180744233	0.10741551825	0.713019110944
blast_1e-10	6.73024504822e-07	6.73024504822e-07	6.73024504822e-07	6.73024504822e-07	0.0	0.000124132627236	0.0367636263613	0.0368506357893	0.0369851892692	0.0374927407084	0.0392912740728	0.04035383139	0.0421314083762	0.0437234446212	0.0463180486018	0.0985018297408	0.206489980302	0.0367633487378	0.0367842194276	0.0369703775	0.0374893847907	0.0379775486076	0.0404722296707	0.0421065755506	0.0438172568245	0.0473554261976	0.102668275307	0.719413133677	0.0266174013988	0.107414845225	0.713019110944
blast_1e-30	0.000124805651741	0.000124805651741	0.000124805651741	0.000124805651741	0.000124132627236	0.0	0.036827113289	0.0369132327273	0.0370471040039	0.0375463751238	0.0393289804082	0.0403585975454	0.0421361745316	0.0437236615864	0.0463180486018	0.0985018297408	0.206489980302	0.0368270526306	0.0368466968184	0.0370316615108	0.0375416456205	0.0380159058383	0.0404769958261	0.042111341706	0.0438182663613	0.0473554261976	0.102668275307	0.719413133677	0.0265375752277	0.107313112858	0.71302961764
mothur_0.0	0.0367636263613	0.0367636263613	0.0367636263613	0.0367636263613	0.0367636263613	0.036827113289	0.0	0.000320946918128	0.00179888713429	0.0138753189133	0.0164464231901	0.0178390227384	0.0197716342252	0.0215013574077	0.0461133437591	0.0984792066675	0.206489980302	1.13765862824e-05	0.000267290005417	0.00186531752575	0.0139506810605	0.0151244731229	0.0179446047023	0.0197299629288	0.0215903058494	0.0472765973907	0.102645652234	0.719413133677	0.0179700582711	0.0981854077863	0.693453378966
mothur_0.1	0.0368506357893	0.0368506357893	0.0368506357893	0.0368506357893	0.0368506357893	0.0369132327273	0.000320946918128	0.0	0.00149100133117	0.0135755587136	0.0161834707469	0.0175915769055	0.0195349050821	0.0212706669594	0.0459047134208	0.0982966229732	0.206313565986	0.00032407658416	0.000149188523104	0.00155860291879	0.0136491059799	0.0148496821616	0.0177043634527	0.0194976891516	0.0213767401878	0.0470680277106	0.102461196683	0.719233817653	0.0179559795072	0.0981733353788	0.693458579466
mothur_0.2	0.0369851892692	0.0369851892692	0.0369851892692	0.0369851892692	0.0369851892692	0.0370471040039	0.00179888713429	0.00149100133117	0.0	0.0121246385285	0.0147612358659	0.016166918371	0.0189433527567	0.0207036167109	0.0453667240046	0.0977754552856	0.205820639705	0.00179951785806	0.00155713446458	0.000218822126523	0.0121804667115	0.013427320324	0.0162817992806	0.0188265915355	0.0208349461675	0.0465306083601	0.101933841404	0.71873142598	0.0177826040177	0.0980406472311	0.693503441956
mothur_0.3	0.0374927407084	0.0374927407084	0.0374927407084	0.0374927407084	0.0374927407084	0.0375463751238	0.0138753189133	0.0135755587136	0.0121246385285	0.0	0.00369498677546	0.00513126389142	0.0177454999309	0.0197557905608	0.0444392390996	0.09693761128	0.205041158298	0.013875603946	0.0136400592284	0.0120899479836	0.000350170659354	0.00256412110923	0.0052343614986	0.0176272418947	0.0199168667952	0.0456119829641	0.100741444445	0.717912082225	0.0177192835111	0.0983556843082	0.693587290953
